label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80
0.03	north1_all	80	6461	4384	1913	1074	1292	756	1094	1036	644	336	364	293	347	219	200	124	81	77	50	55	60	39	39	50	22	22	23	28	21	38	10	18	8	18	8	10	6	5	3	1	3	5	1	2	4	7	3	2	2	1	0	1	0	0	3	0	2	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0
0.03	north1_active	80	3212	2578	1015	496	771	406	716	689	407	172	221	174	216	132	132	63	35	34	24	35	28	19	16	33	12	12	10	22	12	32	6	11	5	6	4	5	6	4	1	1	1	4	0	2	0	5	3	1	2	0	0	0	0	0	3	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north2_all	80	6656	4336	2039	1131	1320	809	1142	1152	634	377	370	312	352	192	226	125	82	67	57	62	63	33	39	65	22	21	19	29	19	39	12	21	10	19	7	6	7	3	2	0	0	6	3	3	8	0	2	1	2	1	0	1	0	0	3	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	3347	2566	1112	537	805	454	743	799	405	203	238	203	225	116	164	69	35	28	30	40	32	19	15	35	11	9	5	22	13	30	9	12	7	10	3	3	4	2	0	0	0	4	0	2	4	0	2	1	1	0	0	0	0	0	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6702	4382	2003	1150	1367	819	1127	1162	701	380	382	305	371	188	252	134	81	73	53	60	67	42	41	60	21	16	12	32	20	38	12	19	9	15	3	5	13	1	4	1	0	9	5	5	7	0	2	1	2	0	1	1	1	0	3	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3397	2614	1062	551	836	447	719	811	454	201	239	197	247	110	172	84	38	30	24	37	36	25	15	34	13	8	2	19	13	27	9	8	6	10	1	1	7	1	0	1	0	8	0	4	4	0	2	1	1	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6720	4494	2010	1185	1365	839	1107	1088	699	334	368	275	381	159	250	128	82	76	57	59	77	44	38	63	24	16	14	30	11	32	14	17	10	23	7	8	14	2	3	4	0	8	4	6	9	1	1	1	2	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3402	2665	1059	566	814	462	706	735	442	180	227	170	247	98	158	77	37	35	29	33	46	27	13	37	14	7	3	14	5	22	9	6	6	16	6	4	7	0	0	3	0	7	0	3	4	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6689	4517	1935	1148	1315	801	1075	1051	708	329	360	264	376	174	232	127	81	74	60	50	82	41	41	86	22	13	13	28	15	25	14	17	9	26	7	19	15	2	5	6	0	5	3	9	6	2	2	2	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3352	2634	1004	556	782	440	662	695	445	179	224	147	243	96	144	74	30	36	30	26	49	23	20	58	10	4	4	10	6	17	7	10	6	20	7	13	7	0	1	4	0	5	0	6	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	6615	4439	1967	1136	1326	785	1077	991	623	307	366	243	368	175	203	129	78	73	56	48	96	33	49	76	26	14	19	22	19	25	16	23	7	30	7	17	17	4	6	7	2	6	0	5	5	2	1	2	0	1	0	0	0	0	2	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	3287	2557	998	542	781	428	656	635	375	168	217	131	228	101	126	77	31	38	29	20	64	16	26	52	11	5	7	10	8	18	10	14	5	23	7	13	7	2	1	5	2	5	0	3	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	6748	4349	1968	1128	1413	760	1073	1054	631	317	398	239	328	180	248	119	79	62	55	48	101	35	54	86	25	12	19	27	17	23	12	22	7	32	4	14	22	5	4	6	5	7	0	3	7	1	1	2	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	3337	2516	983	542	828	409	646	680	392	160	240	130	213	97	149	61	34	30	27	23	72	17	32	57	13	5	7	17	6	11	7	13	6	24	3	11	13	3	1	3	3	6	0	3	4	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	6755	4349	1959	1108	1402	820	1096	1024	622	317	396	224	359	185	243	140	74	71	43	52	85	40	53	78	29	20	24	29	13	25	15	21	5	19	5	16	20	6	2	3	6	10	1	2	6	0	1	0	0	2	1	1	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	3410	2589	1002	519	821	467	660	666	403	176	234	130	242	108	147	73	35	34	16	26	54	20	30	61	16	10	9	19	5	12	9	12	3	14	2	12	12	3	0	2	3	8	0	2	4	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	6706	4395	1976	1123	1324	796	1063	1000	607	308	382	256	328	190	238	127	78	74	45	52	78	43	56	66	27	16	24	28	17	20	10	12	9	17	6	11	15	6	0	2	8	5	2	0	6	1	1	0	0	2	3	1	0	0	2	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	3312	2656	1002	531	770	449	660	662	390	179	220	162	226	115	138	62	45	42	16	28	48	20	31	47	15	8	10	20	7	9	4	7	6	13	0	7	11	2	0	0	3	4	1	0	4	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	6636	4376	1980	1119	1245	783	1058	966	583	325	348	251	324	196	233	132	75	72	50	44	72	49	47	60	30	22	23	26	16	25	12	15	11	12	8	11	7	7	1	3	6	3	3	0	3	2	1	0	0	2	3	1	0	0	1	1	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north10_active	80	3274	2623	1007	522	721	442	640	635	343	179	200	148	217	119	138	71	39	41	18	24	37	26	25	42	17	12	9	11	7	13	6	6	7	7	2	7	4	4	0	0	3	2	1	0	2	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north11_all	80	6741	4235	1950	1184	1313	791	1058	918	609	305	312	255	355	191	250	99	63	63	63	43	64	34	41	77	32	20	19	39	11	29	7	24	12	33	4	17	11	4	3	5	3	5	3	4	4	2	0	1	2	2	3	1	1	0	2	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	3311	2396	1015	545	791	408	645	587	373	156	188	153	237	107	145	55	29	31	28	20	38	14	23	47	15	8	12	26	7	18	6	15	8	20	3	12	7	2	1	2	3	4	2	4	2	0	0	1	0	2	3	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	6714	4275	1953	1164	1369	823	1053	967	645	294	315	269	347	204	248	102	69	57	63	52	59	36	45	68	35	20	16	32	11	35	15	18	14	31	6	13	6	4	4	2	4	6	2	4	5	1	0	2	1	3	3	0	1	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	3305	2408	1010	561	818	446	647	600	391	159	201	160	236	112	151	64	29	30	32	25	36	19	29	41	16	6	10	17	6	24	13	12	10	19	2	8	4	2	1	2	1	4	1	4	2	0	0	1	0	2	3	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	6670	4361	1952	1138	1354	838	1063	962	679	294	331	269	343	199	246	117	72	64	66	50	73	38	50	65	34	20	18	33	11	40	18	20	20	16	6	13	12	4	4	1	5	16	1	1	6	2	1	2	2	4	1	0	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	3261	2509	1004	537	797	462	656	618	410	157	205	150	216	104	166	68	37	37	32	24	50	23	39	39	16	7	11	16	6	28	14	13	13	13	2	8	6	2	2	1	2	14	1	1	2	1	0	1	2	2	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
