label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42
0.03	north1_all	80	23439	3949	2234	2118	965	571	672	314	232	211	229	82	61	43	39	38	39	18	24	15	7	13	16	5	1	5	1	2	1	3	3	1	0	1	1	1	0	1	0	0	1	0	0
0.03	north1_active	80	15130	1881	1067	1261	466	263	378	130	116	108	142	42	25	18	16	19	25	10	12	9	3	9	11	4	0	4	1	2	0	0	2	0	0	1	1	1	0	1	0	0	0	0	0
0.03	north2_all	80	22952	3908	2214	2094	972	559	668	287	222	195	228	88	59	45	38	37	36	17	37	12	4	12	16	3	3	2	6	2	0	3	4	0	0	1	1	0	0	1	0	0	0	0	0
0.03	north2_active	80	14788	1825	1069	1291	475	260	361	112	109	111	124	44	22	12	17	17	22	8	23	8	1	7	11	1	0	2	6	2	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0
0.03	north3_all	80	21451	3854	2223	2062	942	591	651	273	209	204	187	92	61	40	45	35	32	25	34	17	3	12	14	4	3	3	8	0	0	3	1	0	0	1	2	0	0	0	0	0	0	0	0
0.03	north3_active	80	13705	1736	1104	1256	465	268	372	117	109	114	98	37	26	12	23	13	17	13	21	8	0	7	7	0	0	2	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	20124	3804	2181	1961	900	561	642	262	213	190	180	101	71	51	41	40	38	29	32	16	4	10	7	6	3	2	7	1	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0
0.03	north4_active	80	12678	1716	1059	1168	432	257	366	110	102	103	95	37	35	23	20	20	25	15	19	6	0	5	2	0	0	1	5	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north5_all	80	18905	3870	2168	1833	862	534	573	261	203	208	165	99	74	50	41	38	37	29	19	16	7	8	7	12	2	2	7	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north5_active	80	11832	1717	1048	1028	397	239	323	118	94	102	95	36	35	30	22	21	23	18	12	7	1	1	1	4	0	1	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_all	80	18788	3791	2119	1828	859	527	555	256	202	211	172	92	75	60	38	39	34	21	16	12	8	6	5	11	3	4	7	4	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0
0.03	north6_active	80	11778	1714	995	993	400	235	322	113	87	99	99	42	38	36	17	22	19	10	6	5	2	0	2	5	0	2	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
