label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42
0.03	north1_all	80	5246	2373	1561	2368	451	369	325	302	152	176	118	61	37	28	34	17	19	38	11	9	10	9	5	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	2576	1290	871	1531	205	198	216	188	86	122	76	26	22	17	17	9	8	29	6	5	2	8	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5202	2405	1582	2394	436	373	321	295	153	156	111	70	40	34	32	17	18	29	13	12	7	11	4	1	1	1	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2553	1311	904	1591	198	186	206	172	84	105	55	40	23	24	15	8	8	17	7	6	3	10	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5135	2378	1545	2429	431	364	311	278	158	147	100	70	36	33	31	15	18	24	10	11	4	18	3	4	0	1	3	0	1	0	1	2	1	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	2551	1274	860	1613	204	183	196	162	86	88	44	41	20	21	14	7	5	9	5	5	2	15	1	4	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5146	2420	1582	2437	411	358	308	255	161	143	110	72	37	25	25	18	16	19	9	12	5	16	2	3	1	4	3	0	2	0	0	2	1	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	2546	1273	856	1665	191	181	188	150	74	78	58	41	25	17	14	9	5	10	6	6	2	13	2	3	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5109	2395	1575	2368	398	350	305	262	148	161	113	69	39	21	20	17	13	14	8	6	4	11	3	3	2	4	2	0	4	0	1	1	1	0	1	0	1	0	0	0	0	0	0
0.03	north5_active	80	2503	1221	856	1562	185	182	192	172	74	99	70	38	23	13	12	9	3	10	4	3	2	9	3	3	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
