label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65
0.03	north1_all	80	54464	19147	11494	6665	6350	4839	2995	1903	1145	924	1065	660	473	482	378	232	196	188	117	183	99	106	57	47	53	33	39	34	25	15	8	10	9	8	10	3	9	2	1	2	1	8	5	4	0	3	7	1	1	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	32245	10701	6545	3597	3793	2952	1805	1054	525	441	616	355	239	285	200	121	97	101	51	125	49	58	29	24	34	20	20	15	15	9	3	6	4	5	4	1	4	1	0	1	1	7	2	3	0	1	6	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	54595	19056	11523	6740	6521	4858	3043	1928	1128	927	1073	639	460	474	392	222	186	187	123	160	94	93	61	34	56	38	48	31	35	13	10	9	5	8	10	5	9	0	1	1	4	8	7	3	1	4	7	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	32459	10636	6586	3610	3924	2966	1824	1065	518	439	615	326	235	280	207	113	101	106	55	101	53	55	30	22	36	21	24	13	24	7	1	6	2	6	4	2	5	0	0	1	1	7	4	2	0	4	6	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	56290	19471	11802	6893	6435	5046	3066	1948	1139	913	1132	621	471	556	405	224	199	195	130	158	99	107	64	31	51	37	47	25	34	8	14	10	6	6	10	8	8	1	2	2	5	7	3	3	2	4	6	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	33630	10872	6776	3724	3817	3048	1835	1077	546	439	662	302	252	340	230	116	115	109	62	96	59	66	36	18	34	20	21	12	27	4	2	7	1	5	5	5	5	1	2	2	2	6	2	2	0	4	5	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	58307	19937	12126	7135	6530	5050	3105	1981	1105	930	1188	631	493	562	408	233	195	210	131	154	87	121	65	36	56	32	41	25	37	10	13	11	5	3	5	10	5	1	2	1	7	2	2	2	2	4	3	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	35398	11278	7061	3897	4030	3014	1837	1128	526	477	710	303	256	347	238	125	115	109	66	94	54	83	34	16	36	18	22	15	26	4	1	6	2	3	2	6	4	1	2	1	3	0	2	2	0	4	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_all	80	59992	20313	12556	7311	6654	5349	3182	2034	1119	960	1233	666	507	606	431	248	210	227	134	151	95	152	67	46	79	30	40	29	47	12	16	13	8	3	6	11	9	1	2	4	5	1	2	1	1	3	5	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	36783	11604	7360	4065	4114	3282	1807	1188	527	501	752	343	250	380	259	134	113	123	57	94	54	102	34	23	49	18	23	17	32	3	1	7	3	3	2	6	3	1	2	4	3	0	1	1	0	3	5	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_all	80	60525	20324	12618	7310	6555	5376	3225	2023	1109	977	1229	677	495	610	421	268	212	214	129	154	82	175	66	48	77	34	43	31	32	12	12	12	10	3	7	7	7	1	3	5	3	1	2	2	2	0	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north6_active	80	37191	11623	7400	4067	4074	3255	1890	1167	513	503	750	365	241	388	251	143	105	119	58	86	43	115	34	22	48	20	26	20	18	4	1	7	6	3	3	2	2	1	3	4	2	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_all	80	60265	20566	12584	7213	6766	5534	3218	1978	1102	979	1216	659	488	632	421	263	232	217	135	127	92	157	51	37	71	32	45	44	29	11	14	15	10	5	8	7	6	1	2	4	2	0	2	2	1	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	36937	11706	7344	4020	4159	3475	1847	1165	516	499	723	376	242	396	245	133	122	113	70	64	47	101	26	16	43	15	28	32	15	5	1	11	5	3	3	3	1	1	2	3	1	0	0	2	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	60449	20593	12669	7258	6935	5715	3234	1922	1108	959	1218	680	473	624	389	280	218	216	125	151	98	139	51	33	52	38	42	46	20	11	14	17	11	6	8	5	4	2	2	6	1	3	1	4	1	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	36882	11643	7444	4080	4239	3681	1910	1117	543	462	737	367	237	381	220	149	113	112	73	81	52	93	23	18	29	16	27	30	12	4	1	10	7	3	3	1	1	2	2	5	0	3	0	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	60246	20529	12710	7227	6984	5578	3297	1961	1138	964	1234	676	489	611	422	255	228	232	123	141	93	111	44	37	61	40	37	48	22	15	10	17	13	12	9	3	3	3	7	2	2	5	1	7	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	36633	11620	7460	4063	4284	3603	1979	1133	559	487	763	360	239	366	255	135	121	124	74	78	40	79	17	20	37	17	23	31	10	7	1	9	7	7	4	1	0	1	5	2	0	5	0	7	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	60070	20491	12528	7341	6914	5691	3249	1996	1137	993	1223	703	499	579	414	258	204	230	117	144	95	126	50	45	81	42	34	51	21	21	11	14	11	10	8	2	3	8	6	4	4	5	1	17	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	36479	11652	7318	4125	4266	3638	1980	1137	554	497	769	366	250	354	255	147	115	136	67	80	43	91	21	26	49	23	19	29	13	10	4	5	6	5	5	0	0	6	3	3	2	5	0	17	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	55481	19210	11549	6887	6320	4872	2982	1866	1113	958	1149	642	483	492	393	233	192	186	128	162	98	136	44	48	61	31	50	23	26	11	11	6	9	7	10	7	10	5	8	10	4	2	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	33115	10808	6467	3739	3844	3016	1728	1025	485	493	684	331	235	273	234	110	99	102	60	100	44	83	16	18	45	15	35	10	19	3	6	3	5	2	5	2	7	1	1	5	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	56911	19422	11686	6970	6409	4986	3082	1895	1119	985	1155	652	501	483	400	241	192	203	122	173	102	142	45	52	59	40	50	22	31	12	10	11	8	8	12	7	13	4	6	7	5	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	34450	10881	6620	3806	3891	3108	1830	1048	476	500	697	345	255	287	241	108	97	110	62	105	47	95	15	22	41	21	28	10	21	4	5	7	3	2	5	3	7	2	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	58810	19884	11949	6986	6583	5144	3223	1960	1108	996	1203	663	516	541	395	248	200	217	124	167	94	147	42	52	72	36	37	26	30	13	8	10	10	11	16	7	9	5	10	9	4	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north13_active	80	35699	11221	6837	3853	4014	3185	1948	1098	493	508	736	367	282	327	230	119	110	122	68	98	46	100	17	24	50	16	22	14	19	6	4	6	5	6	7	4	5	3	2	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	60479	20278	12122	7181	6483	5185	3311	2016	1106	973	1218	675	493	563	407	241	222	218	115	173	94	169	44	45	66	39	32	43	39	16	14	11	13	12	14	9	8	6	10	22	2	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north14_active	80	37101	11470	6939	3981	3968	3175	2020	1114	502	493	731	371	272	354	235	120	123	122	62	101	47	96	17	20	44	21	15	28	31	8	6	7	7	7	5	8	5	3	2	16	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north15_all	80	60801	20539	12151	7124	6542	5233	3183	2118	1161	999	1175	665	489	573	408	222	229	225	121	169	87	132	36	38	66	35	27	40	32	16	15	6	8	11	9	10	3	6	8	19	2	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
