label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68
0.03	north1_all	80	37125	16599	9638	11782	4366	6782	2037	2426	1312	1472	710	564	484	474	299	249	305	161	255	89	87	80	177	48	38	26	24	29	16	21	15	7	10	5	8	6	3	5	4	1	2	4	1	6	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north1_active	80	13505	7094	4404	9803	2189	5926	464	1755	491	1067	207	248	145	293	77	73	214	38	218	13	25	45	153	16	24	9	3	14	9	9	4	3	3	2	4	2	1	0	3	1	1	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	37555	16998	9846	12483	4495	6953	2058	2546	1339	1502	710	582	481	458	272	246	321	156	279	89	84	84	196	49	36	26	32	18	14	21	13	11	9	6	5	7	5	4	3	1	2	5	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	14594	7637	4775	10629	2365	6105	454	1905	525	1144	224	268	146	284	79	77	233	41	237	15	22	47	171	22	21	10	6	9	5	8	3	5	1	4	4	2	2	0	2	1	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	37612	17208	9738	12923	4726	7509	2087	2519	1299	1579	717	566	481	471	276	239	322	146	296	92	89	73	191	56	50	28	36	22	17	15	12	9	5	3	4	11	4	3	2	0	1	5	0	4	2	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	15088	8003	4781	11192	2549	6666	469	1904	539	1208	220	276	141	295	80	77	238	45	256	16	22	41	171	25	28	10	10	12	6	5	4	4	0	3	3	6	2	1	2	0	1	0	0	3	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	37672	17078	9812	13031	4742	7740	2060	2582	1313	1612	739	602	496	453	291	223	312	151	295	96	89	76	153	57	48	31	36	20	23	12	14	10	5	4	6	9	6	3	0	2	1	5	0	2	4	0	1	1	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	15050	7965	4790	11265	2586	6866	471	1927	542	1228	245	294	130	293	82	80	223	46	258	18	20	40	133	25	30	15	9	10	10	4	4	5	1	3	5	5	2	1	0	2	0	1	0	2	2	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north5_all	80	37758	16994	9900	13460	4765	7804	2072	2552	1283	1649	790	595	499	458	313	217	318	176	304	106	100	67	129	45	72	40	32	28	22	11	18	5	7	4	9	11	5	2	2	7	4	3	1	2	3	0	1	1	0	3	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
0.03	north5_active	80	15030	8029	4741	11693	2651	6938	477	1888	521	1248	256	303	129	289	85	77	231	52	266	25	22	36	111	22	55	18	11	13	10	6	5	2	3	2	8	9	1	1	1	3	1	1	0	2	2	0	0	1	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
