label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39
0.03	north1_all	80	11581	3124	2233	822	535	358	233	191	363	91	98	47	70	16	22	31	9	6	19	16	10	4	4	4	3	2	0	1	1	0	0	1	0	0	0	1	0	0	0	0
0.03	north1_active	80	7242	1734	1347	463	258	196	115	108	201	46	50	17	43	10	15	23	5	3	12	11	5	4	3	4	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	11533	3184	2279	845	578	354	227	207	330	74	101	47	64	21	22	22	10	6	16	15	11	8	8	1	3	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north2_active	80	7201	1788	1378	452	288	191	108	113	195	39	47	24	41	9	16	14	7	2	10	8	7	8	4	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	11553	3118	2278	858	561	335	223	218	333	64	91	49	76	27	22	27	11	6	20	14	8	9	8	3	3	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	7216	1735	1415	438	282	173	111	127	219	33	45	24	46	12	16	18	7	3	16	7	5	9	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	11871	3076	2396	830	585	350	201	225	347	77	86	51	70	35	26	26	11	6	24	11	8	13	7	12	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0
0.03	north4_active	80	7395	1703	1478	408	301	167	108	126	244	34	46	22	39	15	17	17	6	4	17	6	2	9	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	12083	3035	2414	853	579	342	214	231	404	84	100	51	67	36	23	24	13	4	22	8	6	13	7	15	0	2	2	0	2	0	0	0	2	0	0	0	1	0	0	0
0.03	north5_active	80	7617	1673	1479	430	319	162	112	134	272	37	58	21	39	19	11	19	6	3	16	6	2	9	1	3	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_all	80	11868	3034	2342	858	590	354	212	215	440	92	101	49	66	30	23	17	13	7	15	10	7	9	3	15	2	4	2	0	1	0	0	0	2	0	0	0	1	0	0	0
0.03	north6_active	80	7488	1656	1399	436	351	171	105	120	309	35	66	19	40	16	10	10	5	3	6	8	2	5	1	3	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	11667	2958	2270	880	592	364	201	233	398	102	97	44	60	36	19	22	13	6	15	9	7	4	3	11	2	3	2	0	1	0	0	0	1	1	0	0	0	0	0	0
0.03	north7_active	80	7419	1630	1371	442	353	172	91	121	260	38	61	16	36	21	11	17	5	3	7	7	2	3	2	3	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	11506	2947	2293	875	580	368	212	217	336	83	85	41	77	42	26	26	14	7	16	10	6	7	5	5	4	2	2	0	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north8_active	80	7224	1638	1387	449	337	179	100	110	220	34	45	16	48	22	17	20	3	2	6	8	0	6	1	5	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	11509	2925	2305	862	570	364	211	224	320	86	84	43	68	37	28	29	11	5	12	8	6	5	4	5	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_active	80	7183	1609	1427	429	306	169	94	111	208	39	43	16	37	20	20	22	3	1	5	6	0	4	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	11765	3043	2409	819	587	329	222	226	314	84	93	45	69	33	43	30	13	6	9	6	9	7	4	3	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
