label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43
0.03	north1_all	80	6621	3399	3020	958	1290	393	354	357	158	129	70	79	41	27	57	22	16	77	21	11	5	4	2	9	1	1	1	2	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1558	2036	2454	499	1068	107	228	288	76	79	45	39	20	12	43	10	3	72	18	6	4	3	1	6	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6528	3381	2975	970	1297	372	354	328	157	129	81	76	38	35	62	19	11	47	18	9	5	4	2	5	0	0	1	2	4	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1547	2011	2388	527	1072	105	208	264	75	84	57	38	15	12	49	9	3	44	16	5	4	3	1	3	0	0	0	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6594	3429	3009	927	1321	387	371	317	150	119	84	76	39	32	50	16	14	29	20	6	4	12	0	3	0	0	1	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1551	2037	2430	498	1090	116	228	254	72	81	59	44	17	10	35	9	4	26	18	2	3	4	0	3	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6664	3330	2976	933	1274	369	388	312	133	114	77	83	34	36	43	15	7	44	18	6	3	12	1	3	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	1564	1984	2366	515	1059	130	247	245	62	77	47	51	14	15	29	9	4	43	17	2	1	4	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6613	3317	2906	952	1248	379	378	329	147	115	77	77	33	39	52	22	9	47	13	7	2	8	1	3	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	1514	1959	2301	505	1026	134	247	259	66	70	41	54	14	19	47	8	4	46	11	2	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	6559	3356	2852	980	1230	378	360	325	141	129	79	71	29	36	55	25	9	46	12	8	5	3	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north6_active	80	1517	1992	2227	526	1019	135	243	244	57	78	33	49	11	16	47	8	3	45	10	3	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	6458	3453	2808	1036	1202	378	377	333	158	121	84	55	34	26	67	25	10	41	7	9	5	0	1	0	2	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_active	80	1496	2063	2202	574	994	129	236	254	62	77	38	36	15	11	54	7	2	40	5	5	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	6548	3397	2824	1016	1228	389	413	316	134	108	87	40	34	20	78	20	11	41	5	7	4	2	1	3	3	2	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_active	80	1531	2012	2223	544	1027	133	282	238	52	66	45	25	14	10	64	6	4	40	3	5	4	1	1	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north9_all	80	6634	3451	2877	1048	1260	385	394	325	126	121	84	42	33	23	77	21	13	31	7	8	7	3	1	3	1	1	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north9_active	80	1557	2068	2270	556	1046	131	268	248	47	72	45	27	13	8	64	6	8	29	3	6	3	1	1	1	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north10_all	80	6623	3357	2919	1064	1254	379	399	347	128	125	84	51	31	26	86	17	14	41	18	16	8	4	0	4	2	1	1	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	1594	2028	2305	561	1029	126	283	273	54	65	42	35	14	9	77	7	6	39	14	13	3	1	0	1	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	6549	3428	2932	1020	1287	386	343	333	168	133	92	93	37	28	67	12	16	71	23	17	4	1	4	2	1	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	1582	1990	2335	544	1066	112	222	248	82	78	52	59	17	11	57	8	3	66	17	10	1	1	1	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	6549	3442	2998	1014	1265	375	361	329	147	130	82	83	37	30	62	17	14	55	24	19	4	2	4	3	1	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	1532	2027	2408	547	1048	106	245	237	72	82	44	57	14	10	53	9	4	52	17	10	1	2	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	6560	3383	3047	1001	1267	380	354	296	130	106	83	90	38	22	68	18	14	49	19	12	4	2	4	1	1	4	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north13_active	80	1537	2012	2443	540	1040	124	243	205	66	66	47	72	15	8	55	9	3	47	12	8	1	1	0	1	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
