label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41
0.03	north1_all	80	1763	843	751	290	309	202	168	61	218	48	44	31	16	12	10	25	6	5	0	5	9	3	2	2	1	8	3	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north1_active	80	883	470	464	166	212	117	95	36	152	22	26	16	7	5	3	13	1	1	0	4	3	0	1	0	0	2	1	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north2_all	80	1782	832	740	314	305	214	170	60	209	48	35	30	18	14	12	21	8	2	1	4	10	2	3	3	1	6	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	906	455	463	181	182	122	98	33	136	22	18	15	8	5	5	9	1	1	1	3	3	0	3	2	1	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	1737	752	717	304	291	195	143	60	177	36	31	21	17	15	10	17	6	3	3	1	6	1	3	2	3	2	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	877	415	462	156	178	97	81	36	116	15	16	9	8	8	4	5	0	2	3	1	3	0	3	2	3	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	1650	698	664	309	258	176	119	52	189	28	34	19	22	18	8	9	11	2	6	2	6	1	3	2	4	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	829	373	412	161	155	95	68	26	130	14	20	8	12	10	4	3	5	2	5	2	4	0	3	2	4	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	1517	711	591	290	255	161	110	48	155	29	33	20	20	18	9	6	8	1	7	2	6	1	1	1	4	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	755	374	341	140	158	87	54	24	115	12	15	7	12	8	4	3	5	1	5	2	3	0	1	1	4	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	1502	698	598	289	279	149	116	46	163	37	40	18	17	20	7	7	11	0	6	2	10	2	4	0	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	717	362	345	141	181	84	60	22	128	14	19	5	9	9	5	4	8	0	3	2	6	0	4	0	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
