label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46
0.03	north1_all	80	14739	3885	1210	1368	1463	389	326	335	375	145	99	110	96	103	24	37	17	31	33	13	7	6	8	6	7	2	3	9	3	3	1	1	2	2	0	0	1	2	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	9564	2344	554	856	916	181	152	187	259	83	57	63	66	66	9	20	10	20	28	7	4	4	3	1	3	1	0	2	1	3	0	0	2	2	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	14569	3907	1173	1367	1426	403	316	327	371	138	103	106	98	108	28	36	22	31	32	15	10	4	7	4	7	3	4	8	2	3	1	0	1	2	3	1	1	2	0	0	0	2	0	0	0	0	0
0.03	north2_active	80	9266	2315	556	845	905	185	144	183	250	77	59	50	69	75	10	19	10	20	26	7	4	3	4	1	3	1	1	3	1	3	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	14711	3948	1207	1318	1490	432	321	329	379	142	114	110	99	97	35	37	23	29	23	16	9	8	5	3	11	2	5	4	3	1	0	1	1	1	3	1	0	2	0	0	0	2	0	0	0	0	0
0.03	north3_active	80	9369	2342	574	811	999	204	157	177	253	73	70	52	65	67	14	20	6	18	17	8	2	5	3	1	9	0	1	2	2	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	14811	3987	1182	1366	1551	423	317	320	379	150	127	119	103	105	41	33	26	26	22	19	8	10	10	3	12	4	5	1	8	0	1	4	1	0	3	1	0	1	0	0	0	2	4	0	0	0	0
0.03	north4_active	80	9522	2352	546	817	1051	206	144	185	259	74	72	60	64	73	18	21	12	17	17	14	1	7	6	0	9	1	2	1	7	0	0	4	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0
0.03	north5_all	80	14792	3961	1201	1357	1588	442	322	332	366	152	140	138	104	103	36	28	22	29	27	16	8	11	14	4	10	4	8	1	7	0	1	4	0	0	3	0	0	1	2	0	0	2	4	0	0	0	0
0.03	north5_active	80	9651	2377	530	795	1066	220	160	197	227	73	82	75	66	68	16	19	11	18	21	12	1	5	6	1	7	2	3	0	7	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
0.03	north6_all	80	14991	3958	1192	1378	1555	409	299	348	374	144	145	120	104	106	32	29	29	31	29	17	9	10	14	6	10	6	6	1	6	0	2	3	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0
0.03	north6_active	80	9845	2394	531	802	1035	197	147	213	229	81	76	71	71	64	14	18	16	20	20	12	3	2	5	2	8	3	3	0	6	0	1	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
