label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88
0.03	north1_all	80	5989	2795	1703	1251	893	649	503	419	320	292	236	205	169	161	128	96	97	92	58	67	40	42	40	35	32	30	27	21	23	13	18	10	12	9	13	6	7	6	5	4	6	7	0	4	2	2	7	1	1	2	0	0	1	1	4	1	1	2	2	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
0.03	north1_active	80	3026	1403	861	626	428	308	243	213	159	150	107	103	79	69	58	47	52	38	32	25	24	16	19	19	14	12	13	14	9	9	11	2	3	2	7	2	5	2	1	2	3	4	0	4	1	1	2	1	0	0	0	0	0	1	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_all	80	6038	2743	1745	1250	892	675	528	418	336	314	243	203	180	144	140	94	102	87	57	65	48	50	43	33	30	32	21	17	20	13	18	11	15	9	14	8	6	6	7	3	10	3	2	5	3	2	4	1	1	1	0	0	1	1	2	1	0	2	2	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
0.03	north2_active	80	2995	1383	870	644	447	318	253	203	165	159	103	110	82	66	62	52	52	38	32	27	25	24	21	20	14	15	8	13	7	7	8	3	7	4	6	1	4	2	1	1	7	1	1	4	2	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_all	80	6068	2762	1729	1229	840	682	540	419	357	330	240	184	181	147	134	90	100	83	59	65	47	56	39	26	28	27	23	16	19	16	15	16	13	11	14	10	7	9	6	3	8	3	3	5	2	2	3	1	2	3	1	1	1	0	1	2	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	3004	1382	877	629	415	330	257	218	167	169	105	103	87	69	58	45	44	38	31	32	21	28	19	16	13	15	10	12	7	6	6	8	8	5	5	4	4	4	1	0	4	1	2	3	2	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_all	80	6082	2745	1749	1206	815	709	538	401	359	329	222	192	172	140	131	99	105	88	63	68	49	57	39	27	36	26	20	18	15	18	18	17	16	15	15	14	12	7	8	2	6	0	5	3	6	1	1	3	3	4	1	3	1	0	2	2	0	0	1	1	2	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	2975	1384	907	614	411	349	264	200	182	167	102	101	90	68	59	47	45	44	33	38	22	29	20	14	21	15	8	13	7	8	7	10	8	6	6	6	8	2	3	1	5	0	3	1	4	1	1	3	0	1	1	1	1	0	2	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6040	2797	1782	1176	838	706	551	388	345	304	226	195	161	151	117	90	99	90	76	60	48	56	39	30	33	22	23	27	14	15	12	20	12	15	15	12	12	8	7	2	3	2	4	2	6	1	2	4	3	5	2	3	1	1	1	2	4	0	1	0	4	0	2	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	2990	1399	934	589	441	352	278	204	177	152	105	101	87	74	49	42	41	43	31	34	26	28	22	14	17	11	13	16	6	7	4	12	4	5	7	7	8	3	4	1	2	1	3	0	2	0	1	4	0	2	2	1	1	1	1	0	2	0	0	0	1	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	6165	2833	1798	1146	873	698	534	390	342	270	213	207	161	156	114	88	97	89	77	66	59	56	39	30	40	19	23	27	14	17	13	22	12	19	16	10	8	6	6	3	2	2	4	1	6	1	3	4	3	4	2	4	1	1	1	3	5	1	1	0	3	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_active	80	3077	1425	923	581	456	341	279	194	179	137	102	107	88	76	51	44	44	41	32	39	33	31	23	11	17	9	14	13	6	9	7	12	3	8	7	6	6	2	4	2	1	1	3	0	2	0	1	4	0	2	2	1	1	1	1	1	2	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
