label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92
0.03	north20_active	80	4862	3098	1080	503	892	699	586	192	184	134	162	124	105	96	67	67	47	39	46	53	28	14	42	9	16	9	8	8	22	10	21	11	9	8	10	6	6	4	6	1	2	9	2	3	3	3	0	0	2	2	2	1	0	0	2	0	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	9923	3873	1984	1258	1236	837	623	536	528	374	331	335	205	203	194	268	120	82	72	87	83	131	49	50	40	39	64	70	34	30	22	29	12	10	22	11	15	14	12	13	12	8	8	0	5	1	4	2	7	4	2	3	2	1	1	0	2	2	0	0	4	1	1	0	0	0	1	0	2	1	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	4998	1789	888	513	597	410	271	234	282	189	162	170	80	105	113	143	66	35	35	38	39	77	23	22	18	14	42	40	18	17	12	16	7	2	13	6	9	8	8	7	8	3	6	0	2	1	1	1	4	2	1	2	2	0	0	0	1	1	0	0	4	1	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	9899	3844	2037	1248	1262	882	640	549	512	386	338	358	201	203	207	283	131	93	85	88	84	136	45	48	36	39	66	65	29	26	21	30	14	11	22	12	19	12	15	11	9	7	7	0	4	3	2	4	6	3	3	3	1	0	0	0	2	1	0	0	2	2	1	0	0	0	1	0	2	1	2	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	5003	1777	923	523	613	423	285	251	263	181	159	187	82	105	119	158	79	39	42	37	45	83	20	27	17	17	45	35	16	11	10	17	8	4	8	7	12	6	11	4	9	3	6	0	1	3	1	2	4	1	1	2	1	0	0	0	1	0	0	0	2	2	0	0	0	0	1	0	2	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	9798	3869	2038	1285	1291	888	645	567	533	376	349	311	190	192	203	278	106	81	96	95	69	139	42	55	39	43	54	59	22	25	20	27	13	11	25	12	15	9	16	9	12	4	7	2	2	3	3	6	5	5	3	2	3	1	1	0	2	0	0	6	2	4	0	0	0	0	0	0	2	1	2	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	south23_active	80	4947	1794	883	517	635	415	293	260	276	178	165	165	74	96	110	161	56	37	48	39	33	90	20	27	18	19	38	32	13	12	13	15	7	7	12	6	9	5	10	4	10	2	6	1	0	3	2	2	4	1	1	1	3	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	9738	3812	2040	1289	1359	913	671	575	546	395	332	343	186	194	197	303	99	78	120	99	65	158	44	46	40	48	54	54	18	23	19	24	16	13	24	11	20	10	17	7	13	5	4	2	2	3	4	4	5	5	3	2	4	3	1	0	1	2	0	6	2	4	1	0	0	0	0	0	1	2	3	0	2	1	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
0.03	south24_active	80	4873	1763	922	523	671	431	303	254	263	168	155	173	82	98	102	165	42	37	51	46	33	116	16	26	18	25	34	33	10	15	11	13	11	9	13	6	12	6	11	2	7	1	4	1	1	3	3	1	4	1	1	1	4	0	1	0	0	2	0	0	2	2	1	0	0	0	0	0	1	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south25_all	80	9721	3884	2050	1250	1351	858	662	592	557	367	333	328	204	192	175	291	104	82	100	95	66	159	41	43	38	53	43	52	20	30	21	27	17	17	20	14	20	5	9	9	12	5	6	3	6	6	5	4	2	3	3	2	10	3	2	0	1	2	0	6	1	3	2	0	0	0	0	0	0	1	5	1	0	1	0	1	0	1	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0
0.03	south25_active	80	4880	1806	931	517	649	395	298	271	262	148	151	156	94	98	88	150	37	38	40	47	36	108	18	20	16	29	27	26	10	15	10	19	12	10	11	7	13	2	6	5	5	1	5	2	1	2	3	2	1	0	1	1	7	0	2	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south26_all	80	9682	3934	2022	1251	1311	807	628	556	538	365	333	340	228	193	193	291	116	86	89	99	64	153	41	37	37	46	58	48	21	30	28	28	16	14	10	13	17	9	6	8	14	12	11	1	6	9	3	3	2	2	2	2	10	2	1	0	1	2	0	0	1	0	2	0	0	0	0	0	0	1	3	1	0	1	0	1	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south26_active	80	4871	1812	946	519	607	384	268	247	250	163	138	167	105	93	107	158	50	32	39	45	33	99	15	15	18	22	35	25	13	13	13	17	11	9	5	6	11	3	5	5	5	3	4	1	1	3	1	2	0	0	1	1	6	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south27_all	80	9718	3934	1978	1243	1253	812	611	545	505	361	349	364	215	183	197	261	113	94	75	93	75	139	36	29	35	36	59	48	27	31	28	28	13	10	11	12	15	9	5	8	9	11	11	5	6	11	3	2	4	0	8	1	10	0	1	0	0	0	1	1	1	0	2	0	0	0	0	0	0	1	3	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	4878	1851	908	512	579	370	256	255	229	167	147	177	98	86	107	147	51	30	34	39	45	87	16	10	18	11	38	26	16	6	10	14	8	5	4	4	9	4	2	5	4	2	4	2	1	5	0	2	1	0	4	0	6	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	9714	3950	1907	1224	1222	807	627	535	501	359	327	365	199	185	204	265	103	104	71	89	63	144	40	30	29	33	64	38	29	26	26	28	12	12	14	8	13	9	7	6	7	11	11	4	4	10	3	0	8	1	7	2	5	1	0	3	0	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	4880	1891	850	502	566	361	268	246	236	167	135	167	85	87	109	141	53	37	31	37	33	89	15	14	13	10	40	19	15	6	12	14	6	7	4	2	7	4	4	2	5	4	3	1	1	5	0	0	6	1	3	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
