label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190
0.03	north1_all	80	2267	1061	950	631	377	394	262	429	210	390	182	326	111	119	94	137	117	72	75	73	74	75	55	56	45	51	42	68	58	59	40	25	79	23	40	15	28	146	15	15	14	17	14	22	11	28	14	21	11	13	62	8	12	10	11	13	6	35	13	6	11	4	14	5	5	14	2	6	7	0	1	5	2	4	3	6	4	2	4	3	4	3	7	9	3	2	8	4	1	2	1	3	0	8	5	0	1	3	0	1	1	0	1	5	3	1	2	3	0	1	1	0	0	3	0	0	4	1	0	0	1	0	1	0	0	0	5	4	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	816	282	548	325	70	202	79	310	61	289	106	297	44	34	40	104	77	34	29	39	42	40	12	30	22	12	18	39	46	48	18	5	66	7	30	5	17	144	4	3	3	10	2	16	6	24	5	15	3	8	60	7	0	0	6	4	3	32	8	2	2	2	13	3	2	14	1	3	6	0	0	1	2	2	1	3	2	0	2	1	1	2	6	8	3	1	7	4	0	2	0	3	0	8	0	0	0	0	0	0	1	0	1	5	2	0	1	1	0	0	1	0	0	3	0	0	4	1	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2316	1072	954	626	382	410	264	467	210	377	202	321	120	109	95	157	122	70	75	64	82	80	53	60	43	50	43	74	49	61	38	30	83	25	43	20	18	164	18	17	12	18	16	21	10	25	8	23	10	7	104	7	10	3	10	12	7	33	11	5	7	7	30	5	10	19	1	6	6	1	0	5	2	3	4	6	4	3	7	2	2	3	27	7	9	1	10	5	3	11	0	3	1	7	3	0	0	2	0	1	1	0	3	8	3	1	1	3	0	1	0	0	0	5	0	0	4	0	0	0	0	0	1	0	0	0	5	5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	1
0.03	north2_active	80	888	311	580	337	63	206	81	359	62	299	121	281	42	31	44	128	86	35	34	31	47	40	11	31	23	12	26	45	38	49	18	8	70	6	37	7	12	163	6	6	3	8	4	17	3	20	5	20	6	4	100	5	1	1	5	4	3	32	7	3	1	1	30	3	6	19	1	3	5	1	0	1	2	1	1	3	2	0	3	1	0	2	24	7	9	0	8	4	2	11	0	3	0	7	0	0	0	0	0	0	0	0	3	8	2	0	0	1	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	2320	1088	941	621	399	389	294	406	211	348	212	326	124	112	91	174	122	74	87	65	85	72	50	61	39	49	48	79	45	59	27	25	74	23	37	18	19	117	18	15	14	14	16	14	11	22	11	23	15	7	116	7	13	9	8	10	5	29	6	5	5	7	43	1	10	8	0	2	14	3	1	5	1	2	2	5	3	3	4	3	2	4	21	7	10	2	6	3	3	11	2	4	1	4	1	0	0	1	0	1	2	4	3	10	17	1	2	0	0	1	4	0	1	7	0	1	1	0	0	0	0	0	0	0	0	1	2	4	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	1
0.03	north3_active	80	889	310	589	364	66	197	84	310	58	287	131	276	57	29	43	143	76	32	32	31	46	40	7	31	22	13	35	49	35	49	14	6	61	5	29	8	10	115	5	7	5	7	5	10	4	16	6	21	10	4	112	5	2	4	3	3	3	28	4	3	1	1	43	1	6	7	0	1	13	2	0	1	1	0	0	2	2	0	1	3	0	2	19	7	10	0	5	2	2	11	0	3	0	3	0	0	0	0	0	0	1	4	3	10	16	0	0	0	0	0	0	0	1	7	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1
0.03	north4_all	80	2385	1126	934	648	405	381	330	426	210	359	216	334	122	108	90	190	113	88	84	69	85	56	52	52	39	45	46	78	36	49	28	26	72	28	50	33	22	122	11	13	15	19	17	9	12	29	8	24	14	7	112	8	16	11	5	10	4	39	7	5	7	8	39	4	9	10	1	3	15	4	4	3	3	3	1	4	3	4	4	6	0	2	23	3	10	2	12	2	2	12	3	2	3	1	1	0	1	0	0	0	2	4	2	5	17	1	1	0	1	1	6	0	1	4	0	1	0	0	0	0	0	0	7	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	1
0.03	north4_active	80	889	320	580	386	71	196	95	331	51	297	138	278	58	27	43	158	70	39	34	30	44	29	10	26	23	14	32	56	23	40	13	6	61	4	40	18	7	121	3	6	8	12	5	7	2	23	4	23	8	2	107	5	3	4	2	2	2	38	3	3	1	0	38	0	6	8	1	2	12	2	2	1	1	0	0	2	2	1	1	6	0	0	21	3	10	0	11	1	2	11	1	1	1	0	0	0	1	0	0	0	1	4	2	5	16	1	0	0	1	1	2	0	1	4	0	1	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	2369	1136	953	687	393	386	324	404	195	390	211	381	120	117	95	159	122	97	84	72	77	47	56	53	34	38	45	59	41	53	31	22	75	26	54	36	24	134	12	7	17	19	19	10	16	37	10	21	15	10	91	5	15	14	8	9	4	23	8	5	8	6	25	5	5	10	3	5	12	6	4	1	3	1	2	2	2	1	4	7	0	2	21	4	8	1	13	1	1	5	3	2	4	1	1	0	3	0	0	0	1	9	2	5	23	1	1	0	1	1	7	0	1	4	0	1	0	1	0	0	0	1	7	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	north5_active	80	900	322	589	420	75	202	87	310	40	321	140	310	59	23	41	123	83	37	32	34	37	22	13	29	20	11	30	44	26	45	13	6	64	5	44	20	6	132	4	4	9	13	5	9	3	27	2	18	8	3	88	4	3	6	4	2	2	21	4	4	2	3	23	0	3	7	1	4	10	2	2	0	0	0	0	2	2	1	1	7	0	0	20	3	7	0	11	1	1	3	1	1	1	0	0	0	3	0	0	0	1	7	2	5	23	1	0	0	1	1	2	0	1	4	0	1	0	0	0	0	0	0	7	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
