label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184
0.03	north1_all	80	29155	12950	7392	6001	8817	4656	3457	2342	2047	1774	2314	1429	1363	1356	1059	1605	1112	684	1031	542	716	916	568	401	438	418	496	491	252	226	501	423	361	169	198	129	209	181	110	248	208	92	130	201	82	107	88	110	102	79	80	82	123	90	57	82	51	31	28	52	39	25	76	32	18	24	18	69	20	35	19	19	30	12	16	14	11	18	16	12	9	21	13	15	7	12	7	10	5	7	9	33	3	25	2	1	3	5	4	3	1	9	3	1	20	4	1	3	5	4	2	6	2	0	0	2	3	3	2	1	2	5	2	3	1	1	0	0	0	1	1	0	2	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	16183	6174	1948	2942	7416	3106	2049	1004	904	761	1700	592	736	917	523	1320	822	336	783	127	512	761	397	168	264	256	388	364	67	49	419	356	302	42	121	27	149	93	48	204	166	23	70	176	32	42	45	86	86	38	57	68	106	72	13	70	23	7	9	42	13	6	61	11	9	10	8	57	6	27	4	12	25	11	9	3	2	10	9	9	3	16	7	11	3	12	4	4	0	4	2	32	3	12	0	0	2	3	0	2	1	4	2	1	18	2	0	0	4	0	0	4	1	0	0	0	0	2	1	0	1	2	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	29169	12993	7437	5903	8874	4707	3461	2349	2072	1773	2306	1436	1345	1369	1053	1580	1116	699	1031	558	744	941	600	407	442	419	508	442	250	247	495	408	386	189	217	130	205	169	116	255	201	91	147	236	91	113	111	101	115	78	85	90	111	98	56	61	50	36	33	85	48	28	93	36	23	19	17	69	19	41	23	23	27	12	20	15	11	17	20	10	11	14	9	21	8	21	9	6	6	11	10	19	4	19	5	1	4	6	3	3	1	9	6	2	20	4	1	2	2	4	2	2	2	1	0	2	3	2	1	3	2	5	1	1	2	1	0	0	0	2	1	0	2	0	0	1	0	0	0	1	0	0	0	2	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	16196	6177	1979	2919	7451	3183	2102	1030	923	800	1709	581	729	940	520	1282	816	339	782	127	533	798	417	167	264	268	374	325	77	54	420	344	312	51	131	24	141	79	48	205	152	28	84	211	35	52	58	81	93	41	67	73	95	81	15	48	21	8	12	77	17	10	79	14	12	9	8	56	5	32	6	12	24	10	12	4	2	7	11	5	1	12	5	14	5	21	5	2	1	7	1	18	3	10	0	0	3	4	0	2	1	6	5	2	17	2	1	0	1	0	0	0	1	0	0	0	0	2	0	1	1	2	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	29254	12975	7606	5935	8815	4727	3521	2357	2086	1768	2376	1442	1347	1352	1049	1598	1139	719	1011	553	744	879	675	431	440	398	487	460	267	259	484	452	382	219	215	156	180	179	121	244	184	108	152	238	99	115	107	89	121	77	92	97	112	93	55	59	54	46	39	91	39	29	98	29	23	24	16	63	17	52	25	24	25	28	22	13	13	20	17	9	14	5	8	20	10	12	6	6	6	12	7	17	5	3	6	2	7	9	2	1	1	7	8	4	17	4	4	0	2	2	2	4	2	1	1	3	2	5	1	4	1	5	0	0	1	0	0	0	0	2	1	0	2	0	0	2	0	1	0	1	0	1	0	3	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	16315	6186	2026	2926	7395	3192	2192	1012	936	801	1757	586	729	892	519	1294	828	339	779	128	521	735	491	182	250	260	347	349	84	51	413	388	310	57	132	31	113	85	48	201	137	31	94	212	36	57	49	66	97	41	75	79	98	72	19	48	28	13	15	80	14	9	89	10	13	10	10	55	4	44	4	10	21	25	14	4	6	7	7	4	4	2	7	11	6	12	4	3	2	9	0	17	2	2	0	0	5	7	0	0	1	3	6	2	15	2	2	0	1	1	0	2	1	0	0	2	0	5	0	2	0	2	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	29295	12954	7514	5980	8871	4797	3482	2379	2115	1859	2254	1400	1335	1398	1044	1620	1132	756	1011	558	778	916	705	444	468	409	488	457	277	257	493	449	372	219	203	154	185	177	126	268	164	115	143	205	95	101	101	122	107	71	90	87	105	108	47	85	56	45	34	79	36	38	76	31	27	28	16	43	21	44	21	21	31	23	29	13	15	23	15	8	17	10	9	17	14	13	6	8	6	10	10	10	4	5	9	2	7	11	1	0	3	9	10	4	8	6	4	1	0	3	3	3	2	1	2	4	1	6	0	4	0	3	1	0	1	1	2	0	0	2	2	0	1	0	0	2	0	1	0	0	0	1	0	3	2	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	16355	6199	1939	2960	7443	3268	2159	1027	923	835	1675	599	743	932	524	1328	820	342	789	136	561	763	511	191	256	257	349	349	93	51	414	388	295	56	124	33	115	94	41	222	128	32	89	183	35	57	54	92	82	36	76	66	89	83	19	74	33	9	12	70	16	8	65	10	14	13	10	34	7	38	5	9	19	20	20	5	7	7	5	2	4	4	7	10	7	11	3	4	3	7	2	10	1	5	0	1	4	9	0	0	3	5	6	2	7	4	2	0	0	1	0	2	1	0	0	2	0	5	0	2	0	2	1	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	29177	13014	7472	6065	8686	4731	3531	2336	2127	1870	2266	1386	1337	1407	1012	1689	1110	755	978	542	774	942	746	447	468	439	472	446	261	256	442	470	343	218	201	171	202	158	119	241	175	117	131	205	105	81	93	124	94	62	83	94	112	99	40	89	53	44	27	56	34	35	74	27	22	30	16	42	20	59	16	23	33	22	31	12	14	18	8	10	13	14	13	20	10	7	5	8	9	9	9	14	4	7	6	3	6	12	2	0	3	9	10	12	7	5	4	2	0	2	1	4	1	0	2	5	1	9	0	2	0	1	2	0	1	1	2	0	0	1	1	0	1	1	0	1	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1
0.03	north5_active	80	16187	6162	1920	2962	7297	3162	2202	992	966	829	1688	603	719	900	528	1401	813	342	747	136	549	777	561	189	252	288	347	334	83	48	370	405	274	56	117	37	133	91	39	197	143	26	80	180	36	43	44	94	76	25	67	70	95	76	15	78	29	9	10	46	17	6	65	6	8	17	7	35	8	53	5	5	20	19	24	4	6	4	3	3	4	8	7	15	3	5	1	3	3	5	4	14	1	6	0	2	3	11	1	0	3	4	6	10	3	4	2	0	0	1	0	2	1	0	0	2	0	5	0	1	0	1	2	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north6_all	80	28223	12875	7380	5914	8056	4562	3402	2343	2065	1841	2191	1351	1237	1422	938	1621	1018	719	961	549	711	918	681	430	460	464	443	409	245	240	426	453	306	211	202	162	212	154	101	228	159	117	133	167	90	78	93	122	87	77	78	80	126	96	34	104	45	42	26	35	25	34	51	29	24	30	22	38	21	37	19	23	29	20	25	18	12	15	12	8	14	32	14	16	11	7	3	8	9	5	10	11	3	11	7	4	7	10	4	3	6	7	8	9	5	5	1	2	0	3	2	2	1	1	2	4	3	4	0	1	2	2	2	0	1	1	2	0	0	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1
0.03	north6_active	80	14920	5851	1789	2758	6625	2931	2029	957	904	789	1617	574	623	895	476	1321	721	287	728	131	499	730	496	169	250	293	328	304	71	54	340	384	237	43	110	34	141	98	29	190	120	29	64	146	30	34	49	92	67	30	60	54	105	76	10	90	25	12	10	25	12	7	40	3	9	15	4	28	8	34	5	6	16	17	20	3	4	3	3	3	6	26	6	14	3	4	0	1	2	2	5	11	1	6	1	2	3	9	1	1	5	3	5	8	2	4	1	0	0	1	0	0	1	0	0	2	1	0	0	0	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_all	80	27561	12719	7420	5776	7529	4354	3322	2326	2011	1794	2126	1315	1227	1402	884	1539	1002	694	907	534	685	908	606	417	442	447	422	389	234	239	431	425	260	184	198	156	192	162	106	219	173	112	119	154	88	75	87	120	110	75	62	81	139	78	43	89	55	48	26	43	26	27	53	30	21	30	21	41	25	44	16	22	24	15	18	19	12	12	14	9	11	35	15	17	12	9	5	6	9	3	7	14	4	8	5	6	3	5	4	3	5	5	9	11	6	7	1	2	2	4	3	1	1	1	0	3	4	4	0	1	3	3	3	0	1	1	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0
0.03	north7_active	80	13837	5460	1709	2584	6014	2724	1866	909	855	748	1519	517	575	865	411	1229	685	266	666	112	451	702	421	152	265	283	300	272	65	60	355	354	191	42	100	36	123	91	31	182	130	30	55	130	31	33	40	100	87	26	39	54	119	62	10	76	34	13	11	30	9	6	43	4	5	17	6	33	8	41	5	9	14	13	14	5	4	5	5	5	4	31	5	16	2	7	1	0	2	1	3	14	0	3	1	4	0	5	1	1	3	3	7	9	3	6	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
