label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190
0.03	north1_all	80	36951	15861	6420	4749	3722	3488	2823	2876	3230	1473	1975	1106	1036	1959	982	717	1159	614	730	895	546	346	748	342	666	295	563	276	270	411	258	260	257	181	177	220	142	229	195	126	200	91	110	67	138	69	66	79	57	159	59	56	106	47	53	45	44	44	36	34	37	39	37	46	30	27	17	28	29	45	34	22	11	20	16	12	23	14	11	8	9	12	15	14	5	5	6	6	8	21	4	21	5	6	4	0	3	4	5	3	5	0	5	6	6	2	7	1	0	2	2	1	0	4	2	0	2	1	0	1	0	0	1	0	1	1	1	1	2	0	1	1	1	0	0	2	0	1	0	1	0	1	5	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	22046	9200	2972	2188	1854	1812	1396	1601	1949	675	1171	503	495	1250	527	326	715	289	425	519	296	154	444	158	419	140	326	133	141	237	157	152	140	86	105	133	83	141	120	69	124	45	57	33	87	37	42	45	25	84	34	26	72	24	25	22	22	28	25	12	17	25	24	34	11	15	11	16	19	35	16	14	8	13	8	6	19	10	6	5	6	6	7	10	4	1	4	3	4	8	3	15	3	2	1	0	2	0	4	1	1	0	4	6	0	0	5	1	0	2	1	0	0	2	2	0	2	0	0	1	0	0	1	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	1	0	1	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	36978	15683	6514	4759	3737	3467	2806	2833	3379	1442	1928	1116	1055	1953	994	703	1139	633	718	961	559	389	758	325	654	288	561	278	258	430	269	286	272	190	196	236	154	241	221	120	181	91	98	77	141	78	75	92	71	107	59	47	92	44	41	41	44	46	44	37	33	46	46	43	24	26	19	29	43	50	26	24	14	19	16	10	12	18	12	9	12	12	12	14	11	6	4	5	6	21	2	21	7	5	5	2	4	5	4	6	4	2	2	6	5	6	7	0	2	4	2	1	0	4	1	0	3	1	0	1	1	1	0	0	0	1	1	1	2	0	1	1	2	0	0	1	0	0	2	1	0	1	5	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	21893	9093	2960	2176	1853	1800	1367	1572	2095	663	1126	534	518	1220	535	313	707	305	402	600	320	175	464	144	408	133	337	131	132	262	153	166	158	95	110	142	87	148	141	64	99	42	49	40	93	36	45	52	29	67	32	21	66	23	19	21	25	28	28	12	15	23	30	33	8	12	13	19	34	36	13	14	7	12	6	4	7	15	6	4	7	7	6	7	9	2	3	2	3	11	1	16	5	2	3	0	2	2	3	1	1	0	2	4	0	2	4	0	1	4	1	0	0	3	0	0	2	0	0	1	1	1	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	1	1	0	1	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	37128	15638	6519	4731	3762	3489	2817	2773	3317	1450	1962	1093	1040	2025	928	713	1076	631	741	998	567	391	770	319	706	275	471	264	259	383	281	298	263	193	208	199	175	241	252	128	183	90	104	82	133	76	72	73	68	96	57	60	83	40	40	43	40	59	46	45	39	47	55	42	21	25	17	36	40	52	24	22	18	21	16	14	13	21	22	10	12	12	8	14	12	10	3	6	9	17	2	11	8	5	7	2	5	9	3	11	3	4	3	7	5	5	3	0	2	6	1	2	0	2	2	0	1	1	1	2	1	1	1	0	1	0	0	2	2	0	1	1	1	0	0	1	1	1	2	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	22083	9035	2973	2194	1858	1806	1392	1568	2038	671	1129	531	505	1234	474	322	634	307	410	624	319	183	483	150	468	132	290	116	137	220	160	163	147	107	115	108	94	154	164	60	107	35	54	41	88	34	38	45	28	48	29	24	58	19	21	23	22	42	29	18	19	23	40	30	8	9	11	23	35	34	12	11	9	14	6	2	7	19	14	5	7	7	7	5	9	5	1	3	7	14	1	8	5	2	7	0	2	2	2	2	1	0	3	5	1	2	0	0	1	4	1	1	0	2	1	0	0	0	0	2	1	1	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	37011	15606	6437	4702	3812	3491	2788	2719	3271	1410	1942	1102	1050	1994	973	700	1041	645	730	1047	588	383	747	319	687	265	435	256	250	414	294	287	249	187	183	198	179	233	224	136	172	95	111	82	121	83	72	70	72	96	60	61	87	35	42	42	39	64	44	44	36	45	51	32	20	27	25	45	31	43	25	19	18	17	11	14	16	17	19	13	7	8	14	15	12	11	3	6	12	19	2	10	4	8	7	2	3	11	5	8	2	5	1	6	3	5	5	1	2	6	1	1	0	2	4	0	1	0	1	1	1	1	1	2	2	1	0	1	2	0	1	6	1	0	0	0	2	2	2	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	22065	8943	2867	2209	1852	1807	1403	1536	1987	658	1140	535	502	1200	516	310	612	305	385	687	329	180	450	155	449	121	265	108	140	223	164	153	138	101	95	116	99	145	147	66	112	41	60	43	74	39	32	40	35	52	29	25	58	19	19	26	18	43	25	21	20	16	35	22	9	8	13	22	22	27	14	9	7	10	3	6	8	13	11	5	4	4	10	10	9	5	1	3	8	13	1	7	2	3	7	0	0	4	3	1	0	0	1	2	1	2	4	1	1	4	1	1	0	2	3	0	0	0	0	1	1	1	0	0	1	0	0	0	2	0	0	6	1	0	0	0	2	2	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	36599	15730	6380	4665	3841	3420	2833	2776	3151	1437	1946	1087	1045	2082	911	701	1007	619	703	1057	556	377	703	330	735	272	456	233	273	441	277	268	252	194	180	178	173	238	231	147	189	91	119	77	123	87	61	80	59	113	54	64	89	33	42	45	40	56	47	44	35	47	48	46	22	32	28	41	25	34	17	25	13	16	14	18	15	9	16	19	6	11	19	19	17	12	8	3	13	18	5	9	3	9	6	2	3	19	6	9	2	3	2	4	2	1	5	2	1	6	1	2	0	1	8	0	0	2	2	1	1	2	1	3	2	1	0	1	0	0	2	7	1	0	0	0	2	2	2	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	21845	9025	2886	2177	1878	1793	1447	1534	1902	669	1128	518	487	1267	475	314	562	284	387	740	301	179	402	174	468	118	280	107	151	249	141	126	138	93	91	103	98	151	144	64	125	42	63	37	63	47	26	46	32	65	28	33	52	16	17	24	17	31	27	27	21	19	30	31	8	14	11	21	16	22	8	16	5	8	5	6	7	6	10	8	5	6	12	13	15	6	4	2	10	12	3	7	0	6	6	0	0	10	3	2	0	0	1	1	1	0	4	1	1	4	0	2	0	1	6	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	6	1	0	0	0	2	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
