label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193
0.03	north1_all	80	41564	19487	8048	10867	4523	5297	2902	4907	2077	1634	1578	1372	2096	1109	951	807	1133	709	1162	587	453	646	434	428	382	547	611	288	568	275	230	182	275	399	216	306	272	148	156	120	241	154	107	99	103	71	73	72	69	105	156	51	69	61	67	41	69	50	35	43	37	45	76	24	71	48	21	13	19	10	19	21	23	39	28	46	21	18	8	15	22	8	9	14	20	12	11	9	4	2	4	7	0	8	6	5	3	9	4	5	1	8	4	4	3	2	1	2	2	2	2	4	1	5	1	2	3	3	0	1	2	0	0	0	0	1	0	2	2	1	2	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	31927	14909	3453	8987	2275	3845	1282	4150	970	466	688	607	1685	483	379	250	833	274	937	129	188	429	172	172	166	419	510	97	497	103	81	44	172	339	140	258	208	47	83	38	207	100	56	39	57	35	21	42	34	73	135	22	39	48	38	22	56	34	13	25	10	18	70	6	65	37	9	2	4	3	8	15	13	36	21	37	15	7	3	5	17	2	5	4	19	8	4	3	2	1	2	2	0	4	1	1	0	5	2	0	1	4	2	3	1	2	0	1	1	0	0	3	0	2	0	0	2	1	0	1	0	0	0	0	0	0	0	2	2	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	41585	19458	8150	10642	4544	5320	2924	4707	2072	1694	1560	1281	2164	1100	967	804	1127	740	1152	572	497	655	441	419	394	507	638	281	531	266	230	176	275	414	241	345	273	141	165	133	256	155	127	107	89	87	79	68	71	80	128	54	70	81	69	37	55	56	30	42	27	40	60	26	95	44	25	7	16	10	18	18	17	33	26	34	23	21	9	14	27	10	11	8	23	14	11	6	3	0	3	9	3	8	6	6	2	14	5	5	1	8	5	8	1	2	1	2	6	2	3	7	3	6	2	1	3	2	0	0	2	1	1	1	0	0	0	0	0	3	1	3	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	31903	14833	3526	8744	2249	3857	1276	3929	950	485	687	528	1756	471	383	245	843	291	912	142	194	437	175	163	172	376	539	81	453	97	92	41	157	349	169	295	226	45	87	42	226	104	57	43	45	45	24	44	34	48	109	25	36	62	43	24	47	42	9	26	9	15	51	7	86	37	13	3	5	4	10	15	8	31	17	29	16	8	3	4	21	5	4	2	22	8	3	3	1	0	2	2	0	5	1	1	0	8	3	0	1	5	5	7	1	2	0	1	4	0	0	5	2	4	1	0	2	1	0	0	0	0	1	1	0	0	0	0	0	3	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	41595	19585	8046	10642	4608	5113	2893	4722	2052	1706	1565	1333	2188	1091	980	797	1169	728	1192	566	525	626	472	410	400	526	688	275	537	273	225	198	261	344	221	324	281	148	163	136	257	149	133	96	86	94	74	69	79	80	152	58	55	88	80	41	69	58	26	39	37	32	70	27	68	61	18	15	19	13	18	29	15	41	21	32	21	19	12	10	26	11	10	8	21	6	11	5	2	3	4	6	3	6	6	6	4	12	5	5	3	5	8	8	1	10	2	4	5	1	3	5	7	6	1	2	3	2	2	0	2	1	1	1	0	1	0	0	1	3	1	1	0	0	2	3	0	0	0	1	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	32038	14892	3410	8798	2284	3723	1276	3938	929	504	700	538	1774	468	380	244	871	283	958	152	211	401	194	160	183	398	591	72	446	92	89	46	160	283	149	281	227	45	83	46	227	105	57	35	47	47	22	40	40	57	134	24	25	65	52	21	63	44	10	28	11	14	60	7	58	50	10	7	6	3	9	27	9	37	13	27	14	9	1	2	22	8	3	5	18	3	3	3	1	0	3	2	0	5	1	1	0	9	3	0	2	4	7	7	1	10	0	3	3	0	0	3	5	5	1	1	2	1	2	0	0	0	1	1	0	0	0	0	0	3	1	0	0	0	1	3	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	41670	19914	7930	10484	4723	5159	2946	4666	2047	1768	1604	1345	2103	1125	997	788	1145	721	1145	560	548	667	478	411	393	520	716	264	559	270	210	218	263	372	249	322	356	146	149	132	246	117	131	99	96	92	68	67	79	91	146	57	61	83	64	38	98	70	31	36	31	32	71	30	56	82	25	17	21	19	20	46	11	49	20	23	20	15	16	12	19	16	12	5	9	9	7	4	4	6	4	4	7	3	8	2	2	12	2	4	2	4	16	15	4	9	3	4	8	0	1	6	6	7	2	1	3	1	2	0	1	1	1	1	0	1	0	0	1	3	0	0	0	0	2	3	1	0	0	1	1	2	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	32026	15208	3405	8666	2354	3763	1316	3887	918	533	727	543	1701	492	391	237	855	285	899	150	223	450	215	164	171	375	611	67	465	103	80	49	176	308	178	281	301	49	78	44	213	89	51	38	50	45	16	40	34	62	128	25	34	58	37	16	88	56	20	25	10	11	59	9	44	69	16	10	7	7	13	41	7	47	16	20	13	7	3	3	17	9	7	4	6	4	2	1	1	2	4	2	2	3	1	0	0	9	1	1	1	4	15	13	4	9	2	3	6	0	0	4	5	5	1	1	3	0	2	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	41586	20065	7946	10586	4811	5197	2968	4687	2071	1765	1574	1365	2104	1115	1007	773	1212	706	1121	563	539	621	489	421	388	483	688	249	599	278	232	231	255	369	230	343	324	139	140	127	249	121	115	83	91	88	71	69	81	108	144	51	62	90	52	47	114	72	32	34	34	32	64	27	42	74	27	23	24	19	20	56	16	43	20	21	17	12	15	14	13	15	12	10	11	5	8	5	6	11	2	2	7	3	8	2	4	9	3	3	5	2	11	12	6	9	4	4	4	0	16	2	5	5	2	3	2	0	2	0	1	1	1	2	0	1	0	0	2	3	0	0	0	1	2	3	2	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	31914	15413	3422	8700	2379	3822	1291	3952	932	509	711	571	1710	455	390	252	912	282	909	155	234	428	246	165	171	339	581	63	508	106	82	63	191	305	154	304	264	53	74	42	211	89	44	33	46	41	18	37	38	84	128	20	33	66	25	21	99	57	20	22	11	13	54	9	30	64	18	12	6	6	10	52	10	40	16	17	11	9	3	3	9	6	7	8	5	3	4	2	3	3	2	2	3	2	1	0	1	8	1	1	3	2	10	10	5	9	2	3	3	0	15	2	3	3	1	1	2	0	2	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	41516	19929	7936	10535	4740	5275	3018	4614	2079	1729	1589	1411	2115	1119	1003	789	1164	692	1151	563	555	643	437	416	379	494	666	253	560	289	234	228	249	400	250	282	312	131	127	111	247	119	117	93	100	85	75	66	72	124	162	57	59	84	50	42	157	69	37	55	32	34	81	23	53	51	27	27	20	17	21	55	17	47	16	22	20	18	14	13	8	12	11	8	24	6	7	8	11	9	4	4	9	3	8	1	4	11	3	2	6	3	19	11	6	7	3	3	4	0	16	2	3	3	2	3	3	0	1	1	2	1	1	1	0	1	0	1	2	0	0	0	0	2	1	4	2	0	1	0	0	2	0	1	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	31864	15351	3422	8623	2377	3885	1324	3880	937	490	711	612	1736	460	390	246	861	278	939	141	256	450	210	167	161	359	557	57	477	123	75	58	183	336	164	240	250	58	66	32	210	80	48	36	52	33	18	34	32	95	142	23	39	64	22	18	140	53	21	31	11	12	72	6	35	44	20	13	6	5	11	50	11	43	12	18	14	13	2	5	5	1	6	4	20	2	2	3	6	3	4	3	4	2	1	1	1	11	1	1	3	3	18	9	5	7	2	2	3	0	16	2	1	1	1	1	3	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	41814	20067	8058	10515	4729	5045	2958	4718	2051	1677	1506	1423	2178	1091	960	786	1214	691	1166	570	535	676	454	385	395	500	645	265	542	276	239	242	242	460	237	277	250	144	121	118	268	139	126	97	89	85	89	58	63	117	148	50	48	88	61	46	127	58	40	54	30	33	84	16	56	32	30	34	20	7	23	44	29	28	18	15	16	16	13	16	6	12	10	12	51	8	9	7	13	14	8	2	7	4	4	1	4	13	3	0	5	6	12	6	4	6	2	0	2	1	17	1	2	1	2	4	6	2	3	1	2	2	2	1	1	2	0	4	1	0	1	1	0	2	1	1	1	0	1	1	0	3	1	1	1	0	1	0	0	0	1	2	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	32089	15448	3448	8553	2400	3683	1290	3977	946	464	668	648	1781	457	376	243	897	276	946	143	246	460	219	150	179	366	544	62	461	116	76	53	172	397	152	226	191	58	61	35	229	93	52	39	43	29	25	28	29	95	123	17	29	68	31	19	107	46	17	25	12	14	77	5	42	26	22	16	5	2	10	39	20	24	13	7	11	12	3	5	4	4	3	8	46	2	3	3	6	6	8	1	3	3	0	1	1	13	1	0	3	3	11	3	3	6	1	0	0	0	16	1	1	1	1	2	6	1	3	1	1	0	2	1	1	0	0	3	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	41941	20055	8125	10542	4625	5133	2877	4818	2091	1699	1518	1377	2260	1113	980	807	1198	688	1242	575	518	730	459	402	378	505	685	264	576	250	238	229	246	401	236	244	245	158	122	120	275	140	111	107	88	83	91	55	62	120	126	45	43	75	61	54	101	55	42	53	34	28	88	21	69	46	26	35	17	11	20	42	33	31	19	16	12	17	10	15	6	9	14	15	51	10	8	6	9	10	11	2	9	4	5	3	4	13	4	0	3	10	14	1	4	6	3	2	2	1	13	2	2	3	2	3	4	2	3	1	3	1	1	2	1	2	0	5	1	0	1	1	0	1	1	2	0	0	1	2	0	4	1	1	1	1	1	0	0	0	1	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	32185	15459	3443	8564	2301	3717	1266	4078	949	463	665	625	1854	487	394	265	868	289	1019	143	230	490	208	178	177	379	593	54	490	105	71	48	168	341	143	183	192	61	65	41	234	92	46	41	40	32	25	23	22	92	103	18	27	52	34	28	88	43	17	25	17	10	80	5	55	39	15	16	2	3	10	35	22	25	13	8	7	11	1	4	5	3	6	12	46	1	1	2	4	7	11	1	4	3	1	2	1	13	0	0	2	6	13	0	3	6	2	2	0	0	12	1	1	2	1	2	4	1	3	1	2	0	1	2	1	0	0	4	0	0	1	0	0	0	1	2	0	0	0	1	0	3	0	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	41557	19803	8114	10451	4627	5084	2888	4815	2128	1673	1531	1337	2168	1100	972	818	1204	709	1154	580	506	722	458	421	383	604	713	275	495	237	224	227	251	379	241	252	236	152	135	135	234	156	108	105	89	89	96	73	56	129	128	39	47	74	61	64	68	60	44	39	33	26	79	28	58	56	39	30	16	14	17	61	40	24	18	12	14	9	13	16	9	7	16	15	36	12	10	6	9	12	9	2	8	4	8	8	4	10	3	0	1	8	16	1	4	7	3	3	3	1	1	3	2	3	1	2	9	2	2	0	2	3	1	1	1	2	0	6	1	0	1	2	0	1	1	1	0	0	1	4	1	3	1	1	2	1	1	0	0	1	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	31917	15177	3470	8528	2299	3661	1290	4057	953	470	684	581	1785	455	390	279	875	313	929	144	213	469	216	176	188	476	632	62	415	89	72	46	163	320	148	201	185	52	62	48	200	98	36	41	49	40	29	36	16	102	104	16	28	52	38	34	53	48	18	11	18	10	72	6	47	49	24	14	1	4	9	55	26	20	12	5	9	4	7	3	9	3	10	13	32	2	4	1	3	7	9	2	3	2	3	4	1	10	1	0	1	4	15	0	3	6	2	3	0	0	0	2	1	2	0	2	9	1	2	0	2	0	1	1	1	0	0	4	0	0	1	1	0	0	0	1	0	0	0	1	0	3	0	1	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
