label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188
0.03	north1_all	80	38225	14058	11873	6281	5935	2877	4692	4647	1890	2580	2161	2452	1978	1321	789	1511	1040	674	539	788	447	588	487	597	523	605	570	257	325	339	412	225	313	266	135	157	153	154	192	96	173	178	64	64	97	91	89	81	65	60	62	49	40	50	93	41	41	45	34	38	65	40	33	40	41	28	27	18	19	19	19	29	47	11	33	14	23	14	12	15	14	6	4	11	13	11	6	5	12	8	11	9	10	2	4	6	3	2	2	5	4	5	0	5	2	1	2	2	2	4	1	1	1	0	7	2	3	2	2	1	1	1	0	3	2	2	0	0	0	1	1	1	0	1	2	1	0	1	3	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	22777	7783	7083	3423	3458	1286	2944	2902	968	1558	1313	1526	1241	778	354	904	590	347	264	478	217	337	263	363	323	395	379	113	173	210	243	109	173	157	50	69	81	99	103	50	94	111	29	29	62	39	44	53	31	32	28	20	17	26	58	21	21	25	14	23	21	24	15	14	26	12	11	10	13	9	11	20	39	4	22	4	14	5	8	8	3	2	0	3	12	3	2	5	9	5	5	6	6	2	2	2	1	2	1	2	1	4	0	5	2	1	0	2	0	1	0	1	1	0	7	2	1	1	1	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	38275	14095	11582	6227	5974	2867	4763	4625	1952	2624	2192	2364	1956	1332	820	1483	1044	676	549	798	449	580	477	590	521	630	549	242	313	374	407	245	326	274	143	145	154	148	201	94	168	167	71	63	92	100	101	78	67	65	61	42	49	50	113	45	41	43	45	44	44	50	21	40	41	24	34	23	19	20	20	22	43	12	31	14	15	14	16	16	14	6	5	9	9	6	7	5	5	7	8	11	9	5	5	3	4	4	4	5	5	5	1	6	4	3	1	2	2	5	1	0	2	0	7	2	2	3	3	0	0	1	1	4	2	1	0	0	0	1	1	0	0	0	2	1	0	1	3	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	22914	7868	6823	3359	3523	1291	2947	2911	965	1608	1354	1493	1230	759	361	890	601	363	248	496	215	331	252	365	328	429	374	105	164	226	234	122	192	174	61	58	84	89	112	43	84	106	29	31	53	49	57	46	41	35	28	20	20	26	73	25	21	26	19	30	13	24	11	14	24	14	18	15	9	10	10	16	36	4	21	3	5	4	9	7	4	1	0	5	8	3	2	5	4	4	3	8	5	3	2	2	1	3	3	3	2	4	1	4	3	2	1	1	1	3	0	0	2	0	7	2	1	2	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	2	1	0	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	38117	14314	11813	6172	6116	2825	4697	4708	1929	2647	2201	2312	1960	1337	826	1537	1117	659	555	819	456	564	446	557	545	634	542	253	278	377	390	250	321	267	143	146	169	165	182	97	176	156	70	72	106	84	108	69	76	56	56	41	47	51	130	41	45	46	45	47	28	51	23	42	37	23	30	20	20	23	17	21	35	17	26	10	19	14	13	15	16	5	12	8	11	5	4	9	9	7	7	12	4	7	4	1	5	4	3	3	9	4	2	5	3	4	1	2	2	6	2	1	3	2	6	3	4	3	2	0	0	1	1	4	2	0	0	0	0	0	2	0	0	0	2	0	2	0	3	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	22836	8020	7052	3360	3699	1278	2872	2952	968	1570	1342	1471	1258	745	367	970	653	346	271	511	218	332	228	340	351	434	367	105	162	225	219	130	198	152	67	63	91	101	98	43	98	86	29	35	62	47	64	37	46	29	27	17	20	25	91	26	26	23	22	33	12	26	12	20	23	15	17	12	11	14	8	15	26	8	19	1	9	4	4	7	5	1	7	4	9	3	2	5	6	2	3	8	1	5	3	0	2	3	3	3	4	4	1	2	2	3	1	1	1	4	0	0	2	2	6	2	1	3	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	2	0	2	0	3	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	37762	14496	11483	6162	6084	2856	4739	4616	1908	2678	2173	2244	1961	1386	801	1521	1115	642	554	848	486	589	447	541	525	661	526	235	274	394	399	273	300	298	144	148	171	189	188	111	170	140	68	93	118	82	105	73	87	50	53	38	51	51	126	41	44	47	40	45	24	63	22	36	32	23	27	19	22	22	11	12	41	13	21	8	21	10	14	14	15	6	13	9	12	2	5	9	11	6	11	10	3	9	2	5	4	4	2	5	8	4	2	4	3	4	1	3	2	7	1	1	2	2	5	3	2	2	2	0	1	1	1	3	1	0	0	0	0	0	2	0	0	0	2	0	2	3	5	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	22727	8219	6936	3316	3680	1262	2899	2861	941	1607	1308	1393	1235	768	356	958	638	326	257	537	234	342	238	319	327	469	340	102	155	240	228	149	196	181	67	66	90	114	107	53	100	75	36	47	64	54	64	35	51	23	23	14	21	24	75	29	24	20	23	31	11	34	9	23	20	16	16	9	11	13	4	7	31	7	15	2	10	1	5	6	8	1	7	4	8	2	3	5	6	1	6	7	0	7	1	2	2	2	2	5	3	3	1	1	2	3	1	1	1	4	0	0	1	2	0	2	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	37753	14588	11334	6248	5941	2900	4706	4499	1852	2557	2075	2237	2025	1406	782	1466	1070	660	542	829	503	613	457	504	567	644	564	229	291	361	418	255	288	305	141	170	171	182	184	114	167	136	58	89	135	83	99	96	75	53	50	38	52	48	121	38	46	46	30	46	28	49	32	52	39	21	26	14	27	21	13	17	41	18	25	9	22	12	13	10	15	5	12	5	14	8	6	10	10	6	8	10	2	9	2	5	6	2	2	4	9	2	2	4	2	1	2	3	1	5	2	3	3	2	5	2	2	1	2	1	1	0	0	2	0	0	0	0	0	1	1	0	0	0	1	0	2	3	2	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	22718	8140	6864	3371	3544	1307	2852	2803	913	1489	1257	1372	1268	775	352	893	618	316	258	486	246	345	256	285	347	443	359	102	163	217	262	151	176	188	63	85	95	112	117	56	102	72	34	45	79	50	52	45	41	25	22	14	18	23	67	24	25	21	16	29	18	32	12	36	28	15	15	5	13	12	6	11	30	11	12	4	14	3	7	3	8	0	8	1	7	5	5	5	4	2	5	8	0	7	1	2	1	1	2	4	4	1	1	1	1	1	2	1	0	2	1	1	1	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
