label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38
0.03	north1_all	80	6007	1761	1370	632	441	924	580	398	94	73	74	91	43	24	23	12	16	16	8	6	15	3	3	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	3288	804	753	307	233	636	391	277	54	26	37	57	24	12	13	9	12	12	4	3	12	1	3	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	6148	1737	1299	615	456	951	590	371	84	75	80	77	39	32	21	8	23	16	7	5	10	2	5	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3349	780	733	310	244	640	380	259	50	33	46	53	21	14	12	7	17	12	4	2	6	0	5	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6092	1787	1272	611	446	936	611	356	94	71	67	66	30	32	29	7	18	14	10	3	5	1	5	1	2	1	0	1	3	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	3307	805	734	295	232	623	399	249	48	33	42	49	12	17	14	6	14	9	5	1	2	0	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6105	1777	1296	633	450	884	572	340	96	72	69	66	24	28	27	11	18	18	9	3	6	2	3	2	1	3	0	1	3	0	1	2	2	0	0	0	0	0	0
0.03	north4_active	80	3320	815	724	302	243	574	345	231	43	38	41	46	10	14	11	9	14	13	5	1	2	0	3	2	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0
0.03	north5_all	80	6168	1786	1285	635	428	892	560	355	94	63	69	56	28	27	24	11	23	15	9	3	4	3	3	4	1	4	0	4	3	0	1	2	2	0	0	0	0	0	0
0.03	north5_active	80	3377	833	708	297	224	562	318	245	40	34	37	38	14	16	10	8	17	10	3	2	2	1	2	1	0	2	0	2	0	0	0	1	2	0	0	0	0	0	0
0.03	north6_all	80	6074	1750	1329	611	437	878	600	349	95	68	54	66	40	23	21	17	20	15	8	2	20	2	3	6	1	3	0	4	3	0	0	2	2	0	0	0	0	0	0
0.03	north6_active	80	3382	805	721	290	234	572	361	239	37	37	23	45	25	11	13	7	13	8	4	1	18	1	2	1	1	1	0	2	0	0	0	1	2	0	0	0	0	0	0
0.03	north7_all	80	6148	1779	1284	571	418	913	624	364	88	65	63	65	34	22	20	15	15	14	10	3	21	2	5	6	1	3	0	3	0	0	0	2	0	0	0	0	0	0	0
0.03	north7_active	80	3473	819	670	274	225	590	418	241	31	31	32	39	20	11	13	5	9	6	7	1	17	2	2	1	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	5906	1770	1227	566	404	856	624	332	94	69	62	63	32	22	21	19	9	9	7	8	20	3	4	4	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	3325	797	637	271	207	565	429	217	40	28	31	35	18	9	14	6	4	3	6	7	17	3	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	5682	1795	1210	597	395	792	520	319	110	72	72	70	22	23	28	20	9	10	6	8	9	2	3	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	3154	785	636	293	192	520	347	208	49	30	44	44	10	11	16	6	4	5	5	6	3	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	5547	1756	1211	601	387	735	458	275	109	70	67	61	27	25	26	17	7	7	4	9	10	2	3	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	3025	773	636	300	183	452	292	165	52	30	44	40	12	13	16	9	4	6	2	6	4	2	2	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	6112	1707	1294	610	431	854	599	362	87	58	62	71	34	17	23	11	24	16	3	7	15	1	2	4	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north11_active	80	3383	813	699	296	238	554	412	253	42	25	39	46	13	7	11	6	19	11	1	4	6	1	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	5994	1743	1331	607	425	919	575	349	89	61	72	53	29	16	23	15	21	18	3	8	11	4	2	4	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0
0.03	north12_active	80	3346	832	737	299	239	604	368	226	40	31	45	36	13	8	10	6	15	11	1	5	7	3	0	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north13_all	80	5972	1697	1321	599	439	931	593	360	91	70	69	61	26	15	21	18	22	17	4	9	9	4	0	2	2	4	2	1	0	0	0	0	0	1	1	0	0	0	0
0.03	north13_active	80	3374	793	738	279	237	594	380	219	43	30	44	35	7	9	10	7	15	10	1	5	6	3	0	2	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north14_all	80	5952	1710	1300	609	425	884	601	327	96	75	84	66	32	18	21	25	13	15	3	10	10	3	1	2	2	3	1	1	0	0	0	1	0	1	0	0	0	0	0
0.03	north14_active	80	3369	798	722	295	226	579	361	202	47	37	54	38	10	9	9	10	5	10	1	5	8	2	0	2	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north15_all	80	6086	1700	1287	609	436	919	634	342	91	68	81	79	38	25	16	24	19	10	5	13	9	1	3	1	1	3	1	2	1	0	0	1	0	1	0	0	0	0	0
0.03	north15_active	80	3423	781	707	270	239	632	396	220	49	31	49	46	11	10	8	12	6	6	2	8	8	0	2	1	1	2	1	1	1	0	0	0	0	1	0	0	0	0	0
0.03	north16_all	80	6112	1746	1295	617	437	855	633	328	92	63	77	70	44	28	19	19	19	12	6	12	6	1	4	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0
0.03	north16_active	80	3395	788	693	279	233	560	392	199	43	33	44	42	17	12	10	11	8	8	4	8	5	1	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	6091	1776	1248	628	438	917	580	356	82	66	82	81	41	29	16	22	18	7	7	13	5	5	4	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0
0.03	north17_active	80	3354	781	664	284	227	578	383	230	35	28	49	50	22	12	8	14	7	3	5	10	3	4	4	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0
