label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46
0.03	south26_all	80	14602	2923	1975	1530	800	436	394	288	270	192	101	176	140	66	69	26	24	27	19	26	4	9	3	1	4	2	1	1	0	4	2	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
0.03	south26_active	80	9029	1325	1072	896	401	210	213	147	159	114	48	132	78	37	39	6	10	14	12	16	0	7	1	0	2	0	1	1	0	3	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
0.03	south27_all	80	14756	2854	1979	1507	810	465	390	294	270	186	100	195	161	63	80	25	20	22	23	28	7	12	5	2	4	1	3	1	0	3	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
0.03	south27_active	80	9182	1285	1052	875	409	200	194	142	151	103	45	135	98	33	55	8	11	15	16	21	1	10	2	0	2	0	2	1	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
0.03	south28_all	80	14810	2820	1939	1580	787	494	404	266	277	186	90	212	166	63	97	21	14	30	23	27	9	11	4	3	4	1	4	0	0	6	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	south28_active	80	9235	1261	1048	930	408	224	206	125	164	92	42	149	100	33	76	7	7	17	19	21	3	10	2	0	4	0	2	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
0.03	south29_all	80	14479	2805	1925	1621	761	506	409	272	282	178	87	235	184	64	100	17	15	24	28	24	10	8	4	3	5	0	4	0	1	6	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	8971	1245	1036	968	419	223	198	125	177	97	38	164	119	32	83	8	8	11	20	19	6	6	2	0	4	0	2	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	14319	2856	1962	1674	743	487	433	243	274	189	84	236	160	70	101	14	21	23	31	18	12	7	3	2	6	0	5	0	1	5	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	8863	1260	1043	978	417	238	221	116	166	116	33	172	107	38	79	9	8	10	22	12	7	3	1	0	5	0	3	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
