label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43
0.03	south30_active	80	10629	4228	1341	2992	254	635	137	710	59	146	218	53	57	29	10	26	4	36	33	3	26	10	8	1	12	2	0	4	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0
0.03	south31_all	80	15011	6174	2543	3718	952	1047	480	697	231	260	259	99	86	50	49	52	42	42	36	17	25	12	6	3	7	1	3	7	4	4	1	1	0	0	0	2	0	1	0	0	0	1	0	0
0.03	south31_active	80	10593	4319	1353	3228	254	756	194	596	66	159	206	47	42	19	21	34	17	31	33	2	21	6	2	2	6	0	0	7	2	4	0	0	0	0	0	2	0	1	0	0	0	0	0	0
0.03	south32_all	80	15161	6201	2528	3840	912	985	485	775	233	269	285	98	95	52	51	53	35	36	28	18	32	9	10	3	9	1	2	11	4	5	1	0	2	1	0	2	0	0	0	0	0	1	0	0
0.03	south32_active	80	10711	4313	1332	3297	243	708	196	653	64	160	240	49	47	19	23	30	14	25	22	1	29	4	5	2	6	0	0	10	2	4	0	0	2	0	0	2	0	0	0	0	0	0	0	0
0.03	south33_all	80	15272	6213	2571	3714	867	1022	520	795	221	281	274	103	84	53	52	44	30	49	33	16	34	9	10	3	12	2	3	8	4	6	1	0	2	1	0	2	0	0	0	0	0	1	0	0
0.03	south33_active	80	10848	4333	1329	3182	226	734	218	663	64	173	239	48	45	24	21	23	11	36	29	3	31	3	6	2	9	1	0	7	2	5	0	0	2	0	0	2	0	0	0	0	0	0	0	0
0.03	south34_all	80	15207	6137	2570	3760	873	1004	514	821	213	267	288	108	88	55	58	37	23	51	34	15	26	9	9	6	10	3	3	5	2	6	1	0	2	1	0	2	0	0	0	0	0	0	0	0
0.03	south34_active	80	10700	4274	1316	3195	226	728	214	697	62	158	233	45	48	27	24	24	7	39	28	3	23	3	5	3	8	2	0	4	2	5	0	0	2	0	0	2	0	0	0	0	0	0	0	0
0.03	south35_all	80	15395	6083	2621	3518	900	1035	505	867	224	245	281	112	78	54	55	30	33	42	66	10	35	15	8	8	6	4	2	4	4	5	1	1	1	1	1	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	10703	4195	1354	3016	231	728	214	741	68	150	229	52	43	27	23	19	10	37	59	3	34	7	5	3	4	2	0	4	3	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	15333	6007	2573	3537	897	1054	516	833	217	214	256	109	84	50	51	31	32	42	64	11	22	14	5	8	12	3	3	0	6	0	0	1	1	0	1	2	0	0	1	0	0	0	0	0
0.03	south36_active	80	10660	4138	1340	3049	226	743	214	724	73	120	204	56	38	22	24	15	10	36	57	4	21	10	4	3	10	2	1	0	5	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
0.03	south37_all	80	15349	6007	2587	3551	947	1037	499	869	231	210	244	108	85	48	47	38	37	42	68	11	36	15	6	7	13	2	2	1	7	0	0	1	2	0	1	3	0	0	1	0	0	0	0	0
0.03	south37_active	80	10759	4114	1359	3077	250	731	204	749	68	121	208	54	39	25	20	16	12	33	59	4	33	12	5	2	11	0	1	1	5	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
0.03	south38_all	80	15226	6076	2575	3518	943	1020	501	887	220	210	237	108	90	57	48	59	34	29	62	11	24	14	5	6	13	2	3	3	6	0	2	0	1	0	0	3	0	0	1	0	1	0	0	0
0.03	south38_active	80	10723	4147	1307	3067	259	734	195	768	64	121	199	56	40	21	16	30	11	18	54	5	20	9	3	1	12	0	1	3	5	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	south39_all	80	15281	6035	2579	3662	931	977	470	890	212	203	240	106	99	64	43	59	38	33	50	8	30	11	5	5	12	4	4	4	7	0	3	0	1	0	0	1	0	0	0	0	1	0	0	0
0.03	south39_active	80	10750	4137	1279	3183	263	695	184	770	56	114	199	51	46	25	14	32	13	23	42	4	23	7	2	1	11	0	0	4	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	15331	5982	2640	3523	897	1019	474	849	225	233	243	102	91	66	49	53	30	32	52	15	43	10	5	8	3	5	4	4	7	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	south40_active	80	10741	4092	1289	3042	233	732	178	726	67	134	188	44	43	25	17	34	8	26	46	8	38	5	0	2	2	0	0	4	5	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
