label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42
0.03	north1_all	80	9856	3089	2784	894	882	821	286	236	295	150	89	112	131	91	73	35	14	10	23	7	6	11	5	0	6	1	3	1	6	0	3	3	0	0	0	1	0	0	1	0	0	0	0
0.03	north1_active	80	5652	1619	1689	423	498	517	128	103	178	67	36	76	84	60	59	22	10	5	15	4	6	3	3	0	5	0	2	0	6	0	3	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	9889	3069	2708	858	851	851	274	236	306	143	93	116	121	81	83	45	18	11	27	8	7	13	6	0	6	1	3	1	6	1	4	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	5634	1558	1651	403	475	500	123	113	195	69	40	78	76	49	70	30	11	5	18	5	5	5	3	0	5	0	2	1	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	9624	3016	2635	863	805	807	268	234	308	138	86	114	99	67	78	35	17	11	27	11	9	17	6	0	3	0	4	1	2	1	2	1	0	0	0	0	1	0	0	0	0	2	0
0.03	north3_active	80	5500	1506	1593	393	442	436	114	105	179	74	43	67	74	34	66	24	8	5	12	6	5	7	1	0	2	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north4_all	80	9232	2935	2544	839	809	752	254	239	282	139	81	102	107	61	77	37	20	12	29	13	8	15	7	1	1	0	3	1	2	2	2	1	0	0	0	0	1	1	0	0	0	3	0
0.03	north4_active	80	5147	1444	1549	368	436	425	114	112	159	75	46	53	68	36	63	20	7	5	16	6	3	6	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north5_all	80	9035	2927	2545	870	747	714	267	233	303	142	78	109	123	73	80	32	27	11	30	13	6	21	5	1	4	2	3	1	1	2	3	1	0	0	0	2	1	1	0	0	0	3	0
0.03	north5_active	80	5073	1460	1524	366	390	414	110	98	158	79	42	60	76	42	61	15	12	4	18	4	2	11	0	1	2	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	3	0
