label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72
0.03	south28_active	80	16030	765	795	421	338	868	145	409	158	64	58	270	155	61	64	135	61	22	30	17	9	15	75	4	12	8	20	11	3	6	1	6	4	6	2	5	2	4	1	4	1	0	1	1	0	0	1	2	2	0	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	19005	2736	1784	1173	846	1122	458	604	344	238	179	313	243	131	119	170	114	57	69	40	35	25	75	35	20	16	34	19	17	15	12	7	8	8	3	6	3	6	3	7	6	1	4	2	3	2	3	3	1	0	2	3	0	1	0	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	south29_active	80	16889	785	802	437	357	871	135	434	157	63	64	252	171	70	74	132	74	21	34	13	8	16	71	10	13	9	29	10	5	6	1	4	3	6	2	5	1	3	1	5	1	0	3	1	0	0	1	2	1	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	17962	2753	1732	1168	856	1111	476	575	359	224	182	302	256	123	114	159	116	64	72	38	42	30	76	32	23	16	36	18	21	13	14	8	3	5	5	7	3	5	5	12	4	1	4	2	4	2	2	2	0	0	2	1	1	1	1	2	3	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	south30_active	80	15804	787	791	436	345	837	136	417	168	51	63	235	188	60	66	124	72	25	40	14	7	18	69	8	14	6	29	6	4	5	1	5	1	3	3	5	1	2	2	10	1	0	3	0	1	0	0	2	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	18445	2692	1693	1123	823	1202	461	644	302	256	234	321	234	121	142	202	93	53	77	42	48	42	72	24	26	12	36	14	18	15	12	26	13	11	14	5	8	5	5	12	2	2	2	1	3	4	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south31_active	80	16275	744	758	415	346	946	136	488	134	72	69	266	170	64	82	166	60	24	48	10	14	28	54	11	17	4	32	10	7	3	6	22	1	6	11	4	4	2	3	11	2	2	1	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south32_all	80	21227	2755	1733	1122	867	1339	483	711	332	236	227	371	261	135	159	203	95	67	87	42	57	42	88	29	25	16	39	18	18	11	9	38	13	7	11	6	11	5	3	8	2	1	1	2	3	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
0.03	south32_active	80	19209	774	841	457	383	1106	142	563	160	57	71	313	191	75	101	172	60	28	58	10	20	28	78	12	15	1	34	10	6	1	3	35	2	5	9	4	7	2	2	8	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south33_all	80	20641	2853	1733	1106	885	1370	474	678	336	237	219	390	249	133	139	161	93	63	83	39	52	45	89	25	29	18	37	22	18	10	10	28	12	6	4	6	7	5	2	4	3	1	2	2	1	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
