label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37
0.03	north1_all	80	2282	665	1046	253	267	171	92	197	46	92	86	48	31	14	46	11	7	7	9	2	4	0	0	0	2	2	0	0	1	0	1	0	0	0	0	1	0	0
0.03	north1_active	80	1300	335	674	126	142	93	45	127	27	54	50	35	25	8	34	4	2	4	6	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north2_all	80	2345	646	975	244	284	170	93	171	52	87	77	82	32	11	35	6	3	7	13	3	3	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0
0.03	north2_active	80	1355	316	619	113	151	94	49	106	37	52	43	52	27	6	24	2	0	4	3	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_all	80	2419	632	952	227	316	166	77	171	51	87	67	78	28	11	26	6	2	7	22	1	2	1	0	0	0	1	5	0	1	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	1402	306	573	106	166	99	38	108	34	61	39	51	20	5	11	4	1	3	13	1	1	1	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2382	630	963	239	318	168	85	173	45	71	58	100	35	15	25	5	6	13	26	1	3	2	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1377	313	569	116	175	91	41	112	24	47	33	68	26	7	15	5	5	8	16	1	2	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2319	640	1015	245	308	163	93	184	37	89	64	89	31	13	34	6	5	11	22	2	2	3	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1340	317	595	123	177	91	49	113	13	58	36	67	24	7	28	5	5	8	19	1	1	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	2217	642	1010	236	264	172	98	192	40	91	63	74	22	19	37	8	4	13	11	3	1	3	0	1	1	1	5	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1263	315	640	126	164	94	48	124	16	59	34	49	16	10	34	5	4	8	9	1	1	1	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	2162	657	1012	218	280	158	95	213	39	92	73	67	17	17	36	7	1	6	13	3	0	2	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north7_active	80	1206	302	637	121	173	87	45	142	20	64	34	44	8	9	32	2	1	1	11	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_all	80	2184	640	1015	220	288	147	89	200	45	77	58	58	29	18	40	7	2	4	18	1	2	0	1	0	1	1	1	1	0	0	1	1	1	0	1	0	0	0
0.03	north8_active	80	1197	272	661	113	172	78	45	142	26	57	26	36	15	7	36	2	1	0	16	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0
0.03	north9_all	80	2281	642	1036	232	271	156	87	186	39	91	63	61	29	18	43	9	2	4	27	2	2	1	2	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0
0.03	north9_active	80	1257	256	670	112	150	91	48	134	21	60	35	43	15	8	39	5	1	2	26	2	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0
0.03	north10_all	80	2230	620	1009	253	292	163	81	145	38	89	57	43	31	14	36	8	2	8	20	4	2	1	3	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0
0.03	north10_active	80	1202	246	655	120	158	95	45	102	20	48	38	29	18	6	33	5	1	7	20	3	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north11_all	80	2405	623	970	248	287	232	75	237	53	100	67	58	25	12	29	3	1	6	5	3	2	2	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	1373	303	605	122	145	137	44	174	29	63	46	29	21	7	15	2	0	3	4	1	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	2401	655	898	248	295	221	74	229	41	98	62	51	21	10	39	9	2	4	7	1	2	2	1	2	0	2	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north12_active	80	1416	318	560	121	161	131	41	159	23	63	42	37	15	7	23	6	1	2	5	0	2	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
