label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148
0.03	north1_all	80	15056	3205	2449	1198	982	1776	569	490	415	361	917	262	258	220	267	180	161	144	131	106	144	83	77	133	180	76	55	49	154	93	120	58	41	35	29	24	31	34	23	48	66	18	42	22	22	14	24	19	12	11	17	18	18	10	14	14	8	13	5	5	13	2	6	7	13	7	8	4	3	3	6	9	7	2	1	3	2	1	3	1	1	5	0	1	11	1	0	2	2	1	3	0	1	1	0	2	0	0	0	0	0	0	1	0	0	1	1	0	3	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	13210	1847	1740	546	337	1502	182	132	194	121	812	70	72	85	164	82	73	73	40	35	96	20	13	90	153	23	11	13	145	68	104	42	17	12	18	9	9	7	18	45	56	9	35	4	7	5	15	12	6	6	12	13	10	3	10	12	5	9	3	1	11	2	0	4	12	5	4	3	0	1	4	8	4	1	1	3	1	1	1	1	0	4	0	1	11	1	0	1	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	14949	3194	2482	1226	997	1698	564	491	436	348	918	258	271	228	268	177	152	141	134	112	140	83	85	143	151	73	56	44	116	101	111	51	39	35	33	27	30	34	22	57	64	19	45	21	19	22	23	14	11	9	14	14	25	12	13	18	7	12	5	5	20	4	7	9	12	11	8	5	3	4	5	0	10	3	2	1	1	3	7	2	1	2	0	1	12	1	0	1	0	1	4	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	13104	1845	1763	544	350	1414	182	145	197	123	833	62	82	88	169	82	70	77	45	37	95	20	19	105	128	23	10	8	107	76	93	37	15	15	20	9	4	8	17	54	56	11	38	4	6	9	11	11	7	6	10	9	16	4	11	16	5	8	3	2	19	3	1	4	10	7	6	4	0	2	4	0	6	1	2	1	0	3	5	2	0	1	0	1	11	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	14767	3194	2548	1265	971	1699	576	485	428	328	867	270	273	225	264	160	152	145	126	106	149	80	94	132	134	80	51	48	99	102	78	60	42	42	27	30	36	27	17	59	67	20	49	17	17	22	19	12	13	13	17	9	33	11	11	18	10	8	5	5	26	6	6	7	8	9	8	2	4	5	5	0	7	2	2	0	2	3	6	4	0	6	0	1	10	1	0	3	1	1	4	1	2	3	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	1	0	1	1	0	1	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	12935	1832	1770	540	348	1418	178	143	187	117	778	70	91	90	172	77	72	75	39	43	98	20	22	96	107	23	13	10	88	82	64	41	15	20	15	9	6	8	12	56	57	13	41	4	5	7	9	9	7	8	13	7	24	2	8	17	9	2	3	3	25	3	1	4	7	4	4	2	1	3	4	0	4	0	2	0	0	3	5	2	0	5	0	1	9	1	0	2	0	1	3	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	14751	3062	2563	1263	913	1649	555	462	451	358	788	262	260	231	278	160	154	140	133	103	157	72	88	145	144	73	53	49	113	110	74	67	37	44	24	27	33	20	16	56	53	20	43	14	12	22	19	15	16	17	24	7	35	9	7	17	11	9	4	6	23	6	6	4	12	9	8	5	3	6	5	6	6	1	2	0	2	5	11	4	0	9	0	0	11	0	0	2	1	2	4	1	2	4	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	2	0	0	1	0	0	1	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	12924	1759	1753	547	324	1395	168	145	204	137	693	77	90	86	197	76	81	67	39	37	102	21	22	115	119	14	16	10	104	95	63	47	11	23	14	6	10	7	11	54	43	14	35	4	2	7	11	8	9	11	18	6	27	2	6	16	9	3	1	4	22	3	2	1	11	5	5	4	1	3	4	6	4	0	2	0	0	5	10	2	0	7	0	0	10	0	0	2	0	2	2	0	2	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	14873	3022	2574	1296	885	1641	585	451	433	367	760	277	251	235	284	164	162	133	128	109	153	72	82	143	155	80	51	55	117	102	64	82	42	46	22	28	36	19	18	69	45	19	47	14	18	17	12	16	16	16	21	7	27	9	10	11	10	11	4	6	10	4	2	1	15	11	3	5	3	5	4	6	1	0	4	2	3	5	10	2	1	7	1	0	2	0	1	2	1	2	4	2	1	4	0	0	0	1	1	0	2	0	1	0	2	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	13051	1745	1786	572	321	1434	184	136	198	144	651	83	77	83	205	78	90	57	39	39	100	25	22	113	126	12	15	15	105	85	58	62	20	27	15	6	13	4	9	66	38	15	40	7	4	4	5	6	11	11	14	5	24	2	8	11	8	5	1	5	10	1	1	1	15	6	1	3	1	2	3	6	1	0	4	0	1	5	9	0	1	6	0	0	1	0	0	2	0	2	1	0	1	3	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
