label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63
0.03	north1_all	80	66068	30711	8507	9900	3657	2681	3089	1925	1182	889	749	530	633	360	272	193	182	248	203	120	91	72	43	44	46	17	28	15	23	15	16	7	5	13	12	4	13	7	0	0	0	1	0	3	1	4	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north1_active	80	55428	26265	3880	8166	1606	1279	2378	1314	585	443	460	248	472	218	127	67	98	215	163	76	59	40	15	10	30	4	9	3	19	4	5	5	3	8	8	1	13	4	0	0	0	1	0	2	0	4	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	66019	30421	8592	10081	3550	2631	3147	1895	1247	891	713	518	604	356	284	191	178	263	195	115	74	72	48	42	46	19	31	12	33	11	18	8	8	8	12	5	8	8	1	2	1	1	0	3	1	4	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_active	80	55404	25971	3960	8311	1547	1222	2418	1291	630	461	428	240	455	201	140	65	97	223	157	71	43	43	15	10	35	3	9	2	29	3	5	5	4	5	7	1	8	3	0	0	1	0	0	2	0	4	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	66801	30083	8572	9704	3647	2699	3010	1871	1224	887	728	513	624	384	273	187	162	255	187	103	93	77	50	42	36	27	28	14	22	6	17	6	8	8	6	6	8	8	1	2	1	1	1	2	1	4	0	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	56185	25709	3981	8016	1620	1239	2295	1271	623	467	440	236	481	218	131	61	83	217	147	68	47	55	12	11	25	5	7	3	20	1	5	5	4	4	2	1	8	3	0	0	1	0	0	1	0	4	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	67379	30253	8582	9897	3700	2717	3052	1892	1202	886	738	495	666	391	266	178	147	232	215	98	86	92	51	43	38	34	19	11	26	10	15	5	6	9	5	3	2	6	2	4	1	1	2	1	1	3	0	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	56616	25894	3975	8155	1677	1314	2321	1315	617	461	459	222	508	228	119	57	83	194	172	64	37	64	13	14	26	9	7	1	24	2	10	2	2	1	3	1	2	2	0	2	1	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	66856	30325	8440	9766	3647	2754	3069	2035	1167	899	754	534	680	419	242	187	163	252	204	111	91	82	52	37	36	30	19	15	22	9	15	3	5	7	6	2	2	7	1	2	1	0	2	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	55997	25988	3876	8023	1669	1360	2349	1415	597	449	460	235	517	270	112	58	84	215	164	74	41	55	14	10	23	9	8	2	20	2	11	1	1	0	3	1	2	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	66579	30466	8393	9881	3699	2883	3116	1959	1150	903	788	570	684	452	242	186	152	257	193	123	96	101	47	38	37	28	17	17	19	14	15	6	7	7	6	3	1	9	4	2	3	2	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	55800	26087	3883	8154	1637	1446	2407	1390	585	462	460	264	517	294	109	54	77	215	151	81	40	74	15	12	25	7	7	5	16	3	11	3	0	1	5	2	1	9	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	66303	30357	8353	9807	3636	2866	3134	2044	1141	894	758	556	661	416	237	199	168	270	163	134	89	89	41	40	31	22	19	19	15	12	13	5	7	8	7	4	1	9	4	0	3	3	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north7_active	80	55488	26010	3896	8065	1614	1411	2410	1433	574	460	440	260	507	263	115	58	77	226	119	90	45	58	13	11	22	5	4	5	8	4	7	3	1	3	6	2	1	9	0	0	3	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	66309	30434	8215	9767	3689	2786	3046	2012	1144	899	766	549	616	417	239	187	172	281	160	125	89	88	39	42	34	20	24	9	16	16	11	11	6	9	5	4	0	10	4	0	7	3	3	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north8_active	80	55677	26042	3842	8056	1642	1321	2350	1422	594	466	450	276	480	249	112	63	87	242	116	89	43	55	16	11	23	4	6	5	8	5	6	4	1	4	5	1	0	9	0	0	7	2	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	66255	30673	8255	9591	3695	2769	3100	1975	1115	891	763	523	582	392	246	196	171	262	191	131	90	88	47	38	29	19	25	16	22	15	10	11	6	12	11	2	1	5	3	0	6	1	3	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
