label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75
0.03	north1_all	80	17775	3570	2081	2058	985	918	560	537	962	301	261	316	299	176	123	163	92	131	74	59	58	30	56	53	25	20	39	29	20	12	20	9	8	7	6	8	5	4	2	1	6	7	4	2	5	2	1	2	1	1	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	14900	1306	532	1400	261	522	179	322	802	80	60	195	223	103	26	122	29	109	43	32	38	13	36	42	15	5	32	25	7	5	16	4	2	6	0	6	5	2	0	1	3	6	0	1	2	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	17930	3632	2087	1991	970	922	571	542	937	284	262	308	308	167	122	178	82	138	84	63	62	21	57	47	27	20	31	31	13	16	16	7	8	10	8	7	6	7	4	2	5	4	4	2	4	2	1	1	0	1	2	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	15056	1331	537	1393	260	539	178	322	790	65	50	190	232	91	28	141	22	111	49	30	42	9	36	39	19	4	25	25	5	6	12	2	2	8	2	6	6	4	1	2	2	4	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	18136	3582	2079	1935	1013	889	587	538	943	285	238	315	313	175	115	188	83	147	88	60	60	30	58	63	24	19	32	27	15	16	19	8	6	8	6	6	6	6	8	2	3	4	3	3	1	1	0	1	1	0	1	3	0	0	2	1	1	0	1	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	15232	1256	530	1295	261	526	178	309	809	65	45	208	241	90	20	153	21	121	45	32	50	12	40	52	17	5	26	20	7	7	18	2	1	6	2	5	5	3	4	2	1	3	1	2	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	19923	3579	2117	2026	981	982	620	558	1024	279	236	343	359	189	121	204	84	168	83	75	78	36	68	71	34	21	32	36	12	15	19	10	7	12	7	16	9	6	6	3	1	5	2	2	2	2	0	2	2	0	2	3	0	0	1	1	1	0	1	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	17146	1316	563	1434	257	584	210	317	882	74	41	242	299	109	24	165	18	137	46	44	63	19	49	61	21	7	24	28	7	8	19	2	2	9	2	16	8	5	4	3	1	4	1	1	0	1	0	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	22186	3616	2141	2222	1003	1042	610	612	1071	284	248	348	390	234	135	197	82	185	98	71	85	40	90	74	49	27	28	43	12	22	31	11	7	18	7	26	13	5	6	2	12	6	0	2	3	2	0	3	3	0	3	3	0	1	0	1	1	0	1	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	19459	1385	641	1612	264	669	230	357	937	81	40	254	332	151	35	152	22	157	57	46	71	17	73	59	32	9	17	36	7	14	30	4	3	16	2	23	12	5	4	2	12	5	0	1	0	1	0	3	1	0	3	3	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0
