label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81
0.03	north1_all	80	14321	6374	2292	1676	1185	839	748	670	830	380	277	338	232	207	115	123	88	116	79	56	48	38	43	31	27	21	17	41	31	17	13	26	21	15	13	13	6	4	3	4	4	7	4	0	2	1	2	1	0	2	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north1_active	80	10601	4724	533	753	481	252	315	399	659	179	115	230	122	94	36	35	20	70	44	19	15	10	13	14	18	8	5	34	22	7	6	18	18	9	13	11	5	2	2	1	2	6	3	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north2_all	80	15809	6971	2323	1764	1199	852	765	672	906	384	275	373	247	218	115	137	93	121	66	58	47	42	37	36	29	20	17	47	37	14	14	21	15	14	27	16	7	5	7	5	4	8	3	0	1	0	7	2	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0
0.03	north2_active	80	12291	5355	639	852	516	272	363	411	744	187	107	257	136	102	38	40	23	72	39	14	10	11	17	18	19	7	3	39	27	7	9	14	11	9	25	12	4	4	5	2	1	5	3	0	0	0	5	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0
0.03	north3_all	80	17145	7560	2351	1754	1250	857	759	736	955	396	269	411	221	213	128	135	99	111	74	52	34	48	32	46	29	20	24	50	28	16	17	23	20	12	31	11	10	6	12	3	3	7	1	0	2	6	7	3	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0
0.03	north3_active	80	13840	6015	708	872	576	276	374	500	810	212	121	300	128	106	42	40	25	68	41	10	6	13	12	28	22	10	6	41	19	7	11	15	15	10	27	8	5	5	10	1	0	5	1	0	0	2	6	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0
0.03	north4_all	80	18461	8190	2412	1828	1257	842	753	807	1025	400	298	432	234	217	138	129	90	121	79	52	37	46	35	43	41	27	24	46	24	14	19	23	37	12	29	7	13	9	11	4	5	5	1	1	1	7	6	3	3	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	15287	6685	769	950	625	290	409	567	895	215	137	325	139	124	46	37	26	72	46	17	7	16	15	24	34	14	8	41	18	5	13	16	33	10	25	5	8	8	9	4	0	3	1	0	0	3	6	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	18646	8339	2413	1889	1270	843	758	804	1003	385	298	448	225	205	157	132	95	110	79	55	42	40	37	44	46	29	32	54	14	18	18	23	37	9	26	6	13	9	9	4	6	1	1	5	1	8	5	2	3	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	15424	6867	731	986	660	304	437	560	885	203	141	345	138	118	56	35	30	71	42	20	8	13	13	28	35	14	11	50	8	8	12	17	35	4	22	5	6	8	9	4	2	0	1	4	0	3	4	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
