label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30
0.03	north1_all	80	18	17	5	6	3	4	3	8	0	3	1	0	6	1	1	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	7	9	2	4	0	3	1	8	0	3	1	0	6	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	23	15	6	6	2	2	3	10	1	1	1	0	8	2	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	9	7	3	3	0	2	2	10	0	1	1	0	8	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	18	15	5	6	3	2	2	4	3	0	0	0	9	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	7	7	2	2	1	2	2	4	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	17	13	9	5	7	2	1	4	4	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north4_active	80	6	7	5	1	3	0	1	4	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	19	14	9	2	6	3	1	5	4	0	0	1	6	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north5_active	80	9	9	5	1	3	0	1	5	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_all	80	22	9	7	2	4	3	1	5	3	0	0	1	3	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_active	80	9	7	4	2	2	0	1	5	1	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_all	80	23	12	7	2	3	2	1	9	0	0	0	1	5	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	10	8	2	2	2	0	1	9	0	0	0	1	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	24	14	7	4	2	1	1	9	0	3	1	1	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	9	10	2	3	0	0	1	8	0	2	1	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	24	16	5	6	3	1	1	7	2	3	1	1	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	9	11	1	4	0	0	1	6	1	2	1	1	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	21	16	5	10	4	1	1	5	2	4	1	1	2	0	1	0	0	3	1	4	0	1	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	11	11	2	6	2	0	1	4	1	2	1	1	2	0	1	0	0	3	1	4	0	0	1	0	0	0	0	0	0	0	0
0.03	north11_all	80	25	10	15	4	7	4	1	2	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	7	5	5	2	4	2	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	24	8	13	4	3	2	2	6	0	2	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north12_active	80	9	3	5	2	0	1	2	4	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	15	9	13	2	3	4	2	6	0	0	0	0	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	8	2	5	0	0	2	2	4	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	14	14	8	4	2	6	2	4	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	8	6	4	2	0	4	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	21	14	7	7	1	6	1	2	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	10	7	4	4	0	3	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	17	16	5	7	1	3	3	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	8	9	3	4	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	25	16	4	7	4	3	4	4	0	2	1	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	11	8	2	4	3	1	4	3	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	31	18	3	5	5	2	3	11	0	3	0	3	1	0	2	0	0	0	0	2	0	0	4	0	0	0	0	2	0	0	0
0.03	north18_active	80	14	9	2	3	5	1	3	10	0	2	0	0	1	0	0	0	0	0	0	2	0	0	4	0	0	0	0	2	0	0	0
0.03	north19_all	80	29	18	4	4	5	2	2	15	0	2	0	3	2	0	2	0	0	0	0	2	0	0	4	0	0	0	0	2	0	0	0
0.03	north19_active	80	11	11	3	2	5	1	2	14	0	1	0	0	1	0	0	0	0	0	0	2	0	0	4	0	0	0	0	2	0	0	0
0.03	north20_all	80	24	16	4	4	15	2	0	12	0	2	0	3	2	0	2	0	0	0	0	3	0	0	4	0	0	0	0	2	0	0	0
0.03	north20_active	80	11	11	3	3	13	1	0	12	0	1	0	0	1	0	0	0	0	0	0	2	0	0	4	0	0	0	0	2	0	0	0
0.03	south21_all	80	18	13	8	2	6	3	3	7	1	3	0	2	6	1	3	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1
0.03	south21_active	80	8	8	5	2	3	1	2	7	1	1	0	2	6	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south22_all	80	16	16	10	3	5	2	3	7	1	2	0	2	10	0	2	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	8	11	4	1	3	0	2	7	1	1	0	2	6	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	18	12	11	5	3	2	5	4	0	1	1	2	18	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
0.03	south23_active	80	10	5	5	1	0	0	3	4	0	0	0	2	14	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	22	16	8	6	2	2	3	6	0	1	2	0	13	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
0.03	south24_active	80	10	6	3	1	0	1	1	6	0	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	27	15	7	7	1	1	3	6	0	0	2	0	9	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south25_active	80	11	5	3	3	0	1	2	6	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	27	17	6	9	3	2	3	11	4	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south26_active	80	10	10	1	3	2	1	1	7	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	35	17	5	7	3	2	3	7	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	13	11	1	2	2	1	1	3	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	29	19	4	8	4	3	4	7	6	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	13	15	0	3	2	0	2	3	6	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	21	20	4	6	1	2	4	1	6	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	9	15	1	4	0	0	4	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	16	18	3	5	8	2	5	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	7	12	1	4	2	0	4	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	31	15	7	6	4	0	2	5	6	2	0	0	6	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0
0.03	south31_active	80	16	13	2	2	3	0	0	2	5	2	0	0	5	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0
