label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70
0.03	north1_all	80	7436	1881	1025	1039	740	341	449	291	198	196	120	234	232	73	99	62	43	43	69	53	20	16	26	23	36	3	28	16	8	27	8	4	4	5	3	15	4	1	2	2	1	1	4	1	0	7	2	0	1	0	1	3	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	4482	951	505	612	413	149	261	157	96	111	56	158	147	36	58	33	26	21	46	30	9	7	16	15	18	2	13	8	4	23	5	2	1	4	2	7	2	0	2	1	1	0	3	0	0	4	1	0	0	0	1	2	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	7304	1866	1072	1072	699	343	426	300	210	211	121	232	202	81	92	61	51	46	64	65	11	20	26	19	32	4	23	15	10	21	9	4	7	7	4	17	1	1	2	1	1	3	5	2	0	7	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	4355	955	538	640	385	148	243	160	112	122	58	159	122	41	49	35	32	24	41	47	3	13	15	13	19	2	8	10	5	17	5	2	2	7	3	6	1	0	2	1	1	1	3	1	0	4	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6673	1787	1061	999	668	353	389	264	196	192	115	203	200	76	96	63	51	42	55	58	13	23	26	16	22	5	16	17	9	9	7	5	10	7	4	21	2	0	2	1	2	2	1	3	0	3	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3891	895	504	567	359	161	218	134	104	108	49	122	132	44	62	34	29	22	30	37	5	13	14	10	11	2	5	10	4	5	4	2	3	7	3	8	2	0	2	1	2	1	0	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5969	1712	1079	921	611	364	376	246	184	185	119	182	165	79	88	59	38	42	61	62	17	23	22	17	15	6	17	16	5	6	3	4	7	3	6	21	2	1	2	1	3	3	3	3	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3422	833	484	506	321	163	206	126	95	98	51	110	94	50	52	33	20	21	36	39	10	11	10	10	10	2	10	9	2	4	1	2	3	3	3	9	2	1	1	1	2	2	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5360	1634	1004	832	557	391	314	234	181	162	119	177	157	76	81	61	39	33	53	55	19	26	17	14	15	6	12	13	8	7	3	2	6	2	7	11	2	1	3	0	4	3	3	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2987	761	449	429	298	181	172	121	86	75	56	108	104	46	55	29	17	16	34	29	12	11	6	8	11	1	11	6	2	5	0	0	3	1	4	7	2	1	2	0	3	2	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	5347	1584	1011	837	543	375	317	228	182	170	116	170	145	70	72	47	40	36	48	59	16	20	22	16	15	8	16	13	5	11	3	2	5	3	4	8	2	2	2	1	4	3	3	2	1	0	0	2	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2926	735	460	431	284	160	166	133	87	71	60	97	94	42	41	21	19	18	38	35	10	9	9	9	12	5	11	6	0	6	1	1	3	2	2	6	2	1	1	1	3	3	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	5786	1688	1025	867	586	386	323	240	196	178	125	179	167	61	69	41	46	29	42	64	18	21	21	15	17	11	20	9	9	18	2	2	7	6	4	4	1	1	3	1	3	3	2	2	1	1	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	3273	783	468	458	316	164	176	137	88	77	64	104	109	34	38	15	23	10	30	42	11	13	10	9	13	7	9	4	2	8	1	2	6	2	2	4	0	0	2	1	2	2	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	6322	1795	1030	914	654	382	369	265	204	185	126	174	181	69	87	37	53	23	49	88	22	28	19	18	14	13	25	7	8	18	3	3	7	5	5	2	2	3	1	2	1	4	1	2	3	2	1	2	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	3698	872	481	493	349	162	204	141	92	93	66	102	113	32	45	11	31	9	35	64	13	19	11	11	9	8	13	5	4	9	2	3	6	2	4	1	1	0	1	2	0	2	1	1	1	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
