label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53
0.03	north1_all	80	5760	2980	1580	1757	578	556	364	232	258	233	273	99	88	63	52	86	71	32	18	12	15	18	3	33	5	5	4	2	2	1	10	2	0	0	6	1	3	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	2865	1885	916	1409	121	324	188	55	169	179	240	51	50	31	27	68	60	9	9	2	11	15	0	32	4	1	3	1	1	0	8	0	0	0	3	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5894	3151	1642	1810	579	597	366	216	297	252	292	87	94	58	48	112	67	26	20	16	17	19	5	31	8	3	6	1	4	4	9	1	0	0	6	1	3	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3073	2119	1004	1491	144	378	196	56	207	195	257	51	57	26	22	95	54	8	10	2	12	16	2	28	5	0	3	1	4	3	8	0	0	0	3	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6108	3385	1728	2096	595	642	361	199	313	273	357	82	94	66	48	118	73	24	12	11	16	19	6	25	6	6	8	0	3	5	2	1	0	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3351	2346	1105	1785	162	426	203	41	214	226	322	50	58	31	23	104	60	9	3	2	12	15	2	22	4	1	3	0	3	4	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6261	3493	1834	2382	591	713	386	220	312	309	402	91	94	55	54	132	77	25	17	12	22	15	10	33	6	7	7	1	4	4	20	1	0	0	2	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3599	2492	1202	2088	177	497	220	45	233	262	365	52	60	31	28	120	67	7	4	2	19	12	4	29	2	4	2	1	3	4	20	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6260	3420	1822	2447	595	661	396	224	299	315	514	108	85	58	57	98	85	27	19	13	21	5	11	33	7	7	6	2	5	7	27	0	2	0	0	2	0	2	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	3622	2443	1197	2137	170	468	240	44	226	264	477	61	57	37	33	89	75	6	6	3	20	4	3	30	2	4	2	1	3	6	26	0	2	0	0	2	0	2	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_all	80	6310	3450	1764	2476	572	658	379	228	304	315	494	112	88	54	56	88	86	27	31	19	27	7	15	30	9	6	4	3	3	4	25	1	2	2	0	2	2	2	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_active	80	3562	2484	1133	2189	163	474	240	44	239	257	460	69	63	34	30	77	79	3	14	7	23	6	4	29	1	4	2	2	1	3	24	0	2	2	0	2	2	2	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_all	80	6338	3500	1730	2563	594	584	387	228	297	322	527	114	85	54	58	107	67	23	30	18	27	8	13	26	10	4	5	6	2	3	25	3	6	2	1	1	2	3	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_active	80	3565	2563	1091	2281	161	415	240	44	222	260	501	71	57	27	34	96	60	3	13	6	21	6	3	26	1	2	2	3	1	2	24	0	6	2	0	1	2	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_all	80	6333	3583	1712	2518	564	598	350	229	313	314	492	100	93	59	52	152	65	24	25	16	34	9	13	24	6	5	6	5	2	2	5	3	7	3	1	0	2	3	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_active	80	3570	2621	1063	2223	144	421	216	39	226	259	461	68	62	27	27	141	59	3	10	6	27	6	3	24	1	2	3	3	2	2	4	0	7	3	0	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_all	80	6271	3540	1728	2678	570	581	355	240	295	346	458	99	76	72	51	192	86	21	15	14	28	19	9	22	4	6	6	7	4	2	5	4	5	1	1	0	2	1	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0
0.03	north9_active	80	3600	2567	1082	2363	137	397	214	40	208	290	423	70	44	39	27	180	78	4	2	4	21	14	2	22	1	3	2	5	2	2	4	2	5	1	0	0	1	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
0.03	north10_all	80	6352	3470	1786	2690	575	620	356	250	290	375	426	93	98	77	54	182	98	25	13	12	16	24	9	17	1	6	7	4	8	4	5	2	2	4	0	0	1	6	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0
0.03	north10_active	80	3665	2465	1164	2391	149	421	215	38	210	317	389	63	63	45	27	168	88	7	3	3	12	16	2	17	1	3	3	3	4	4	4	2	2	3	0	0	0	6	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
0.03	north11_all	80	5979	3186	1695	1978	582	588	345	223	287	294	355	104	67	72	64	110	84	26	19	20	24	10	13	12	7	6	3	4	3	0	10	2	1	0	0	1	2	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	3152	2138	1019	1705	135	375	209	47	198	232	318	60	35	37	32	98	75	5	8	4	17	8	4	9	3	2	1	3	3	0	10	2	1	0	0	1	1	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	6103	3352	1766	2265	569	629	368	209	294	296	355	99	79	72	65	117	76	20	20	19	24	12	11	15	5	5	4	2	4	1	15	2	1	0	0	1	1	0	0	0	1	0	0	6	0	0	0	0	0	0	0	1	0	0
0.03	north12_active	80	3337	2352	1119	1991	140	423	224	46	211	241	316	67	41	46	38	103	68	3	10	5	21	9	4	12	1	0	0	0	4	1	15	2	1	0	0	1	1	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	6350	3436	1805	2579	531	665	377	213	323	319	396	101	97	69	65	172	80	23	17	23	20	19	11	38	3	5	5	2	4	1	8	2	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	1	0	0
0.03	north13_active	80	3634	2479	1198	2313	140	477	231	45	246	275	358	68	61	39	41	159	69	4	9	10	17	15	4	37	0	1	1	0	4	1	8	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	6328	3443	1791	2738	536	684	367	214	294	335	446	116	98	79	61	186	73	33	16	26	17	20	12	66	5	4	5	3	2	1	6	2	0	1	1	0	12	0	0	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0
0.03	north14_active	80	3614	2471	1196	2466	135	497	211	46	220	286	410	76	59	42	42	177	63	7	7	16	16	15	5	65	0	1	1	1	2	1	6	1	0	0	0	0	12	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	6328	3421	1781	2821	527	667	369	219	321	321	466	105	90	61	50	160	68	28	17	23	17	19	12	78	6	3	7	2	4	1	2	2	10	1	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north15_active	80	3618	2408	1183	2537	136	470	223	45	243	274	433	68	55	29	31	152	59	5	7	12	15	13	5	75	0	1	2	1	3	0	2	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	6423	3419	1796	2564	568	672	369	210	293	341	490	123	87	70	49	139	93	26	20	17	20	16	12	62	6	2	6	5	4	3	4	1	10	1	1	0	12	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	3658	2434	1202	2293	144	463	228	51	215	284	464	82	50	39	25	133	83	9	10	10	15	8	5	59	0	1	1	4	2	0	4	0	0	0	0	0	12	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
