label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49
0.03	north1_all	80	2853	1192	643	512	503	233	223	128	103	188	51	46	47	26	21	22	16	21	7	15	9	8	11	4	5	4	2	1	1	0	1	0	2	1	1	1	0	1	1	0	0	0	2	0	0	0	1	0	0	0
0.03	north1_active	80	1417	564	320	276	294	109	116	58	61	127	24	20	19	9	7	9	7	13	1	9	4	4	8	1	3	0	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0
0.03	north2_all	80	2905	1198	644	513	514	241	232	127	118	174	47	40	38	28	20	19	13	28	12	16	15	9	19	3	7	4	1	2	0	1	1	0	0	1	0	1	0	1	1	0	0	0	2	0	0	3	0	0	0	0
0.03	north2_active	80	1471	559	316	285	315	109	128	57	73	119	23	15	16	13	8	5	5	16	5	11	12	5	14	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0
0.03	north3_all	80	3085	1229	664	577	614	244	243	121	129	228	46	51	40	27	22	22	17	23	11	19	11	11	15	2	6	4	2	2	1	1	1	0	0	2	0	1	2	1	1	0	0	0	0	0	4	3	0	0	0	0
0.03	north3_active	80	1598	583	326	327	391	106	137	62	69	167	26	29	15	13	11	6	9	15	5	16	10	6	9	1	5	2	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	4	3	0	0	0	0
0.03	north4_all	80	3329	1272	640	626	634	247	284	121	144	283	61	60	38	27	24	17	18	31	9	24	11	8	20	2	6	5	1	2	2	1	0	2	0	2	0	1	2	0	0	0	0	1	0	0	5	3	0	0	0	0
0.03	north4_active	80	1754	608	303	363	404	123	173	62	81	210	28	35	12	16	15	4	6	21	5	19	9	5	8	1	4	5	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	5	3	0	0	0	0
0.03	north5_all	80	3381	1264	660	658	613	267	264	121	141	306	74	66	36	32	25	17	20	35	8	22	9	7	21	3	5	6	1	2	2	1	1	2	0	1	0	0	2	0	0	0	0	2	1	0	5	0	0	0	0	0
0.03	north5_active	80	1776	609	311	374	401	148	157	60	73	226	35	39	14	22	16	7	10	29	5	18	7	3	12	2	4	6	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	5	0	0	0	0	0
