label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39
0.03	north1_all	80	2129	2663	981	285	235	145	261	75	51	44	52	11	24	24	10	15	35	5	5	0	0	1	1	0	0	0	2	2	0	0	1	1	0	0	0	1	0	0	0	0
0.03	north1_active	80	1044	1785	575	129	126	73	169	31	26	18	31	3	13	18	2	7	22	5	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	2169	2551	919	298	223	159	258	79	54	47	53	16	21	20	10	13	51	9	4	2	0	1	0	3	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0
0.03	north2_active	80	1013	1665	530	134	121	82	159	39	31	20	32	9	14	15	4	8	33	7	0	1	0	0	0	2	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	2232	2393	952	304	211	167	289	85	60	52	38	22	17	10	11	13	49	11	3	2	1	1	0	5	0	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	1056	1559	578	134	110	93	176	42	29	23	24	15	14	7	6	7	30	7	1	1	0	0	0	4	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	2198	2373	956	308	223	152	306	81	60	47	42	24	14	17	12	10	28	7	4	4	1	1	0	7	2	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	1014	1528	600	142	105	88	198	44	26	24	25	14	11	15	8	6	21	3	1	3	0	0	0	5	2	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	2175	2393	996	309	230	144	305	78	56	52	41	25	11	11	11	10	24	4	3	3	2	0	3	6	3	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north5_active	80	1032	1555	627	144	112	86	186	37	23	26	26	14	7	10	7	6	17	2	1	3	1	0	2	4	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_all	80	2142	2453	1031	297	242	140	307	80	57	44	45	18	20	14	10	5	14	2	7	6	1	1	5	4	3	1	2	2	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north6_active	80	1043	1619	665	142	134	72	182	33	24	22	27	7	11	12	6	3	11	1	1	5	1	1	3	2	2	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	2132	2499	1017	288	243	142	299	102	60	48	45	27	17	14	9	6	12	3	6	5	2	1	5	3	3	1	2	0	1	0	0	0	1	0	0	0	1	0	0	0
0.03	north7_active	80	1024	1636	654	136	136	73	185	49	26	21	27	13	7	12	7	4	9	2	1	4	1	1	3	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	2139	2553	1053	280	227	146	289	110	64	36	49	32	22	21	9	11	16	4	6	4	2	2	2	1	0	2	2	0	2	0	0	0	1	0	0	0	1	0	0	0
0.03	north8_active	80	1025	1671	666	135	129	75	185	57	28	18	28	15	9	17	6	8	11	2	2	3	1	2	1	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north9_all	80	2176	2634	989	284	226	148	299	118	71	37	41	33	18	25	7	9	29	5	5	2	1	1	1	2	0	2	2	0	3	0	0	1	0	0	0	0	0	0	0	0
