label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74
0.03	north1_all	80	4042	3142	2455	776	1513	631	359	858	227	196	471	140	317	250	114	64	79	58	40	31	97	34	27	20	27	13	14	19	16	9	6	23	6	4	12	3	2	3	5	1	5	2	0	1	0	2	1	5	1	13	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1936	1817	1550	326	1023	359	181	568	117	98	325	71	217	176	59	26	39	30	17	12	78	21	15	12	16	6	4	13	12	4	2	20	4	2	9	1	1	2	5	0	3	1	0	0	0	1	1	2	1	7	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4118	3118	2323	734	1514	602	375	778	218	168	494	137	336	257	120	73	80	63	45	39	79	39	31	22	22	12	17	25	12	9	7	28	5	5	11	3	2	2	7	3	3	2	2	1	0	2	0	4	0	7	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1970	1796	1458	295	983	350	187	507	113	78	350	65	234	176	63	32	35	38	25	20	65	28	14	12	13	5	5	20	9	4	2	20	2	3	8	0	1	1	6	2	3	2	1	0	0	1	0	1	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4172	3140	2461	698	1549	602	383	779	223	161	501	134	338	241	128	74	82	62	51	48	79	36	27	29	19	15	20	20	21	12	9	27	7	6	11	2	1	3	5	3	4	3	2	1	0	2	0	1	1	3	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0
0.03	north3_active	80	1993	1796	1576	294	997	334	202	517	121	77	358	62	229	159	62	35	40	35	30	22	63	25	8	15	10	4	10	14	17	7	3	17	1	3	9	0	0	2	3	2	3	2	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0
0.03	north4_all	80	4177	3212	2466	640	1651	574	377	763	229	160	475	135	382	242	145	83	68	70	53	49	74	37	24	17	17	16	25	17	28	11	9	36	6	3	6	6	2	2	5	5	3	2	2	2	0	1	0	0	1	0	1	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0
0.03	north4_active	80	1997	1859	1574	285	1067	319	191	512	117	74	347	65	275	147	83	45	32	40	33	21	53	21	7	7	9	4	12	10	25	6	4	19	0	2	5	2	0	1	2	3	1	1	1	2	0	1	0	0	1	0	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0
0.03	north5_all	80	4243	3149	2452	637	1710	600	372	786	222	181	462	128	373	264	129	75	72	66	48	41	74	36	21	20	14	16	25	15	34	10	9	20	6	6	6	5	1	1	4	6	3	1	0	4	1	0	0	0	1	0	0	6	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	3	1	0	0	0	0	0
0.03	north5_active	80	2050	1852	1565	292	1144	329	196	539	112	92	328	61	244	157	81	36	38	37	26	16	51	20	6	12	7	2	11	8	29	4	6	9	0	3	3	2	0	1	1	3	1	0	0	3	0	0	0	0	1	0	0	6	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0
0.03	north6_all	80	4110	3167	2390	675	1799	575	385	770	222	182	465	114	324	274	130	70	71	65	52	33	72	35	25	17	19	13	21	15	44	6	9	18	9	7	8	7	3	2	3	8	3	1	0	4	2	0	0	1	0	1	0	6	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north6_active	80	1978	1876	1524	307	1210	337	207	509	109	90	300	55	224	177	84	33	43	36	26	15	48	15	8	11	11	2	7	7	38	2	5	7	2	3	4	3	1	0	1	6	0	0	0	3	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	4107	3148	2358	714	1747	565	387	775	225	183	429	129	306	246	116	63	67	52	38	33	75	29	28	24	20	18	18	22	33	6	4	13	9	9	6	7	6	4	5	6	2	2	0	4	2	0	0	1	0	1	0	1	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north7_active	80	2004	1876	1486	309	1170	332	204	500	112	95	255	69	213	175	78	25	42	25	18	16	46	15	12	12	11	5	6	14	28	1	3	10	3	3	1	3	5	1	2	5	0	1	0	3	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	4089	3070	2427	731	1609	598	390	782	219	184	489	123	293	219	116	62	66	66	47	32	72	33	28	24	19	14	15	23	37	7	8	19	11	9	9	4	7	4	3	6	3	2	1	6	1	1	0	1	2	6	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
0.03	north8_active	80	1983	1831	1522	318	1078	357	204	515	112	95	281	69	192	163	80	24	43	28	21	19	41	18	14	11	9	4	6	17	32	2	6	15	5	3	4	1	6	1	2	5	0	1	1	3	1	1	0	0	0	5	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	4121	3062	2474	725	1625	597	371	788	226	196	485	126	368	196	112	57	71	67	43	38	67	33	22	20	17	10	12	26	21	10	7	23	8	7	6	3	10	4	5	3	3	1	1	5	1	1	0	1	2	11	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1
0.03	north9_active	80	1978	1806	1541	315	1129	345	185	532	122	101	294	69	243	130	77	24	43	38	21	18	39	23	12	8	8	3	5	21	19	4	5	15	5	2	3	0	8	1	4	3	0	1	1	3	1	1	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	4105	3127	2528	734	1684	619	399	762	220	214	470	122	374	210	123	55	72	70	44	36	64	38	24	29	16	10	10	26	20	9	10	22	10	5	12	2	8	2	4	3	4	1	4	8	0	1	0	0	2	12	0	2	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1
0.03	north10_active	80	1931	1837	1609	328	1176	366	201	511	116	104	301	66	231	133	82	28	44	40	24	16	37	24	11	14	9	3	5	22	16	5	6	8	7	1	7	1	4	0	4	3	1	0	3	6	0	1	0	0	0	11	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
