label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73
0.03	north1_all	80	2480	1484	927	1459	613	264	267	145	619	149	79	117	72	66	63	46	26	115	51	21	24	44	31	9	14	5	19	8	5	9	7	5	16	2	4	8	2	7	1	1	2	3	2	3	1	1	1	0	2	0	0	0	0	1	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2
0.03	north1_active	80	1140	825	518	989	384	122	148	69	416	81	40	69	30	38	29	25	12	71	36	7	11	32	21	4	6	2	11	6	3	6	6	4	10	1	2	1	0	6	1	0	1	2	0	2	1	1	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
0.03	north2_all	80	2498	1504	957	1433	593	256	277	141	582	165	78	105	73	65	62	49	30	95	50	22	26	51	30	7	8	6	17	11	2	8	7	4	11	4	7	5	4	8	0	2	2	2	3	2	0	1	0	0	3	0	0	1	0	1	1	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1165	820	527	918	349	112	160	64	403	83	39	64	36	41	33	25	11	66	31	10	16	39	20	3	3	3	8	9	1	5	6	3	8	3	3	3	2	7	0	0	0	1	0	2	0	1	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2499	1519	1024	1403	617	254	261	150	509	167	78	115	66	70	69	46	28	99	43	22	19	80	19	7	6	9	14	11	2	6	10	3	12	3	5	5	3	11	1	2	1	1	2	2	0	1	0	1	1	2	0	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1168	836	585	884	355	119	153	67	341	94	40	66	34	45	43	21	13	67	25	13	11	60	14	4	3	4	9	9	0	5	6	1	8	2	3	3	2	9	1	0	0	1	0	2	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2545	1537	1061	1425	638	258	274	163	501	165	85	110	62	71	67	65	25	112	50	21	19	83	13	9	10	8	10	8	7	8	7	3	19	7	6	5	4	8	2	1	1	0	2	3	1	1	0	1	1	2	0	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	1176	859	609	897	363	125	153	68	334	88	41	60	34	43	42	31	12	73	31	14	10	60	9	4	4	3	7	6	2	6	4	1	11	3	3	3	2	7	1	0	0	0	0	2	0	1	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2572	1554	1048	1416	663	246	270	166	504	151	102	127	56	75	72	70	24	116	43	20	16	86	16	8	10	10	6	7	9	6	13	4	20	6	5	6	2	13	2	4	0	0	2	1	1	0	1	1	0	2	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	1194	861	601	931	389	121	150	75	341	84	45	74	31	39	44	37	16	78	26	11	8	60	9	3	4	3	5	3	2	3	7	0	11	2	2	4	0	5	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	2532	1539	988	1372	635	240	270	175	502	146	102	118	61	82	68	74	38	115	44	26	17	78	22	10	12	7	5	10	8	6	16	3	19	5	4	3	4	15	1	4	0	1	0	1	1	0	3	1	1	2	0	1	1	0	0	2	0	5	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north6_active	80	1175	833	565	912	367	114	142	88	336	82	39	70	35	41	31	38	21	83	22	16	8	53	10	5	6	3	3	6	2	3	11	0	11	2	2	2	1	6	0	0	0	1	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	2476	1479	929	1324	612	227	263	156	442	140	95	117	59	89	66	67	38	96	53	25	24	77	22	7	11	6	6	11	10	4	18	4	7	4	5	2	4	10	0	6	0	1	0	2	0	1	5	1	1	0	0	0	1	0	0	2	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_active	80	1145	789	538	860	367	97	137	75	315	76	38	70	29	48	31	39	23	68	28	13	11	57	11	4	5	1	4	6	3	2	12	0	5	1	4	1	1	1	0	1	0	1	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	2465	1462	887	1185	576	240	268	178	405	135	89	108	54	70	69	49	36	90	48	25	23	75	26	8	15	5	9	11	11	4	12	2	2	1	5	1	3	4	0	2	0	1	0	1	0	1	5	1	1	0	1	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_active	80	1121	764	513	750	312	104	136	84	261	69	38	64	23	39	36	26	18	60	26	14	8	59	13	4	7	3	4	7	4	2	8	0	1	1	5	0	1	2	0	1	0	1	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	2474	1418	838	1112	498	258	225	166	340	117	87	105	58	72	53	47	34	90	46	25	22	59	22	9	14	6	8	6	9	4	4	2	4	1	6	3	1	2	0	2	2	1	0	1	1	2	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	1120	739	469	669	263	111	108	72	216	55	42	57	27	42	28	24	12	63	28	11	8	47	14	5	7	2	5	4	5	2	3	0	3	1	6	1	0	1	0	1	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	2510	1414	869	1063	484	268	219	183	329	116	85	95	63	63	57	46	28	87	41	25	16	51	26	10	8	7	8	5	5	7	6	2	8	5	5	3	1	1	1	3	2	1	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north10_active	80	1124	723	469	653	274	122	108	73	212	55	43	51	32	38	31	23	10	60	27	9	7	40	16	5	3	3	4	4	3	2	3	1	7	1	5	1	0	1	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north11_all	80	2562	1574	1027	1552	621	258	241	165	518	148	76	124	60	51	57	49	31	108	69	26	21	58	36	12	17	8	13	11	7	9	5	2	8	4	4	7	3	14	0	2	1	3	3	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2	1	0	0	0	0	1	0
0.03	north11_active	80	1127	839	587	1019	366	119	132	63	340	100	35	65	21	30	31	27	15	80	50	16	11	40	23	6	6	4	9	7	3	4	2	1	4	1	2	5	2	13	0	2	0	2	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	2588	1564	1024	1451	650	263	243	163	496	146	83	108	78	67	53	50	28	103	61	26	23	47	30	12	13	6	14	8	7	10	5	6	2	8	4	6	5	16	0	3	2	2	2	1	1	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0
0.03	north12_active	80	1155	837	575	950	404	121	127	69	335	96	38	54	30	35	29	32	16	75	43	17	13	34	21	6	5	2	9	4	3	7	1	4	2	1	2	5	3	15	0	2	0	2	2	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north13_all	80	2551	1569	992	1417	646	248	225	156	499	161	84	116	73	75	52	52	34	101	49	22	16	71	29	11	15	5	12	7	6	11	6	8	3	8	5	7	5	7	1	2	1	1	2	1	1	0	0	0	0	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0
0.03	north13_active	80	1170	862	551	924	371	117	116	69	322	97	37	57	31	41	29	34	17	75	32	11	8	51	22	6	6	3	7	4	3	8	3	5	2	3	3	7	2	7	0	0	0	1	2	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north14_all	80	2580	1595	1017	1385	650	252	243	163	537	166	87	125	69	83	49	55	34	74	50	15	17	74	17	16	15	3	12	5	8	9	5	9	4	9	4	5	5	5	4	2	1	1	2	4	0	0	0	0	2	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
