label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47
0.03	north1_all	80	5915	2914	1128	952	508	390	491	367	171	84	123	50	172	51	27	39	29	19	36	21	12	8	8	22	7	3	2	3	2	0	0	1	4	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3249	1750	579	535	266	228	327	253	86	45	70	26	113	29	10	20	16	9	24	9	6	4	5	16	3	0	1	2	1	0	0	1	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5940	2839	1168	956	496	392	538	406	167	80	130	45	169	52	33	25	28	24	31	29	13	11	11	16	10	2	1	3	3	3	0	2	4	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3291	1696	593	547	254	206	362	291	81	40	75	23	112	27	14	11	17	11	23	21	7	5	6	9	6	0	0	2	2	3	0	1	4	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	5874	2971	1182	989	508	415	538	396	164	89	120	50	175	51	34	23	30	23	13	24	14	15	8	18	8	2	2	3	6	4	0	5	1	3	2	1	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_active	80	3260	1768	624	556	261	212	364	278	82	38	75	28	114	29	15	10	19	13	8	16	8	8	3	15	6	0	1	2	5	4	0	3	1	3	1	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_all	80	5921	3092	1207	1014	530	435	514	443	167	89	115	48	169	43	38	20	26	19	21	32	11	15	6	17	6	2	2	1	7	6	0	4	2	2	2	1	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	3258	1842	616	598	273	232	338	333	86	35	71	27	100	23	20	8	16	12	8	23	7	8	2	12	6	0	1	1	6	6	0	2	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_all	80	5654	3050	1206	1019	538	444	514	445	151	93	102	53	136	36	36	15	27	16	29	35	6	14	3	16	6	2	2	0	5	3	0	4	3	2	1	0	0	0	0	0	2	0	0	0	1	0	0	0
0.03	north5_active	80	3049	1820	627	587	271	232	340	318	81	38	61	27	83	22	15	7	17	12	17	17	5	7	0	11	4	0	1	0	5	3	0	2	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north6_all	80	5510	2909	1151	932	539	406	465	426	144	96	105	59	138	32	36	17	23	17	29	37	5	8	2	9	6	3	3	0	3	2	0	1	3	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north6_active	80	2989	1725	588	538	257	217	298	300	74	41	63	27	91	20	15	9	14	15	19	16	3	4	1	5	4	1	1	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	5193	2719	1084	869	516	402	466	408	138	96	86	61	123	28	35	23	26	21	30	32	6	8	5	10	5	2	3	0	4	3	0	0	2	2	2	1	0	1	0	0	2	0	0	0	0	0	0	0
0.03	north7_active	80	2758	1625	558	499	249	212	285	273	69	49	46	24	81	15	14	12	16	15	25	12	2	4	4	8	3	1	1	0	4	3	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	5271	2588	1070	856	508	397	477	370	153	104	86	55	116	31	26	31	29	23	37	25	10	6	5	9	2	2	3	2	2	1	0	0	1	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	2823	1500	540	480	246	215	289	230	75	51	42	24	71	19	9	11	20	15	28	14	3	4	5	7	2	2	1	1	2	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	5594	2747	1077	916	492	423	489	378	160	99	69	60	128	29	19	31	30	17	37	27	13	6	5	13	2	3	2	3	2	2	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	3115	1594	528	529	259	241	307	229	81	55	28	25	86	15	7	11	19	6	24	17	4	5	5	10	2	2	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
