label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57
0.03	north1_all	80	19184	4271	4317	1934	1657	1064	750	480	426	486	188	154	128	106	73	130	86	82	45	62	40	42	12	19	12	12	5	5	7	5	11	5	2	0	2	3	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	15534	1769	3426	1155	1227	737	494	248	273	400	63	66	70	77	21	111	69	62	11	53	27	40	2	14	11	10	2	2	4	4	11	3	2	0	1	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	19164	4326	4348	1929	1630	1054	799	475	405	461	196	157	129	102	76	126	85	80	38	54	30	33	11	15	7	13	6	4	5	15	4	2	3	0	2	3	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	15490	1760	3434	1140	1221	733	551	265	241	392	63	62	81	75	20	109	56	61	9	48	23	32	3	10	5	11	4	4	4	13	4	1	3	0	1	3	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	19161	4395	4292	1951	1610	1051	827	470	391	458	191	145	141	113	85	113	83	75	34	44	37	43	15	19	9	9	6	4	4	14	5	4	4	0	5	7	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_active	80	15448	1762	3360	1195	1199	730	581	263	244	387	58	51	87	76	22	96	58	54	9	38	28	40	5	11	6	8	4	3	3	12	4	1	4	0	3	6	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	19346	4375	4498	1997	1615	1042	837	510	440	477	185	153	146	117	87	125	84	89	29	31	29	39	22	18	7	5	5	5	4	20	9	3	4	2	4	7	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	15645	1779	3513	1231	1177	714	599	308	261	399	56	53	86	77	24	106	58	65	10	23	23	34	10	11	3	3	3	2	3	18	8	0	3	0	2	6	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_all	80	19278	4307	4505	1992	1671	1053	781	497	443	540	168	160	140	115	83	113	79	72	34	37	29	47	21	12	8	6	8	7	7	11	13	2	3	2	3	4	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	15617	1743	3550	1230	1220	732	561	292	276	461	53	66	81	70	19	94	60	57	12	26	26	41	12	7	2	3	5	1	6	10	11	0	2	0	2	3	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_all	80	19173	4341	4539	1952	1697	1074	743	519	462	530	176	160	120	114	68	128	76	73	32	52	31	30	16	12	9	4	8	6	7	12	21	4	3	2	2	2	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	15533	1766	3588	1197	1227	765	531	307	296	452	52	69	72	74	18	106	58	55	14	38	25	25	11	8	2	2	6	0	6	11	18	1	2	0	2	2	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	19387	4263	4415	1901	1737	1055	747	527	480	558	168	161	126	104	75	132	78	66	31	53	23	33	14	17	8	5	7	4	5	13	20	2	1	2	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	15676	1709	3493	1154	1270	763	531	292	325	477	47	74	76	62	17	108	59	49	18	42	16	28	12	13	2	2	5	0	4	12	18	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	19743	4313	4340	1865	1685	1158	761	519	480	537	177	139	142	91	67	149	86	76	35	53	23	40	16	23	7	5	10	2	3	9	15	2	0	3	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
