label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55
0.03	north1_all	80	14589	11970	2397	1553	1288	1100	515	392	300	269	518	148	97	147	57	55	65	37	17	53	21	19	10	13	12	5	5	3	6	4	3	5	9	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	10914	10750	1128	701	803	816	194	168	123	182	462	54	40	119	18	37	45	16	3	43	11	7	4	9	6	2	4	2	5	0	0	5	9	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	14432	11952	2350	1531	1280	1111	525	377	313	269	495	140	96	174	63	56	57	38	21	53	23	15	8	15	13	7	5	5	10	4	1	3	13	2	2	2	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	10728	10701	1110	681	800	840	193	170	132	179	437	45	37	146	19	41	38	19	3	43	15	3	4	12	8	3	3	2	7	0	0	3	12	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_all	80	14545	11540	2365	1527	1263	1096	529	389	320	289	543	137	104	176	59	69	48	38	26	45	22	8	9	14	14	4	3	5	9	2	3	5	13	1	2	2	1	2	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	10714	10271	1138	700	792	823	194	172	139	199	487	51	44	139	18	47	25	15	6	37	13	3	4	11	7	3	1	2	6	0	1	5	12	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	14710	11578	2386	1514	1254	1061	517	368	336	258	596	130	104	157	69	70	52	41	30	57	25	15	10	20	10	3	2	4	11	3	3	5	6	0	0	3	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	10882	10343	1144	672	774	801	211	155	142	179	531	47	42	119	18	43	27	19	6	50	13	6	4	16	6	2	1	0	8	2	1	4	5	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	14777	11438	2420	1510	1262	1092	514	377	317	236	613	130	103	157	64	66	49	39	28	59	29	14	13	17	7	4	3	2	9	3	3	5	3	1	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	10971	10216	1178	696	767	814	213	158	141	159	546	53	41	117	19	43	27	17	5	52	14	7	4	14	3	1	2	0	6	2	1	4	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	14868	11531	2411	1503	1240	1071	524	386	295	240	541	122	98	153	54	66	63	38	23	65	30	17	10	13	9	5	5	5	7	4	1	4	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	11126	10338	1142	707	753	797	226	156	123	162	472	56	33	115	18	42	36	18	3	57	13	7	3	10	6	2	1	0	6	2	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	14895	11958	2450	1529	1261	1070	541	408	299	253	495	142	100	169	43	61	67	37	21	53	27	13	13	18	10	6	6	8	2	2	0	1	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	11221	10770	1172	739	756	786	239	180	128	158	439	66	34	140	15	41	41	13	3	45	14	3	3	15	5	2	2	2	2	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	14754	12063	2454	1509	1222	1058	545	410	298	266	497	130	91	154	49	63	79	34	20	52	19	10	10	18	10	8	5	9	5	4	2	1	3	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	11036	10861	1146	750	745	769	215	183	127	163	446	64	28	130	12	42	48	9	4	46	10	4	2	12	5	2	1	2	3	1	1	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	14683	11915	2493	1524	1221	1056	534	402	297	261	539	135	89	154	62	59	81	26	20	41	23	9	15	21	12	5	4	10	8	2	5	2	3	0	1	2	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north9_active	80	10894	10713	1192	737	741	746	217	182	131	163	486	63	36	131	11	41	51	5	6	37	13	5	4	15	8	1	1	3	5	1	2	2	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north10_all	80	14734	11866	2454	1537	1183	1060	531	382	282	272	579	135	99	167	67	57	70	29	23	33	21	10	14	18	10	5	2	5	14	2	5	2	0	2	1	2	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north10_active	80	10911	10623	1170	750	722	740	200	167	132	175	527	56	42	133	14	43	46	3	9	30	11	6	5	13	8	2	0	1	10	1	2	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_all	80	14553	11664	2416	1504	1240	1031	519	407	265	285	451	124	108	147	69	64	61	47	16	55	24	18	12	27	10	7	3	5	6	3	1	2	7	1	0	1	1	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	10758	10408	1150	705	768	752	204	183	115	192	397	56	38	112	21	39	34	18	2	50	13	11	5	23	6	2	0	1	3	2	0	0	5	0	0	0	1	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	14737	11816	2382	1500	1228	1068	518	415	254	308	506	134	107	161	72	54	72	42	19	53	26	20	14	22	16	8	7	4	6	6	1	2	8	0	0	3	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	10867	10562	1122	710	782	782	213	183	118	202	451	58	39	125	19	32	48	19	2	50	12	10	5	18	13	2	1	1	3	5	1	0	6	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	14880	11682	2431	1550	1251	1064	538	409	267	291	612	139	98	158	75	61	71	38	22	63	29	23	16	28	13	6	5	4	4	5	3	1	7	0	0	4	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	11015	10457	1142	718	770	774	226	186	116	185	547	59	36	122	24	39	50	15	4	58	15	13	5	21	11	2	2	3	1	4	2	1	6	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	14833	11628	2421	1543	1240	1061	522	393	272	277	595	139	103	135	65	78	59	29	23	60	25	14	15	17	14	7	11	5	1	4	3	1	4	0	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	10935	10391	1119	722	766	772	218	172	115	182	539	58	38	102	21	54	43	10	3	55	14	9	4	11	14	2	4	3	0	3	2	1	3	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	14828	11718	2391	1521	1238	1035	498	395	263	267	582	130	102	144	62	90	72	23	28	57	21	13	14	16	12	7	10	5	1	3	3	4	7	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	10897	10469	1118	706	746	752	209	178	107	170	528	48	38	110	24	65	56	6	5	49	11	8	4	11	12	2	3	3	1	2	2	4	7	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	14505	11629	2293	1486	1239	1046	491	402	291	256	543	122	110	124	68	97	65	24	28	59	18	10	16	11	14	9	13	5	1	4	0	5	12	1	0	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north16_active	80	10574	10364	1086	693	759	772	203	172	121	164	493	40	43	94	19	68	48	11	6	50	8	6	4	10	8	3	5	2	1	2	0	4	12	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north17_all	80	14425	11917	2314	1476	1265	1037	496	405	300	265	463	124	112	141	58	84	61	34	29	59	22	17	14	11	14	9	10	4	1	5	0	6	16	2	0	2	1	1	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
