label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116
0.03	north1_all	80	11563	2782	1820	2269	1106	1579	535	496	418	782	309	239	256	289	156	200	331	123	106	201	95	80	99	72	55	75	55	44	37	44	41	29	22	33	25	46	18	16	22	15	14	17	17	23	12	13	9	13	6	7	5	3	5	4	3	0	3	5	3	3	1	4	5	1	2	2	2	1	2	1	4	1	3	1	1	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	7056	1268	847	1306	583	978	268	263	203	489	150	116	137	155	73	97	212	63	45	145	48	34	63	38	25	51	33	22	20	25	26	10	11	17	13	31	6	5	13	5	8	9	9	8	7	12	3	5	2	1	3	1	0	2	2	0	2	3	2	1	0	2	3	0	1	1	0	1	2	1	2	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	10756	2805	1857	2150	1088	1549	556	468	440	741	332	258	254	274	141	218	303	130	119	168	90	79	90	74	55	66	53	41	49	39	46	35	22	34	21	40	8	16	16	18	16	17	15	18	9	10	6	10	2	6	8	2	1	3	1	1	2	5	1	4	2	5	3	1	1	3	1	1	3	2	4	1	0	1	0	1	1	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	6457	1270	874	1251	541	953	261	247	218	471	148	127	123	139	64	115	204	57	52	112	38	37	51	39	23	38	30	26	29	23	25	13	8	18	11	27	1	6	8	6	8	10	7	8	5	9	1	3	1	0	6	1	0	2	1	1	1	3	1	2	2	3	2	0	0	1	0	1	2	2	2	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	11161	2818	1905	2313	1144	1639	619	517	437	727	324	269	283	307	152	243	308	132	122	187	85	78	100	79	59	67	68	41	52	33	43	33	23	32	23	39	12	16	17	18	16	27	12	19	8	9	6	17	5	7	10	3	2	1	1	1	2	5	2	3	3	2	2	0	0	5	2	0	2	3	4	1	4	1	1	2	1	2	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	6729	1274	918	1386	564	1045	302	282	212	462	149	125	133	167	68	135	195	62	52	115	35	38	54	41	22	35	46	27	33	17	21	12	11	20	11	27	3	5	7	6	8	17	6	12	5	7	2	9	4	0	7	2	0	1	0	1	2	4	2	1	3	2	1	0	0	2	1	0	1	3	2	0	4	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	11838	2715	1892	2389	1103	1684	659	543	455	751	334	274	303	302	152	242	317	139	124	212	86	69	105	86	67	74	62	42	62	29	47	28	22	30	23	27	14	19	19	30	15	29	15	17	8	9	6	19	4	7	12	4	4	2	1	2	7	7	3	3	4	1	2	1	3	4	1	0	2	5	2	1	5	1	1	2	1	2	1	1	0	2	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	7271	1226	914	1446	546	1086	307	299	232	480	152	127	146	171	65	134	186	72	56	132	40	34	61	49	25	46	41	23	39	14	23	12	10	16	13	20	3	11	8	12	6	19	5	12	4	7	3	11	3	0	7	3	3	2	0	2	7	7	3	1	3	1	1	0	3	1	1	0	1	4	0	0	4	1	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	12637	2718	1873	2554	1150	1777	660	548	440	768	350	301	322	290	162	244	320	139	107	238	107	72	103	88	75	92	69	55	55	33	40	30	32	31	23	31	19	19	18	30	10	27	15	18	7	10	6	25	4	10	10	4	5	3	5	2	8	10	3	4	4	4	3	2	5	3	1	0	1	6	2	1	5	0	1	2	1	2	1	1	0	3	1	1	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	7952	1212	894	1621	576	1174	309	308	218	494	179	143	165	170	77	131	183	73	50	153	53	41	55	56	33	65	48	35	30	19	19	13	14	16	14	24	7	15	7	12	5	20	5	12	4	4	3	16	3	1	6	3	3	3	2	2	7	6	3	1	2	1	2	0	4	1	1	0	1	5	0	0	4	0	0	1	0	2	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	12993	2638	1857	2556	1159	1782	662	602	439	865	347	320	303	309	164	256	362	150	88	244	105	73	93	91	75	98	53	44	58	46	35	23	32	34	27	33	25	16	20	22	6	25	16	18	5	21	10	22	3	7	6	4	7	5	6	2	11	10	5	5	4	3	4	3	5	3	0	1	0	4	1	1	3	1	0	1	1	2	1	1	3	1	1	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	8222	1171	897	1618	612	1173	315	335	229	571	178	160	164	179	84	132	223	89	48	164	54	42	53	58	32	77	34	26	30	29	21	12	16	20	15	20	6	14	11	11	3	18	5	6	3	7	4	14	2	1	1	2	6	4	3	2	9	5	3	1	2	0	3	0	4	1	0	0	0	2	0	0	1	0	0	1	0	2	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	13107	2669	1818	2567	1204	1809	703	630	446	879	348	338	307	301	155	230	370	144	90	250	107	66	88	84	70	97	50	44	50	52	32	20	35	37	22	37	21	18	19	22	13	16	12	18	6	26	9	19	3	5	8	3	8	8	5	4	9	9	6	4	5	3	6	3	3	3	1	1	0	3	1	1	2	1	0	0	2	1	1	0	3	1	0	1	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
