label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118
0.03	north1_all	80	5974	2332	2002	1421	916	610	505	438	356	285	272	192	194	173	288	260	165	113	81	66	79	116	90	44	47	61	43	40	32	30	20	26	14	18	16	14	32	10	16	8	20	7	17	13	7	15	9	9	6	15	4	1	1	2	8	6	2	16	5	1	1	1	2	3	2	3	2	4	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	3210	790	1269	903	468	172	123	219	137	53	102	37	85	57	222	228	123	48	20	33	24	93	64	9	31	54	25	8	9	9	7	8	1	5	8	5	28	1	5	2	17	1	11	8	1	10	2	1	0	14	1	0	0	1	5	0	2	11	2	0	1	0	2	3	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	5889	2356	2078	1405	901	601	512	472	359	297	284	199	174	167	303	241	170	102	90	67	83	149	99	43	46	74	33	35	36	22	18	27	14	19	17	13	36	11	12	8	19	7	17	10	9	18	7	8	7	17	5	3	0	2	5	4	2	18	5	1	2	0	3	2	2	2	5	3	0	2	0	3	0	1	0	0	0	0	0	0	2	1	0	0	2	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	3213	795	1304	862	465	161	131	228	148	59	109	44	81	57	240	208	124	45	20	31	23	122	75	13	29	62	17	6	10	11	7	8	4	6	6	4	27	3	5	2	15	1	12	7	1	13	0	2	0	14	2	1	0	0	4	0	1	13	3	0	2	0	2	2	0	1	1	0	0	2	0	3	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	6079	2399	2116	1440	887	603	505	461	359	284	291	209	171	157	326	295	202	93	100	70	72	157	99	44	46	87	32	36	25	23	25	27	19	19	21	18	38	11	12	10	20	7	25	10	10	15	5	8	5	9	7	2	0	5	5	5	3	14	4	2	2	0	5	3	1	1	5	3	0	2	0	4	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3349	808	1368	903	485	185	127	225	143	58	124	51	85	53	260	252	143	42	30	28	19	135	79	20	31	71	16	6	5	9	10	7	6	6	10	4	28	4	6	3	13	2	17	7	2	10	0	2	0	7	4	1	0	2	4	0	0	11	3	1	2	0	4	3	0	0	2	0	0	2	0	4	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	6456	2492	2297	1561	957	628	509	473	350	299	297	230	193	151	321	367	232	101	105	67	66	188	129	53	51	131	38	38	27	24	20	26	27	20	20	14	51	8	12	10	21	8	21	10	9	14	3	7	2	14	7	3	1	4	6	4	3	13	2	2	5	0	4	2	2	0	4	1	0	3	0	4	1	1	1	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3725	914	1587	1025	542	206	125	255	141	65	127	65	116	57	253	317	174	52	31	29	21	169	109	24	28	113	20	11	7	6	8	6	11	6	9	2	42	5	6	4	14	1	18	7	2	10	0	1	0	12	3	1	0	2	3	0	0	12	2	1	5	0	3	2	1	0	2	0	0	3	0	4	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6664	2559	2423	1663	989	617	486	519	342	303	310	232	219	144	331	418	236	112	91	71	58	202	136	51	56	145	43	34	27	32	24	18	22	21	17	15	48	12	13	12	31	11	20	14	6	7	6	5	3	12	6	3	2	6	6	4	2	8	1	2	3	0	3	3	2	0	2	1	0	3	0	4	2	0	1	2	0	1	0	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	4054	981	1749	1166	591	220	119	297	139	55	147	62	135	54	271	368	183	67	21	35	20	182	122	21	26	126	22	12	7	7	12	4	9	8	9	3	39	5	5	8	25	2	16	11	1	4	1	1	1	10	2	2	0	3	3	0	0	8	0	1	3	0	3	3	1	0	1	0	0	3	0	4	0	0	1	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	6853	2620	2485	1821	1054	629	464	531	342	296	305	241	233	140	335	433	231	131	79	67	70	225	160	51	68	157	41	33	32	31	23	20	21	22	18	16	53	14	14	10	36	10	26	15	5	8	9	3	3	11	7	2	4	5	4	3	3	4	4	1	4	0	4	4	2	0	0	0	0	2	0	1	2	0	1	2	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	4319	1066	1877	1320	637	236	104	323	147	53	148	67	142	51	283	387	196	82	11	37	24	209	141	21	28	136	27	13	9	4	10	3	9	7	12	3	44	6	4	7	30	2	19	11	0	7	2	1	1	10	4	1	1	1	1	0	1	3	3	0	4	0	3	4	2	0	0	0	0	2	0	1	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	6676	2631	2451	1759	1037	596	434	523	347	321	283	231	235	150	322	399	236	125	93	81	71	255	148	55	66	141	43	28	34	38	25	16	18	23	21	18	40	17	17	9	41	9	19	13	3	10	10	2	3	8	6	4	4	5	6	2	7	3	4	0	2	0	2	8	2	0	1	1	0	0	1	1	2	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
