label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172
0.03	north1_all	80	37470	13761	11841	4582	3826	7355	2210	2780	1816	1650	1354	1706	1682	895	868	1279	1343	570	483	539	499	676	431	341	250	445	594	308	498	321	198	144	250	152	112	238	136	124	101	94	73	215	89	93	70	66	105	70	46	54	42	53	35	35	38	29	32	22	51	69	25	19	17	16	17	26	24	25	9	17	19	10	11	14	9	15	7	6	15	12	7	7	15	9	3	8	7	4	7	5	3	3	6	4	4	6	2	5	4	5	6	1	2	1	0	3	3	0	1	1	1	2	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	2	3	0	0	0	1	0	0	0	0	0	1	3	1	3	0	2	0	1	0	0	3	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	28934	8777	9238	1197	1686	6554	514	1797	813	781	626	1230	1332	411	474	1043	1161	182	114	274	272	517	243	79	82	341	534	207	438	235	130	33	209	28	38	199	28	75	39	30	24	187	59	53	30	30	83	49	13	19	10	39	7	6	21	6	14	7	37	60	7	8	9	7	6	21	12	16	4	9	16	7	10	6	7	10	2	1	12	9	7	1	13	5	2	4	5	4	3	1	2	1	3	3	0	4	0	2	4	4	4	0	2	0	0	0	3	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	3	1	3	0	2	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	38256	14038	12270	4625	3884	7412	2247	2871	1835	1642	1398	1753	1735	935	867	1312	1386	563	493	547	514	616	437	330	273	456	594	351	534	304	214	145	264	141	120	261	126	123	99	98	72	184	86	82	68	65	158	63	50	52	37	61	33	28	38	23	27	24	52	69	24	22	14	24	18	29	20	23	9	14	20	15	27	14	13	14	8	11	9	17	16	7	20	4	3	6	7	7	8	7	1	3	5	4	4	6	2	8	2	5	3	3	2	2	0	3	3	13	3	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	3	2	2	0	0	0	1	3	0	0	0	0	1	3	1	0	0	2	2	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	30032	9190	9767	1261	1738	6591	569	1898	854	804	669	1276	1393	442	495	1093	1205	192	125	313	295	471	255	84	88	352	539	244	475	223	136	32	220	28	39	226	30	73	35	34	26	153	52	46	27	33	132	40	14	18	8	45	7	6	20	2	14	9	37	62	8	9	8	16	6	22	12	14	2	7	16	10	26	7	9	10	1	2	6	14	15	1	17	0	2	2	5	5	4	2	1	1	3	3	0	5	0	2	2	4	1	2	2	0	0	0	3	13	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	0	0	1	3	0	0	0	0	1	3	1	0	0	2	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	38908	14093	12241	4587	3891	7433	2255	2804	1818	1620	1463	1791	1740	921	882	1374	1433	550	498	521	529	609	425	335	277	406	650	394	476	274	222	149	231	130	131	241	120	123	94	97	80	173	75	75	69	71	146	47	49	39	43	55	33	29	45	26	31	40	49	74	32	23	19	32	16	28	20	23	12	16	15	16	41	8	27	18	7	10	12	19	17	6	21	3	2	7	6	8	7	6	4	3	9	3	6	5	3	8	4	7	1	2	2	2	0	4	3	13	3	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	3	2	5	1	0	0	1	3	0	0	0	0	1	3	1	1	1	2	2	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	30699	9248	9628	1246	1732	6601	585	1869	836	786	719	1314	1395	458	497	1140	1249	187	129	290	285	459	249	91	89	308	588	268	415	213	136	31	183	26	45	203	27	69	25	34	32	141	46	40	32	38	116	25	16	15	8	43	7	9	25	6	14	12	33	70	9	5	12	22	4	20	12	17	3	9	11	9	40	3	23	13	2	1	6	15	16	1	18	0	1	5	5	6	4	2	0	1	1	2	1	2	0	2	4	5	1	2	2	0	0	0	3	13	3	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	5	0	0	0	1	3	0	0	0	0	1	3	1	0	0	2	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	38616	14011	11982	4678	3851	7365	2312	2702	1845	1604	1519	1719	1777	914	907	1361	1536	537	485	532	524	632	405	320	265	405	646	381	425	291	205	161	284	130	124	265	116	127	104	97	87	145	83	65	65	74	171	61	51	45	41	87	37	37	46	28	34	38	35	93	26	19	25	34	20	29	20	20	17	19	20	23	42	6	27	13	8	7	10	14	18	5	15	5	2	8	10	6	6	5	5	0	10	3	3	5	4	8	3	4	1	3	12	1	2	3	0	13	2	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	3	1	5	1	0	0	0	3	0	0	0	0	4	0	0	1	1	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
0.03	north4_active	80	30384	9120	9460	1282	1693	6478	598	1842	826	775	760	1270	1434	482	519	1128	1354	184	126	285	282	474	234	83	77	311	580	252	371	219	116	31	233	23	41	226	28	73	32	35	40	115	55	34	27	47	145	31	17	20	9	75	6	11	22	6	8	14	23	89	8	3	15	25	5	21	13	16	4	13	13	16	40	4	24	12	2	1	4	11	17	2	12	1	0	7	9	4	4	2	0	0	1	1	1	3	1	5	3	1	1	3	11	0	1	0	0	13	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	5	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
0.03	north5_all	80	38015	13883	11806	4620	3885	7276	2317	2723	1783	1595	1479	1646	1701	944	879	1415	1506	556	482	515	514	614	401	313	271	405	673	351	430	307	206	164	296	127	119	256	110	130	99	106	78	156	77	62	66	84	138	64	58	42	44	84	41	38	48	25	36	39	34	106	29	17	27	27	18	28	24	18	17	22	42	26	39	8	24	7	9	7	11	12	10	5	11	8	7	7	13	3	5	5	5	1	11	2	3	6	6	5	4	4	1	2	12	0	4	1	0	20	2	0	0	1	2	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	5	1	0	0	0	0	1	0	0	0	4	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0
0.03	north5_active	80	29556	8843	9264	1270	1701	6395	596	1857	798	762	744	1237	1370	480	487	1179	1312	188	130	272	287	455	234	74	80	305	602	222	380	245	114	31	241	24	38	218	26	77	34	39	37	128	53	36	29	48	115	33	20	22	11	75	7	9	20	5	8	14	16	101	11	3	15	19	4	20	15	14	4	14	36	20	36	6	22	5	2	3	4	8	10	2	10	2	2	7	11	2	1	0	0	0	2	0	1	2	3	3	3	1	1	1	11	0	1	0	0	20	2	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0
