label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176
0.03	north6_all	80	27243	11676	6622	4285	2855	6524	4577	4029	1785	1623	1106	827	962	763	1097	1177	583	512	407	723	712	674	406	289	247	285	328	221	168	292	359	213	249	106	180	263	101	131	193	94	77	88	105	150	80	79	35	91	31	42	46	58	43	38	69	38	27	18	34	27	16	67	18	47	8	9	31	20	12	19	13	11	12	14	7	7	7	7	10	18	15	4	6	2	2	6	1	11	7	2	5	5	0	9	2	1	0	2	4	1	5	4	3	0	0	1	3	0	1	1	2	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north6_active	80	15394	6433	3456	2010	1296	4173	3009	2531	954	813	502	355	497	350	641	663	292	259	209	433	405	414	233	147	115	140	180	122	75	206	203	107	148	53	105	171	53	69	136	43	35	48	68	100	40	51	11	59	13	21	15	35	20	22	55	18	12	12	13	14	10	33	7	34	6	6	19	14	7	16	9	9	6	12	5	3	6	7	5	3	8	2	2	1	1	5	0	8	4	0	3	3	0	8	1	0	0	0	0	1	1	3	2	0	0	1	1	0	1	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	27402	11602	6686	4303	2953	6460	4523	3981	1757	1590	1089	844	932	737	1019	1168	599	515	407	700	688	678	398	289	260	285	344	217	156	279	355	230	236	114	210	273	92	139	198	95	76	78	88	139	81	71	35	98	34	50	45	72	39	42	56	38	32	22	33	31	20	73	18	54	12	12	28	23	15	14	14	12	15	14	10	6	10	5	7	18	14	5	6	3	3	10	0	7	5	2	3	2	0	17	0	1	1	1	4	0	4	3	3	0	1	0	2	0	1	0	2	0	0	2	1	0	3	1	1	2	2	1	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north7_active	80	15522	6333	3513	2042	1338	4154	2954	2458	916	801	493	364	486	337	582	690	309	257	206	413	384	405	233	141	121	133	187	120	75	194	200	113	146	52	116	184	45	76	122	39	27	40	56	87	41	43	12	57	13	30	17	38	18	24	45	14	14	14	16	19	11	34	6	30	6	9	17	17	9	7	10	11	6	11	7	3	8	4	2	2	8	3	2	1	1	8	0	5	4	1	2	0	0	16	0	1	1	0	0	0	1	2	2	0	0	0	1	0	1	0	1	0	0	1	0	0	3	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	26213	11053	6567	4170	2955	5898	4256	3775	1732	1517	1084	904	878	731	956	1111	593	508	397	672	654	635	407	300	251	284	336	206	157	278	343	221	263	115	187	246	77	152	179	87	75	60	85	121	85	78	46	72	43	57	39	79	37	40	51	45	33	25	29	30	16	52	19	52	19	18	28	20	13	16	15	13	13	17	8	6	10	5	9	11	8	4	7	2	6	13	1	8	6	4	4	2	0	13	2	3	2	5	2	1	3	3	2	0	1	0	2	0	1	1	1	0	0	2	1	0	3	1	1	2	2	1	1	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	1	0	0	0	0	0	2	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north8_active	80	14557	5889	3370	1928	1338	3782	2671	2346	884	745	483	397	427	351	544	664	300	258	198	388	343	388	235	150	119	129	193	109	78	179	183	112	165	54	102	170	34	84	103	36	32	32	53	78	50	49	18	43	20	31	17	41	16	20	29	20	14	14	9	18	8	25	8	27	11	12	16	16	8	6	10	12	5	13	5	3	7	4	5	2	5	3	3	0	2	8	1	7	3	3	2	1	0	12	1	3	1	1	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	25208	10738	6388	3938	3056	5596	3890	3575	1702	1455	1057	892	811	701	891	1051	564	503	390	624	573	674	375	280	243	262	288	189	161	270	338	200	270	127	172	253	90	120	191	81	71	69	89	96	71	78	51	86	52	62	40	65	30	41	62	47	29	27	34	28	23	38	14	40	17	18	20	17	11	19	9	6	12	14	11	6	5	2	11	4	7	5	7	4	9	13	1	9	7	3	2	3	1	9	2	3	3	4	2	7	3	2	2	0	1	0	2	0	0	1	0	0	0	2	1	1	1	1	1	3	2	0	2	0	0	0	0	0	0	0	1	1	0	5	0	0	0	1	0	1	0	0	0	0	0	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north9_active	80	13700	5583	3224	1797	1388	3588	2324	2246	848	729	464	402	397	341	505	621	296	257	182	355	292	414	207	123	104	117	157	91	78	160	195	113	172	52	89	166	38	66	111	35	37	36	57	58	42	46	20	43	31	34	19	25	12	16	32	22	12	13	10	15	11	16	6	15	10	12	10	11	5	6	4	4	5	9	6	2	3	1	7	2	3	5	3	1	3	7	1	7	4	3	0	2	0	9	1	3	2	1	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	24216	10524	6134	3863	3024	5282	3760	3324	1660	1377	1058	890	835	706	971	1016	556	484	373	618	483	745	372	265	246	286	279	193	175	265	303	182	297	128	131	213	91	136	194	79	64	65	102	92	72	74	60	65	54	60	39	72	33	36	86	45	20	25	30	24	17	39	15	31	16	15	22	14	10	19	12	7	8	15	7	8	3	4	14	3	7	7	7	3	13	10	2	7	7	4	2	3	2	6	6	3	2	5	4	10	9	2	2	0	0	0	1	0	0	1	0	2	1	1	0	2	1	1	0	3	0	0	2	0	1	0	0	0	1	0	1	0	0	5	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	13040	5452	3025	1705	1369	3325	2238	2093	801	671	463	390	398	327	547	606	281	235	175	333	272	492	196	107	114	127	153	83	77	147	177	113	186	56	68	128	37	77	128	43	39	34	61	67	45	45	26	34	31	30	21	41	15	18	44	26	8	12	10	12	8	28	7	20	9	9	11	10	5	6	5	4	4	10	4	4	1	2	9	1	3	4	4	1	8	3	1	4	5	4	0	2	0	5	3	3	1	2	2	5	6	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
