label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177
0.03	north6_all	80	35260	11485	9075	4742	7239	3794	3012	2412	3040	1446	1895	1053	931	940	810	712	1751	571	1396	1239	725	379	594	322	359	571	253	247	190	192	222	207	142	140	119	118	209	102	145	88	65	215	69	60	141	77	64	77	43	55	44	79	35	36	40	27	40	33	16	67	23	23	32	21	20	22	20	25	13	12	19	17	24	11	11	9	7	12	6	3	7	5	7	7	5	9	8	8	6	4	3	5	7	2	0	1	5	1	6	1	0	1	1	1	0	0	0	1	1	2	0	1	10	7	7	1	1	1	1	1	1	0	1	0	1	0	1	0	3	0	0	3	1	0	0	0	1	1	1	0	0	0	0	0	4	10	0	4	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0.03	north6_active	80	26263	5531	5984	1339	5886	2354	1927	1401	2350	413	1356	314	294	440	307	337	1540	229	1249	1106	548	102	450	117	252	494	109	106	53	68	92	107	35	22	47	55	183	47	109	26	29	196	6	29	129	44	28	51	13	45	29	67	8	12	24	16	14	19	10	62	7	9	26	16	9	15	8	18	2	9	2	10	21	7	4	2	1	8	1	2	3	1	1	3	2	9	5	7	1	4	2	0	6	1	0	0	4	1	5	0	0	1	1	1	0	0	0	0	0	2	0	0	10	6	7	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	10	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north7_all	80	35131	11356	9108	4736	7088	3967	3025	2422	3157	1404	1957	1082	947	991	828	728	1647	562	1405	1074	698	376	579	340	357	635	247	229	197	179	208	209	150	140	135	118	237	114	141	84	79	184	69	67	160	82	69	72	46	59	53	85	31	43	44	31	44	36	25	68	24	23	24	25	19	19	15	30	18	9	22	13	14	10	10	11	8	21	6	8	2	5	7	7	7	4	5	6	6	7	3	5	6	2	1	1	5	1	4	0	2	1	3	0	0	1	0	3	2	3	0	2	9	5	7	1	0	1	0	1	2	0	1	0	0	0	1	0	3	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	4	10	1	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0.03	north7_active	80	26080	5406	6049	1344	5761	2575	1921	1400	2477	404	1399	335	315	489	313	339	1431	230	1256	954	528	102	442	126	246	561	102	103	56	57	90	109	35	21	59	46	210	58	111	21	31	167	4	26	138	49	30	45	12	44	30	71	9	18	27	16	18	25	11	64	5	7	19	12	10	13	5	22	5	7	4	10	10	7	2	4	2	17	3	2	1	0	1	4	3	4	3	5	1	6	2	1	5	1	1	0	4	1	3	0	1	0	2	0	0	1	0	0	0	2	0	1	9	5	7	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	10	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north8_all	80	35487	11336	9127	4666	6880	3988	3001	2395	3212	1415	1915	1068	929	1003	829	708	1560	560	1383	1114	704	382	539	329	363	665	262	219	185	181	190	202	155	136	134	111	254	125	144	82	90	182	73	69	139	97	66	79	46	62	59	87	34	40	47	30	35	35	23	72	15	24	20	28	15	14	13	24	19	9	16	16	14	26	7	13	8	21	7	8	1	4	7	9	5	6	4	18	3	9	1	5	5	3	1	3	6	1	4	2	2	1	2	0	0	2	0	2	2	1	1	3	9	1	8	1	0	1	0	1	1	0	1	0	1	0	2	0	4	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	10	1	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	26434	5412	6074	1338	5593	2624	1891	1365	2594	407	1376	324	303	497	325	339	1354	223	1237	988	540	108	410	118	259	589	112	100	44	60	87	112	38	26	53	50	222	65	106	22	26	157	7	25	119	60	27	50	9	42	39	75	8	16	33	14	14	24	9	66	3	9	17	12	10	5	6	20	5	7	3	11	11	22	3	5	3	17	3	2	0	0	1	4	2	6	3	17	1	8	0	1	5	2	1	0	4	0	2	2	1	0	1	0	0	1	0	0	0	0	0	2	9	1	8	0	0	0	0	0	1	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	35385	11371	9163	4681	6752	3839	3067	2434	3116	1396	1907	1092	907	988	820	743	1567	578	1272	1037	698	375	525	324	396	603	259	221	201	208	197	188	148	144	141	133	250	140	149	81	86	124	66	77	118	106	61	75	54	78	66	89	32	33	56	33	25	32	25	57	15	19	24	23	7	19	14	20	15	15	12	18	18	42	8	12	7	23	7	6	3	6	4	7	6	6	3	17	3	7	3	3	2	2	1	3	3	2	5	2	3	3	3	1	0	3	0	2	2	1	2	3	7	0	1	0	0	2	1	1	1	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	26402	5409	6070	1366	5427	2470	1937	1393	2521	378	1369	346	302	490	325	357	1361	232	1135	907	540	112	413	121	287	524	104	110	47	68	93	109	32	30	62	64	218	83	114	21	17	93	13	26	95	74	25	47	12	55	47	82	10	17	36	16	9	19	10	51	2	7	18	7	3	9	7	16	4	11	2	13	16	37	4	4	4	19	4	0	1	0	0	2	2	3	2	17	1	4	1	1	2	1	1	0	2	0	1	2	1	0	1	1	0	1	0	0	0	0	0	2	6	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	35474	11387	9151	4646	6749	3846	3102	2499	3044	1368	1877	1098	884	984	819	750	1484	572	1282	1178	725	368	518	317	418	513	264	228	210	203	188	196	151	127	139	122	225	144	136	80	82	143	65	75	100	93	59	76	52	63	62	74	32	28	59	36	23	32	23	83	15	21	17	17	12	24	14	19	14	16	8	14	19	47	10	10	7	17	10	2	2	10	3	6	2	10	6	17	2	11	4	5	3	2	2	4	2	3	6	2	3	3	1	2	2	2	0	1	5	0	2	2	7	1	1	0	0	1	3	0	0	1	1	0	1	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	26596	5402	6060	1351	5467	2514	1978	1447	2496	347	1353	356	317	481	309	360	1300	221	1143	1044	562	114	396	118	307	421	104	109	49	69	88	115	38	23	58	61	194	82	103	19	16	107	18	28	81	66	22	51	12	48	47	63	10	13	36	17	7	16	10	75	2	11	11	7	8	13	5	15	3	13	0	10	17	42	8	3	3	15	3	0	1	2	0	2	0	7	2	17	1	7	1	2	3	1	2	0	1	0	2	2	1	0	0	1	0	0	0	0	5	0	0	2	6	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
