label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175
0.03	north1_all	80	27933	13485	7870	4439	4159	2453	3762	2270	1769	1256	2034	1006	879	1028	1325	609	1059	461	397	494	551	331	539	334	247	334	372	189	201	158	169	201	184	235	112	109	95	111	144	123	72	59	55	53	45	70	94	85	84	27	78	34	45	58	28	28	38	33	37	20	18	27	19	29	18	20	7	13	12	16	6	25	9	12	8	15	1	10	7	5	6	5	8	12	5	7	2	11	10	2	6	6	3	2	2	0	2	2	2	0	8	1	0	1	2	1	1	0	0	1	1	2	10	1	6	1	0	1	0	2	2	0	1	1	4	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	15780	7690	4307	2192	2256	1159	2203	1275	890	581	1198	495	438	572	840	279	653	202	182	244	310	172	320	163	115	184	235	93	103	65	80	110	88	156	47	54	45	67	102	68	37	28	19	23	22	38	66	44	57	10	46	14	21	34	14	9	17	16	20	12	11	13	9	14	12	11	3	6	5	6	3	11	2	3	5	10	1	3	4	3	1	2	4	6	4	2	0	9	3	0	0	2	2	2	0	0	2	0	0	0	7	1	0	0	1	1	0	0	0	0	1	2	8	0	5	1	0	1	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	28907	14206	7997	4635	4352	2586	3967	2336	1808	1198	2089	1034	886	1087	1426	589	1142	483	401	501	615	344	602	315	236	376	397	195	214	143	158	188	191	249	121	113	85	112	164	145	75	68	57	61	52	71	86	98	87	31	85	35	45	57	31	22	35	37	36	22	20	25	19	29	23	20	9	17	12	11	9	27	12	4	8	11	3	12	5	11	5	3	7	7	4	6	1	13	7	2	6	6	4	3	2	1	3	3	1	2	6	1	0	1	1	1	1	1	1	1	1	1	10	1	7	1	0	0	0	2	2	0	1	1	3	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	16528	8170	4410	2304	2406	1232	2383	1340	945	569	1240	505	437	604	944	265	725	229	182	264	353	177	380	151	113	217	242	79	110	62	76	105	83	161	47	62	38	61	105	83	38	36	20	26	24	37	56	62	64	13	57	15	22	26	13	6	16	24	18	16	12	12	11	12	15	9	4	8	7	3	6	16	5	2	5	8	2	5	2	8	0	1	3	3	3	0	0	9	3	1	1	3	3	2	0	1	2	2	0	0	4	0	0	0	0	1	0	1	1	0	1	0	8	0	6	1	0	0	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	30007	14809	8354	4773	4478	2634	4252	2443	1940	1201	2262	1083	894	1078	1471	591	1234	509	374	505	647	373	631	327	241	382	365	187	229	152	155	185	187	285	122	123	109	101	150	154	74	60	61	68	60	63	110	80	87	35	78	34	50	59	35	22	39	33	41	32	17	24	16	31	37	35	8	15	11	12	16	23	11	4	9	9	5	8	4	18	5	3	6	8	3	4	1	3	4	3	10	8	6	6	2	2	3	5	1	2	5	1	1	1	2	1	1	1	1	2	1	1	1	0	8	5	0	0	0	1	3	0	1	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	17437	8689	4620	2463	2463	1292	2573	1383	1052	582	1414	551	452	598	984	259	804	239	172	262	376	184	414	153	118	217	235	84	123	74	76	102	80	173	47	70	45	46	97	81	37	28	23	33	27	30	71	48	58	15	56	19	26	30	17	8	17	18	20	22	12	16	8	17	20	26	3	8	7	5	12	16	7	2	6	7	2	4	1	15	2	1	3	5	2	0	0	0	1	1	5	5	5	4	0	2	1	2	0	0	4	0	0	0	0	1	0	1	1	0	1	0	1	0	7	5	0	0	0	1	2	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	30805	15266	8665	4952	4633	2663	4586	2603	1998	1234	2421	1112	928	1133	1485	558	1269	521	400	526	671	397	668	300	238	379	382	190	257	165	138	191	166	305	113	146	122	111	137	143	93	68	67	67	54	68	115	84	89	38	63	28	43	52	30	24	28	36	36	43	15	18	13	31	34	37	15	14	12	10	20	26	9	2	9	9	7	7	5	21	9	4	4	5	4	3	1	5	1	7	6	5	8	5	2	2	4	8	0	2	10	6	1	1	2	2	1	1	2	3	1	2	1	0	2	5	6	1	0	1	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	18119	9039	4879	2577	2588	1338	2855	1474	1124	601	1559	571	458	647	978	227	837	250	183	268	424	193	434	145	115	216	240	82	142	76	67	109	77	175	44	77	51	54	86	88	52	31	30	32	24	31	73	55	51	21	49	15	24	30	12	11	12	23	18	27	9	12	7	20	21	26	7	7	4	6	15	19	6	1	7	7	2	4	1	15	4	2	2	4	3	0	0	0	0	4	5	4	6	3	0	2	2	5	0	0	9	5	0	0	0	2	0	1	2	1	1	1	1	0	2	5	5	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	31571	15428	8846	4908	4600	2677	4766	2658	2041	1306	2404	1140	931	1112	1479	557	1280	517	414	494	695	432	697	302	238	353	388	164	236	167	140	200	156	312	120	166	128	112	139	136	87	64	77	81	56	67	140	81	111	41	65	28	46	61	31	27	23	28	44	45	21	21	16	31	35	39	23	17	15	11	25	18	13	5	13	9	7	5	6	19	10	8	4	4	5	6	2	10	0	7	7	3	7	5	2	3	2	7	1	1	8	5	1	0	3	2	2	1	1	2	0	2	1	0	2	5	6	1	1	1	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	18706	9163	5099	2560	2528	1384	2992	1499	1149	608	1552	579	468	627	954	226	861	248	198	251	443	227	445	163	119	191	260	76	129	81	71	119	83	173	55	85	56	51	92	82	46	26	32	39	24	29	86	50	60	24	45	14	29	38	12	16	9	15	25	26	9	13	7	21	22	30	14	5	6	7	11	14	9	3	8	5	2	3	2	13	7	5	3	2	3	3	1	6	0	4	5	3	4	3	0	1	1	4	0	0	8	5	0	0	0	2	0	1	1	1	0	1	1	0	2	5	5	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
