label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111
0.03	south31_active	80	750	517	581	531	161	94	206	108	60	54	67	156	119	38	27	29	39	18	19	46	14	12	10	8	35	14	3	15	7	17	5	10	8	11	2	8	4	3	3	6	3	5	5	1	9	3	1	2	2	1	0	2	1	0	1	3	1	1	1	2	1	2	2	0	0	1	0	1	0	1	0	7	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	1700	1020	1020	965	287	239	333	196	139	122	129	285	234	66	52	60	80	45	39	75	31	26	31	22	60	36	15	35	16	20	13	18	24	29	3	11	8	6	9	10	5	10	7	4	8	8	2	4	8	1	2	1	1	1	4	7	2	0	1	2	3	3	4	0	6	2	0	0	1	1	0	1	1	0	0	0	0	4	0	0	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	755	543	627	635	153	102	203	111	64	61	72	194	138	30	25	35	53	19	20	45	13	16	15	9	39	24	3	23	9	18	6	11	11	18	2	7	3	5	6	6	2	7	5	1	2	6	0	3	5	0	1	1	1	1	1	3	2	0	1	2	1	1	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	3	0	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	1723	1056	1074	1019	291	245	343	185	169	119	138	304	245	65	51	57	78	45	43	74	37	24	24	21	82	32	21	39	13	35	16	15	21	26	7	11	9	9	8	7	6	11	9	3	6	5	2	3	6	1	4	5	0	2	3	7	2	0	0	2	3	2	2	0	6	2	0	1	0	2	1	0	1	0	0	2	0	3	0	0	3	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south33_active	80	768	577	662	672	157	104	212	106	82	63	83	193	156	27	23	30	49	21	19	42	15	17	12	8	61	20	9	26	6	24	7	9	8	19	1	7	3	8	5	4	4	5	6	1	0	3	1	3	4	0	3	5	0	2	0	4	2	0	0	2	1	1	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	3	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	1773	1056	1224	1008	330	266	355	193	167	135	151	349	297	65	51	55	82	45	35	85	37	32	22	29	82	35	26	43	14	45	17	14	29	30	11	10	9	8	8	8	5	16	7	3	14	8	4	2	6	1	6	8	1	3	3	3	2	20	2	1	1	3	2	0	1	1	0	1	1	2	1	0	0	0	0	2	0	3	0	0	3	2	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	south34_active	80	809	579	784	663	175	127	223	117	82	68	87	245	187	30	26	26	49	21	19	48	15	18	14	13	53	21	9	34	7	30	6	6	15	22	3	5	7	8	5	6	4	8	3	0	7	6	1	2	4	0	4	8	0	3	1	2	2	15	2	1	0	2	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	3	0	0	3	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south35_all	80	1740	1050	1252	1088	325	284	366	189	166	120	158	373	293	80	55	55	91	34	40	83	34	35	29	32	70	39	27	39	10	47	20	10	23	23	14	11	10	6	5	3	7	18	7	4	13	7	4	1	7	4	8	9	2	3	2	7	3	22	3	1	2	2	2	0	1	0	0	1	1	1	1	0	0	0	0	3	0	1	0	0	0	3	0	0	0	0	0	0	0	1	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	south35_active	80	809	565	797	685	165	148	220	110	78	59	87	264	196	40	25	23	62	17	25	48	13	22	15	15	45	23	14	27	5	31	9	6	9	17	4	3	8	5	3	2	6	11	1	2	7	6	1	1	3	1	5	9	1	3	1	6	3	17	3	1	1	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south36_all	80	1743	1035	1140	1013	337	285	372	201	144	111	142	339	272	79	59	64	83	31	42	86	32	36	34	33	76	38	23	39	12	41	16	10	13	21	8	9	8	6	3	3	9	12	6	4	10	7	4	1	4	3	6	10	3	6	1	8	3	25	4	3	1	2	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south36_active	80	812	532	713	637	165	149	223	115	70	54	75	252	185	37	22	27	50	13	28	47	13	21	19	17	49	19	10	28	7	29	8	6	7	13	3	3	6	4	2	2	8	7	1	2	9	6	1	1	1	1	3	10	1	5	1	7	2	19	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south37_all	80	1705	1011	1033	1032	335	269	358	195	144	109	138	320	243	69	58	59	98	40	52	68	31	31	27	32	72	45	17	35	13	36	14	11	16	20	6	14	3	7	4	6	9	12	4	2	6	6	1	1	4	4	6	3	3	7	0	6	2	11	3	2	1	1	0	0	3	0	5	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
0.03	south37_active	80	795	502	611	632	165	149	204	108	66	55	67	241	151	33	18	26	59	19	31	37	13	19	13	15	46	25	9	23	8	24	7	8	8	13	2	5	2	2	2	3	8	8	1	2	4	4	0	1	1	1	3	3	2	6	0	5	1	5	2	0	1	1	0	0	2	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	south38_all	80	1721	1015	969	1007	350	276	370	188	151	118	135	273	235	46	58	49	100	37	55	57	31	25	33	27	72	43	10	38	18	38	14	10	16	22	7	10	2	12	3	6	12	14	4	1	10	10	1	2	3	3	5	1	3	6	2	3	1	7	4	2	0	0	0	0	5	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south38_active	80	819	521	573	601	185	146	214	97	71	60	68	173	150	24	23	24	60	19	31	29	16	15	20	10	48	25	5	22	9	25	6	6	4	14	2	3	1	5	2	2	11	11	1	0	7	4	1	2	2	2	2	1	1	4	0	2	0	6	2	0	0	0	0	0	3	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	1724	1024	1017	999	342	293	366	190	171	127	136	303	248	47	62	42	104	39	52	57	30	24	35	22	46	35	9	41	20	43	11	12	22	22	8	6	7	13	2	10	14	16	7	1	10	13	1	1	1	2	7	0	3	5	5	2	1	6	2	3	0	0	0	1	4	0	7	2	0	0	0	0	1	0	0	0	2	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0
0.03	south39_active	80	809	515	605	598	179	144	214	103	83	70	76	185	155	27	28	20	56	16	33	30	14	13	23	8	28	19	4	27	9	27	5	6	10	15	1	3	3	7	1	3	11	12	0	0	6	7	1	1	1	1	3	0	1	4	1	1	0	5	1	1	0	0	0	0	3	0	5	2	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	south40_all	80	1738	1058	1104	1123	347	311	387	199	164	132	155	354	277	52	70	47	106	36	50	65	30	21	34	20	57	26	11	55	21	35	14	18	31	32	7	5	8	20	2	12	10	15	15	2	17	11	3	3	3	2	6	0	4	2	5	2	2	8	3	3	2	0	2	2	2	0	2	2	0	0	0	0	1	0	4	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	south40_active	80	837	532	685	691	193	153	221	108	82	71	83	213	178	25	39	25	55	15	33	38	18	13	24	7	31	12	4	34	9	24	10	11	18	22	1	4	4	14	1	5	8	10	3	1	13	7	2	2	2	1	3	0	2	0	1	1	1	7	1	2	2	0	2	0	1	0	1	2	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
