label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130
0.03	north1_all	80	13495	2526	3170	1982	880	780	1260	463	1228	878	294	458	432	214	281	235	251	121	119	108	134	173	60	98	58	56	38	36	55	37	49	16	31	46	25	21	85	22	33	22	28	15	11	15	32	8	8	5	10	6	7	3	12	4	4	9	7	4	10	8	0	11	4	2	4	0	7	4	9	4	8	10	1	3	0	2	2	3	0	7	2	0	2	0	0	0	0	0	0	0	1	0	2	0	1	5	1	0	1	0	0	2	1	0	0	0	1	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	11448	572	2415	1431	222	430	1031	142	1090	768	83	355	355	103	192	171	195	29	40	25	76	150	23	57	25	13	11	15	18	11	37	7	18	35	11	9	77	14	28	3	25	1	2	11	25	0	5	2	4	1	2	1	3	0	1	8	2	2	9	5	0	9	1	0	0	0	7	2	9	4	6	7	1	0	0	1	1	2	0	6	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	5	0	0	0	0	0	1	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	13075	2514	3169	2033	890	835	1273	466	1183	837	331	490	435	231	276	232	262	130	104	100	137	191	55	101	57	49	37	44	46	40	59	17	25	66	20	26	103	15	40	20	25	20	13	15	29	10	10	7	8	12	7	6	9	6	6	9	8	3	4	13	0	9	4	1	4	1	5	3	5	2	6	12	2	1	1	3	1	8	1	3	1	0	1	1	0	0	0	1	0	0	1	0	2	0	1	4	3	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	11028	578	2410	1458	219	465	1050	142	1045	732	87	382	336	112	187	162	200	29	34	23	72	162	23	55	26	10	10	20	15	16	41	7	13	53	11	10	92	9	28	3	22	3	4	13	23	2	6	3	4	3	2	2	4	1	0	8	2	1	4	10	0	7	1	0	0	1	5	1	5	2	4	11	1	0	0	2	0	7	1	2	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	4	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	13321	2511	3110	2102	914	818	1227	480	1148	826	326	489	416	229	277	217	260	123	106	97	126	192	52	83	58	49	41	42	43	38	71	30	27	70	21	32	86	17	42	16	21	22	14	19	21	9	12	10	6	10	10	5	6	11	6	8	8	4	2	11	4	5	3	3	3	1	6	3	7	0	5	10	2	1	3	4	4	7	4	0	1	0	0	4	0	1	0	1	0	1	1	0	2	2	0	0	2	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
0.03	north3_active	80	11263	557	2390	1513	234	451	990	138	992	696	77	387	317	111	187	163	200	24	35	19	71	159	24	43	25	9	12	20	15	14	51	17	15	56	10	13	76	9	26	3	18	4	2	15	16	2	6	7	4	2	3	1	2	4	0	6	3	1	2	8	2	5	1	1	1	1	4	1	7	0	4	9	1	0	1	2	3	7	1	0	0	0	0	2	0	0	0	1	0	0	1	0	1	1	0	0	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	13268	2584	3069	2054	911	834	1155	475	1198	872	314	472	416	257	289	227	250	138	108	119	127	170	62	82	61	49	44	40	38	48	72	34	34	66	23	32	83	22	32	17	27	24	11	21	21	8	12	11	8	11	12	8	6	11	6	8	7	7	0	10	5	2	5	2	2	1	5	3	3	0	1	5	1	2	3	3	3	6	7	0	1	0	0	4	0	1	1	1	1	1	0	0	0	3	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
0.03	north4_active	80	11295	610	2377	1498	259	459	911	125	1044	720	66	362	306	128	193	170	194	42	40	22	72	127	29	42	21	10	11	14	20	20	57	19	17	54	12	14	76	12	16	2	25	5	2	15	16	3	6	7	2	2	3	2	2	6	1	6	2	2	0	7	2	2	5	1	1	1	3	1	3	0	1	5	0	0	1	1	3	6	2	0	0	0	0	2	0	0	1	1	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_all	80	13204	2612	3009	2053	910	804	1180	503	1136	827	300	434	420	232	270	249	259	145	121	117	120	149	63	75	68	55	47	37	41	41	71	41	34	52	24	30	76	20	36	18	21	17	14	17	24	8	11	11	10	10	15	6	5	8	3	10	5	9	4	4	6	3	5	3	2	3	2	2	3	0	1	1	1	1	3	3	3	6	6	4	0	0	0	5	0	1	1	1	2	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0
0.03	north5_active	80	11138	610	2302	1507	267	430	912	135	993	688	66	327	328	111	188	179	199	49	43	22	72	114	24	39	23	11	14	11	21	14	63	23	12	40	14	14	69	10	23	2	20	4	3	10	18	1	7	6	1	2	3	1	1	6	1	9	1	3	3	3	3	2	5	1	1	2	0	0	3	0	1	1	1	0	1	1	3	6	1	4	0	0	0	3	0	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north6_all	80	13115	2581	3051	2029	920	796	1125	507	1192	824	279	409	444	218	272	259	231	146	124	116	112	170	65	72	67	54	46	45	36	41	89	43	31	50	25	26	69	22	34	17	29	18	15	16	14	9	9	12	10	5	16	7	7	5	4	10	2	8	7	7	5	4	7	3	0	3	5	3	13	2	1	1	1	1	3	0	4	0	5	4	0	2	0	1	0	0	1	0	2	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0
0.03	north6_active	80	11079	636	2352	1465	265	437	882	149	1062	695	76	299	351	106	184	185	175	58	46	23	66	138	27	35	22	11	13	12	18	17	75	19	14	38	17	12	63	12	23	2	27	4	3	10	9	2	6	9	0	0	5	2	3	4	2	10	0	4	6	6	2	2	6	1	0	1	5	0	13	2	1	1	1	0	3	0	4	0	1	4	0	2	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north7_all	80	13122	2557	3007	2053	918	815	1136	518	1224	856	286	409	450	219	271	249	246	136	124	94	111	165	72	72	73	57	43	45	40	31	77	46	28	36	30	23	53	22	33	20	22	20	15	10	19	9	17	10	7	11	17	8	7	4	6	10	2	9	7	8	5	8	5	3	0	3	7	6	12	2	1	3	1	1	2	0	5	0	1	6	0	2	0	1	0	1	0	0	2	1	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north7_active	80	10987	625	2312	1484	262	457	879	157	1093	734	82	302	354	109	184	179	180	52	44	17	62	142	29	41	24	11	15	13	20	13	63	17	12	26	13	9	46	9	22	2	20	4	4	6	16	2	9	8	0	1	5	2	3	1	3	9	1	5	6	8	2	6	4	1	0	1	7	0	12	2	1	2	1	1	2	0	4	0	0	6	0	2	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	13496	2593	3027	2052	941	829	1145	531	1266	929	277	423	447	232	266	235	229	116	116	99	112	188	69	73	64	54	40	52	35	33	72	40	35	42	32	22	49	26	30	14	23	18	15	13	17	9	22	12	4	10	9	6	6	7	7	12	3	5	6	7	5	8	4	3	0	1	7	6	12	3	2	2	1	1	3	1	5	0	0	6	1	2	0	1	0	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north8_active	80	11407	608	2351	1526	255	468	904	155	1130	808	81	329	329	116	175	156	158	43	40	18	67	164	26	37	23	17	15	19	18	19	55	14	15	34	14	7	40	15	17	1	18	2	4	7	14	2	10	10	0	1	3	2	2	1	4	11	1	4	6	7	1	6	2	1	0	0	7	0	12	3	1	1	0	1	2	0	4	0	0	6	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	13745	2572	2990	1992	919	839	1217	533	1309	987	296	432	406	230	241	240	235	114	118	110	118	153	78	79	65	54	49	53	31	44	76	36	34	52	37	20	49	29	30	18	19	21	12	13	18	12	26	11	8	9	8	5	4	6	5	11	2	7	6	8	7	13	2	2	1	5	5	4	1	3	2	3	1	3	1	1	13	1	0	2	1	2	0	0	0	3	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north9_active	80	11623	575	2309	1504	263	493	982	146	1168	864	80	333	290	115	157	177	161	45	34	19	70	122	32	41	20	18	15	24	13	25	61	13	8	41	15	8	43	16	20	2	13	2	2	8	15	4	11	10	1	1	4	1	1	1	4	8	1	5	4	8	2	10	1	0	0	3	4	0	1	2	1	2	0	2	0	0	12	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	13663	2573	2963	1998	944	824	1210	504	1248	981	304	455	425	238	251	224	235	108	128	111	115	173	84	85	51	57	58	51	32	50	71	34	47	55	39	26	61	25	27	20	31	23	12	16	15	10	20	11	9	7	8	7	3	7	6	10	1	4	5	4	6	8	5	4	1	5	3	3	6	5	3	2	1	3	1	1	13	1	0	0	1	2	0	0	0	3	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0
0.03	north10_active	80	11578	541	2290	1518	267	473	981	146	1107	854	73	339	294	121	173	160	166	42	39	19	62	140	41	45	12	18	15	24	15	26	52	11	15	42	23	13	55	12	19	2	24	3	2	11	11	3	10	9	2	0	2	2	1	3	4	8	0	3	2	3	1	6	1	1	0	3	2	1	1	3	2	1	0	2	0	0	12	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
