label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163
0.03	north1_all	80	4306	5900	1511	1067	791	759	632	682	366	768	399	533	444	200	494	202	306	105	123	174	138	85	137	78	70	67	77	43	93	110	34	67	59	25	50	28	52	25	28	25	23	30	25	33	27	31	18	30	15	11	12	22	6	12	17	21	16	10	16	12	8	2	6	4	3	5	8	11	9	1	9	4	3	5	3	2	2	2	1	1	6	0	1	4	1	8	3	3	1	0	1	0	2	2	3	0	2	3	0	6	0	0	2	1	1	1	0	0	0	2	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1911	3790	753	538	394	401	352	419	177	495	224	356	272	99	332	115	186	48	59	102	79	46	88	34	39	33	35	25	56	66	13	36	29	12	32	17	27	8	12	16	8	17	13	24	14	17	10	15	7	6	7	16	4	9	9	12	7	4	13	12	3	1	3	1	2	2	6	8	3	0	8	1	2	1	0	1	1	1	1	0	3	0	1	3	0	6	2	0	0	0	1	0	2	1	2	0	0	2	0	6	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4269	5687	1527	1059	813	771	656	688	340	784	365	543	462	171	531	201	296	110	126	178	129	94	147	75	68	75	60	46	94	105	32	55	55	27	40	21	79	26	35	29	22	24	27	33	26	33	19	31	9	11	14	27	7	10	16	16	13	10	10	8	8	2	12	4	5	6	6	7	10	1	8	4	4	6	3	1	1	2	1	1	1	1	1	3	1	1	2	2	1	0	2	0	2	1	1	1	0	2	0	6	0	1	1	0	1	1	0	1	0	3	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1893	3669	756	530	384	409	355	445	164	510	213	368	283	82	349	117	188	60	56	115	73	48	97	32	40	33	28	29	56	57	13	25	32	13	30	14	53	10	19	17	8	15	16	23	12	20	8	17	3	8	10	21	5	8	9	6	6	5	7	8	2	2	5	2	4	2	4	5	4	1	7	2	2	1	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	0	1	0	2	0	0	0	0	2	0	6	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4326	5383	1497	1059	799	742	650	650	362	713	345	521	413	166	487	178	288	114	131	178	142	97	167	71	67	64	77	53	100	97	30	55	51	31	41	18	76	26	33	29	20	26	23	34	23	31	17	37	8	10	14	41	12	10	11	18	15	13	8	14	5	1	14	8	6	7	15	9	7	2	4	2	4	7	2	2	1	2	3	0	0	1	1	2	0	1	1	1	1	1	1	1	3	2	1	2	0	2	0	4	0	1	0	1	1	2	0	1	0	1	2	0	0	0	0	1	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1934	3424	739	522	382	391	360	406	168	460	204	348	272	82	325	97	168	63	62	99	83	50	110	26	38	28	42	29	58	52	11	24	26	16	25	7	50	9	17	13	7	15	14	20	9	21	8	27	5	8	8	32	7	6	6	10	8	8	6	13	1	1	5	4	4	3	12	7	2	1	4	1	0	1	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	2	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4355	4921	1452	1018	771	719	628	631	336	686	366	485	395	168	457	168	258	114	125	160	146	101	174	65	66	63	70	53	102	75	35	51	43	33	39	15	59	29	28	34	13	24	15	30	16	21	19	42	12	13	18	38	13	9	9	18	12	12	15	16	5	3	11	6	11	8	12	7	8	3	6	2	3	7	4	1	1	2	4	0	0	3	3	2	0	2	2	1	1	1	1	1	1	1	1	2	0	1	0	3	0	2	0	1	1	1	0	1	0	2	0	0	0	0	1	0	1	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	1962	3102	724	496	369	388	337	399	166	441	212	299	262	86	287	88	155	54	65	93	86	45	123	20	39	34	44	29	61	41	13	24	20	17	22	5	41	9	17	13	6	13	6	15	8	13	10	27	5	8	9	29	10	6	3	10	5	8	13	15	2	2	3	3	9	2	10	6	4	1	6	2	0	1	1	0	1	1	3	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	4404	4733	1387	998	755	676	576	587	340	581	340	436	335	190	394	165	257	125	120	156	151	98	173	68	66	65	72	48	100	80	37	47	36	34	38	24	54	30	20	35	18	21	16	26	20	16	13	47	20	12	13	29	12	13	13	14	6	9	13	16	6	5	6	6	11	11	12	8	4	3	5	3	2	3	4	1	0	2	4	0	1	5	3	1	1	2	1	0	3	1	2	2	5	1	1	1	0	0	0	1	0	2	0	1	2	2	0	0	0	1	0	0	0	0	2	1	1	1	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
0.03	north5_active	80	1960	2992	694	478	373	364	316	354	159	348	189	270	224	105	241	89	141	50	59	89	94	43	121	24	31	41	42	23	59	44	13	20	16	16	20	8	37	13	11	15	8	11	7	13	8	8	6	33	12	6	5	19	8	8	6	6	4	5	11	11	5	2	1	2	7	3	9	7	3	0	5	3	0	0	2	0	0	1	2	0	0	1	1	1	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
