label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42
0.03	north1_all	80	7915	2439	938	605	778	329	246	317	125	112	160	76	75	94	41	49	23	36	8	15	7	1	5	4	2	1	2	2	0	0	0	4	1	0	0	0	1	0	0	0	1	0	0
0.03	north1_active	80	4715	1364	424	286	480	178	118	204	58	60	99	46	47	67	24	33	15	17	4	10	4	1	2	1	2	1	2	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	8191	2564	923	612	832	337	255	373	135	124	165	84	73	99	48	61	25	29	8	15	6	0	3	4	1	0	1	2	0	0	0	0	1	0	7	0	1	0	0	0	1	0	0
0.03	north2_active	80	4938	1433	424	300	530	184	134	241	63	73	105	53	50	81	27	44	19	14	4	10	4	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	8241	2524	941	631	835	349	270	355	127	132	167	96	81	98	50	58	24	35	9	15	4	3	5	4	4	1	2	1	0	1	0	0	1	0	7	0	0	0	0	0	1	0	0
0.03	north3_active	80	5024	1398	441	302	527	193	149	208	67	75	118	61	47	61	30	45	18	20	4	10	3	1	1	1	4	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	8310	2507	956	617	866	362	255	378	123	132	170	99	85	116	41	49	27	35	8	14	5	3	5	3	6	4	6	1	0	1	0	0	0	1	7	0	0	1	0	2	0	0	0
0.03	north4_active	80	4980	1418	438	303	547	197	155	216	71	82	120	64	58	76	22	34	18	19	6	11	3	1	1	0	6	3	6	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	north5_all	80	8367	2519	952	616	820	376	269	354	124	140	175	103	86	122	43	34	25	24	9	16	5	4	6	2	6	6	7	0	0	1	0	0	0	1	5	0	0	2	1	2	0	0	0
0.03	north5_active	80	5088	1407	457	290	528	203	159	195	80	86	120	65	53	76	22	18	15	12	4	13	2	1	3	0	6	4	6	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0
0.03	north6_all	80	8398	2549	937	586	756	365	272	388	126	122	180	85	85	116	40	51	28	18	10	20	5	3	6	2	5	6	6	1	1	1	1	0	0	1	0	1	0	2	1	2	0	0	0
0.03	north6_active	80	5073	1435	450	280	489	183	157	216	70	81	125	50	50	77	21	32	18	9	5	19	2	1	5	0	5	4	4	1	1	1	1	0	0	0	0	0	0	1	0	2	0	0	0
0.03	north7_all	80	8268	2581	892	578	792	355	261	348	125	137	199	80	81	111	46	46	24	24	11	18	8	2	4	1	6	2	6	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0
0.03	north7_active	80	5009	1427	423	254	511	197	140	200	66	90	134	50	47	68	26	33	15	12	5	16	5	1	4	0	6	1	4	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north8_all	80	8333	2602	894	589	833	354	252	338	139	151	208	82	89	133	50	41	16	32	13	11	8	3	4	1	8	1	2	3	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north8_active	80	5069	1455	411	258	524	192	132	197	68	97	149	49	45	68	28	29	9	18	5	9	5	2	3	0	7	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	8202	2635	917	633	868	368	232	320	130	151	210	93	91	148	45	23	20	37	13	12	7	4	2	0	8	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	4992	1464	409	284	541	199	125	211	59	98	150	60	49	80	28	14	6	22	5	10	4	2	1	0	7	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	8331	2654	878	661	810	348	228	322	128	164	178	87	97	129	43	40	15	37	17	15	5	6	2	3	6	2	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	5047	1508	376	297	473	176	125	217	56	108	125	52	53	79	25	24	1	24	7	12	2	4	0	0	5	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	7798	2489	890	648	800	377	239	331	126	129	151	52	76	87	38	22	15	23	7	5	4	3	5	3	4	10	1	3	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north11_active	80	4744	1411	409	305	508	196	123	223	59	71	103	29	48	64	31	12	9	16	3	4	4	1	3	1	3	7	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north12_all	80	7751	2492	889	638	811	355	250	312	113	150	179	54	71	87	34	21	14	26	5	17	3	3	5	3	6	9	0	3	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0
0.03	north12_active	80	4696	1382	432	298	515	190	146	207	60	94	128	29	40	68	24	12	9	20	2	12	3	1	2	2	4	7	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north13_all	80	7798	2542	909	648	771	355	258	298	113	133	161	54	62	79	41	22	19	27	6	19	2	5	6	2	5	9	1	2	1	0	1	3	0	1	0	0	1	1	0	0	0	0	0
0.03	north13_active	80	4717	1376	418	317	495	196	140	197	60	82	114	30	36	63	30	14	13	17	4	15	1	1	3	2	4	7	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north14_all	80	8007	2532	935	640	815	327	265	307	104	126	196	62	61	105	37	24	18	27	8	19	1	4	5	4	3	8	2	0	0	0	1	2	1	1	0	0	1	1	0	0	0	0	0
0.03	north14_active	80	4884	1374	431	315	525	186	143	180	56	70	143	37	35	72	26	17	11	17	4	12	0	1	2	2	2	7	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0
0.03	north15_all	80	8074	2592	931	626	797	336	260	319	99	124	212	65	59	94	41	26	17	27	9	10	4	5	4	5	5	0	4	3	1	1	1	6	1	1	0	0	0	1	0	0	0	0	0
0.03	north15_active	80	4999	1448	426	316	517	186	131	183	51	66	153	42	34	55	31	19	10	13	4	7	2	1	2	2	4	0	1	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	7981	2585	949	621	830	346	277	324	110	131	202	62	62	95	51	27	21	27	8	9	5	4	3	4	3	0	3	3	1	1	1	6	1	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	4953	1456	429	298	539	194	147	193	56	73	138	42	41	52	32	18	14	17	2	5	2	2	2	1	3	0	0	1	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	7923	2464	956	606	839	351	259	355	117	144	181	61	61	85	50	29	22	26	6	15	6	3	1	2	4	0	3	4	1	1	0	6	0	0	0	1	0	0	0	0	0	1	0
0.03	north17_active	80	4925	1366	447	284	521	186	135	221	54	90	125	37	38	50	32	20	12	15	2	8	2	2	0	0	4	0	0	2	0	0	0	5	0	0	0	1	0	0	0	0	0	1	0
0.03	north18_all	80	7671	2363	971	565	783	330	254	341	120	127	147	60	61	89	49	32	30	24	4	12	9	1	1	2	2	1	0	1	0	0	0	5	0	0	1	1	0	0	0	0	0	1	0
0.03	north18_active	80	4688	1272	455	253	477	172	129	217	52	78	97	37	37	55	28	23	17	14	1	8	4	1	0	0	2	1	0	1	0	0	0	5	0	0	1	1	0	0	0	0	0	1	0
0.03	north19_all	80	7483	2242	951	574	771	326	242	346	118	115	147	70	79	105	40	35	26	25	5	13	7	1	4	3	1	3	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0
0.03	north19_active	80	4492	1168	458	257	469	171	123	200	54	64	109	37	46	78	21	22	12	11	2	8	3	0	3	1	1	2	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
0.03	north20_all	80	7505	2198	946	610	725	322	242	325	123	113	126	76	82	101	42	37	18	24	5	18	8	2	6	6	1	3	0	5	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0
0.03	north20_active	80	4469	1168	464	286	451	174	123	195	54	55	89	44	43	81	22	27	8	13	2	14	5	0	3	2	0	2	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
0.03	south21_all	80	8179	2577	1003	605	815	324	242	382	118	142	165	60	61	83	43	30	24	23	5	22	8	4	10	1	2	1	1	3	1	0	0	0	0	3	1	1	0	0	0	0	0	0	0
0.03	south21_active	80	4914	1452	439	293	506	161	118	248	54	81	101	48	34	62	25	17	20	15	2	18	5	1	8	0	1	1	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	8196	2580	985	592	795	351	228	373	123	146	151	62	54	85	38	26	22	21	6	22	4	7	9	1	1	3	1	1	1	2	0	0	0	1	1	0	0	1	0	0	0	0	0
0.03	south22_active	80	4988	1468	444	276	498	182	119	239	55	81	95	43	36	57	24	13	16	11	3	19	1	4	8	0	0	3	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	south23_all	80	8401	2482	985	582	869	364	227	342	108	145	171	71	63	87	35	32	19	23	6	18	7	3	6	1	1	3	1	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south23_active	80	5178	1391	445	266	522	192	125	209	43	82	115	47	36	49	25	19	13	12	3	12	4	3	6	0	0	3	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south24_all	80	8484	2431	948	577	865	394	247	378	128	155	175	77	70	79	30	39	23	21	5	15	6	5	1	0	0	2	1	2	2	2	0	0	0	0	5	0	0	1	1	0	0	0	0
0.03	south24_active	80	5221	1350	426	268	515	208	144	249	48	95	123	47	31	44	21	24	14	11	4	7	4	3	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
