label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32
0.03	north1_all	80	513	269	199	85	108	39	51	21	23	5	6	2	7	0	7	3	3	13	2	2	0	1	0	0	1	1	2	0	0	0	0	0	0
0.03	north1_active	80	226	141	122	45	61	16	36	6	10	1	3	1	5	0	4	2	0	5	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0
0.03	north2_all	80	550	267	229	92	94	38	33	21	24	10	6	2	8	2	5	5	2	9	2	4	0	3	0	0	1	0	2	0	0	0	0	0	0
0.03	north2_active	80	231	133	142	50	60	18	17	7	9	6	3	1	5	0	1	2	0	3	0	4	0	3	0	0	1	0	1	0	0	0	0	0	0
0.03	north3_all	80	530	258	236	102	96	30	33	22	25	13	12	0	8	2	4	3	1	3	1	8	0	2	0	0	0	0	2	0	0	0	0	0	0
0.03	north3_active	80	212	123	152	57	55	15	17	8	9	10	3	0	4	0	1	1	0	3	0	7	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	561	252	251	102	78	28	31	23	21	14	29	1	8	6	2	3	1	4	1	10	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	236	126	153	58	43	14	15	9	7	11	19	1	4	3	1	1	0	2	0	8	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	560	245	229	93	87	36	40	23	18	14	29	3	5	4	3	0	1	2	0	11	1	2	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	249	121	130	56	47	13	26	7	6	12	20	2	3	3	3	0	0	0	0	5	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	520	290	241	92	88	37	38	27	17	10	36	4	0	5	3	1	1	4	1	9	2	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north6_active	80	243	146	134	57	53	13	25	13	6	7	28	2	0	3	3	0	0	1	1	4	2	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north7_all	80	548	293	233	91	101	40	43	25	15	16	42	4	1	4	4	3	0	3	1	6	3	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north7_active	80	267	140	138	57	61	16	25	13	5	10	29	2	1	0	4	1	0	2	1	2	3	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north8_all	80	514	302	247	102	110	44	38	23	12	16	38	2	2	5	5	3	0	3	4	3	2	2	0	0	0	0	2	0	0	0	0	0	0
0.03	north8_active	80	244	142	150	57	76	18	19	16	4	10	26	0	1	0	3	1	0	2	4	2	2	2	0	0	0	0	2	0	0	0	0	0	0
0.03	north9_all	80	542	286	253	110	116	48	60	18	7	14	33	2	4	5	5	5	1	3	3	1	2	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_active	80	255	131	153	60	83	18	38	9	2	9	23	1	1	0	3	3	1	3	3	1	2	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north10_all	80	543	262	258	116	94	50	66	27	7	9	30	2	7	4	4	4	1	6	4	4	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north10_active	80	251	125	164	64	72	21	38	17	3	4	21	1	4	0	2	2	1	6	4	3	0	2	0	0	0	0	1	0	0	0	0	0	0
0.03	north11_all	80	558	268	195	113	93	42	60	15	16	15	13	4	6	6	2	3	3	6	2	2	0	0	0	0	0	0	2	1	0	0	0	0	1
0.03	north11_active	80	258	145	98	55	55	27	35	6	5	8	10	1	5	3	2	2	3	1	1	1	0	0	0	0	0	0	2	1	0	0	0	0	1
0.03	north12_all	80	541	280	202	108	91	46	47	24	13	16	15	7	2	4	1	1	2	6	2	2	0	0	0	0	0	0	2	1	1	0	0	0	1
0.03	north12_active	80	237	148	104	55	51	28	29	13	4	6	7	2	1	3	1	0	2	1	1	1	0	0	0	0	0	0	2	1	1	0	0	0	1
0.03	north13_all	80	549	266	219	99	95	36	36	28	12	21	12	10	3	3	1	3	1	5	2	1	1	0	0	0	0	0	2	1	1	0	0	0	1
0.03	north13_active	80	243	136	114	51	51	19	28	17	3	7	3	2	1	2	1	0	1	1	1	0	0	0	0	0	0	0	2	1	1	0	0	0	1
0.03	north14_all	80	527	233	203	97	84	37	34	28	10	20	16	8	3	1	0	2	1	2	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0
0.03	north14_active	80	246	116	106	41	48	19	24	19	2	6	7	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
0.03	north15_all	80	541	227	227	106	101	30	36	26	11	17	16	9	4	4	0	3	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	275	101	128	49	63	15	20	15	3	7	6	2	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	555	247	220	104	108	29	39	23	13	11	19	6	5	4	1	3	0	5	1	2	1	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	278	114	122	52	64	13	21	14	6	6	9	2	1	3	1	0	0	3	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	537	265	235	111	106	38	46	22	14	11	19	6	5	7	1	2	1	5	1	2	1	0	2	2	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	255	124	135	62	66	18	28	13	8	6	10	2	1	3	1	1	0	5	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	539	267	244	102	120	46	56	22	14	10	17	5	3	5	2	2	2	5	1	2	0	0	1	2	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	241	127	145	59	75	25	37	14	8	6	8	1	1	1	1	2	0	5	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	526	247	259	131	118	46	57	32	17	16	14	3	7	3	2	3	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	223	128	156	75	69	26	37	21	9	8	9	1	3	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	508	254	223	132	115	42	63	27	21	11	15	5	7	2	5	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	205	132	143	68	63	25	35	19	12	5	12	2	4	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	802	791	120	93	84	86	38	32	28	10	6	8	6	5	4	11	7	1	3	1	0	5	5	1	0	0	0	0	1	1	0	0	0
0.03	south21_active	80	422	524	59	55	52	51	19	17	21	4	4	1	2	3	2	9	7	0	1	0	0	4	4	0	0	0	0	0	1	1	0	0	0
0.03	south22_all	80	819	789	131	88	82	74	34	33	32	9	15	10	5	4	5	11	6	1	6	1	1	7	6	1	0	1	0	0	1	1	0	0	0
0.03	south22_active	80	423	504	60	46	53	41	20	19	18	5	8	2	2	3	2	8	6	0	3	0	0	7	5	0	0	0	0	0	1	1	0	0	0
0.03	south23_all	80	831	774	132	83	87	75	39	31	44	9	15	7	4	5	6	10	6	2	5	1	1	6	2	0	2	1	0	0	0	1	0	0	0
0.03	south23_active	80	425	508	56	42	55	43	24	15	27	4	9	1	1	3	3	6	6	0	2	0	0	6	1	0	2	0	0	0	0	1	0	0	0
0.03	south24_all	80	812	788	142	83	90	76	34	26	54	9	16	8	4	9	7	7	9	2	5	1	1	4	1	0	2	1	0	0	0	0	0	1	0
0.03	south24_active	80	431	498	59	40	52	41	19	13	30	4	8	2	3	7	5	5	9	0	3	0	0	4	1	0	2	0	0	0	0	0	0	1	0
0.03	south25_all	80	801	799	141	88	85	76	44	26	59	9	17	8	6	10	6	7	5	2	5	2	0	4	1	0	2	0	0	0	0	0	0	1	0
0.03	south25_active	80	428	497	62	42	48	46	26	12	35	4	9	3	4	8	5	6	5	0	3	1	0	0	1	0	2	0	0	0	0	0	0	1	0
0.03	south26_all	80	837	829	138	85	86	84	40	26	53	3	9	7	5	8	7	8	3	1	4	6	0	4	1	0	0	0	0	0	0	0	0	1	0
0.03	south26_active	80	440	517	66	39	50	58	21	11	39	1	5	4	3	7	4	7	3	0	3	1	0	0	1	0	0	0	0	0	0	0	0	1	0
0.03	south27_all	80	852	806	146	89	70	79	42	23	47	6	10	9	7	5	4	5	2	1	6	13	0	5	1	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	473	515	68	44	46	56	18	9	33	2	7	5	4	4	0	4	0	0	2	9	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	777	755	137	92	75	77	41	19	37	6	12	8	3	3	3	5	3	1	5	12	0	4	1	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	430	483	65	46	46	60	18	9	25	1	8	4	1	1	0	4	1	1	2	8	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	728	656	127	95	72	68	29	18	41	9	14	7	6	4	2	2	3	2	3	12	1	2	1	0	0	0	0	0	0	0	0	0	0
0.03	south29_active	80	407	402	62	49	46	48	10	10	23	3	8	3	3	2	0	1	1	1	0	8	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	679	578	119	94	68	60	25	21	36	9	13	8	4	4	2	1	1	5	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_active	80	364	343	53	47	43	38	8	10	15	5	6	3	2	2	1	1	1	2	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	799	768	143	77	77	102	40	19	47	10	17	6	3	5	7	14	10	2	4	3	1	1	1	1	0	1	0	0	0	0	0	0	0
0.03	south31_active	80	436	495	62	30	46	63	20	10	31	4	9	3	2	3	5	11	8	0	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	south32_all	80	775	719	139	90	79	102	33	16	42	8	13	6	4	4	8	7	10	1	6	4	1	1	0	1	0	1	0	0	0	0	0	0	0
0.03	south32_active	80	428	472	58	45	48	65	15	9	25	4	7	3	4	1	7	5	8	0	3	3	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	south33_all	80	751	604	141	83	79	90	37	21	37	9	12	6	7	5	4	6	9	0	5	3	1	0	0	1	0	1	0	0	0	0	0	0	0
0.03	south33_active	80	413	400	60	41	45	59	20	11	23	4	7	3	5	1	3	4	8	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south34_all	80	668	572	127	94	86	62	34	21	28	11	11	4	7	3	5	8	3	1	4	2	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south34_active	80	361	378	46	46	45	40	16	11	18	5	5	2	4	0	2	5	2	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south35_all	80	695	592	125	92	76	61	37	22	28	9	12	5	7	4	7	8	8	1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	380	393	54	47	41	40	17	11	19	5	8	3	2	2	4	6	7	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	716	693	106	90	73	67	30	21	38	10	12	10	6	4	7	9	7	1	4	2	1	1	3	1	0	0	0	0	0	0	0	0	0
0.03	south36_active	80	398	457	49	42	43	45	13	9	22	5	7	6	1	3	4	7	6	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	781	798	118	82	72	69	35	18	39	11	11	10	5	6	7	4	7	1	6	1	2	1	3	1	0	0	0	0	0	0	0	0	0
0.03	south37_active	80	443	531	59	42	45	48	18	8	23	5	9	6	1	4	4	4	7	0	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	806	772	114	85	76	74	37	21	29	14	10	10	4	6	4	4	2	2	7	1	1	5	3	1	0	0	0	0	0	0	1	0	0
0.03	south38_active	80	446	506	52	39	44	47	21	8	13	7	6	5	3	3	3	4	1	1	5	1	1	4	1	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	760	686	127	83	74	68	37	20	23	13	13	11	5	5	4	2	4	2	9	0	1	5	2	1	0	0	0	0	0	0	1	0	0
0.03	south39_active	80	401	447	59	41	36	39	20	8	14	6	8	5	3	2	2	1	2	1	5	0	1	4	0	1	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	727	595	130	81	63	72	38	25	24	16	14	9	7	3	5	3	5	3	6	0	0	4	0	1	0	0	0	0	0	0	1	0	0
0.03	south40_active	80	378	374	57	42	29	39	21	7	14	6	9	4	3	2	2	2	2	2	3	0	0	3	0	1	0	0	0	0	0	0	0	0	0
