label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48
0.03	north1_all	80	2844	1093	1555	1125	330	262	172	174	87	83	60	43	76	60	42	52	48	13	12	6	7	4	4	5	2	4	3	1	1	6	1	1	4	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0
0.03	north1_active	80	1457	533	987	753	157	139	70	116	40	42	32	23	48	36	27	39	37	6	6	2	4	2	2	1	1	4	0	0	0	4	1	0	4	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	2874	1129	1658	1160	334	266	164	177	74	89	66	44	78	66	36	50	50	14	13	7	9	5	5	7	3	4	7	1	2	4	1	1	0	0	3	0	0	0	0	1	0	0	1	1	0	0	0	0	0
0.03	north2_active	80	1494	539	1083	775	159	136	72	107	38	47	34	23	55	37	23	30	38	6	10	3	7	3	3	2	0	3	3	0	1	2	1	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	2910	1135	1674	1154	331	259	171	190	88	97	54	37	87	66	44	64	39	11	16	5	9	6	8	7	4	4	10	1	2	4	1	1	0	0	3	0	0	4	0	0	0	0	1	1	0	0	0	0	0
0.03	north3_active	80	1528	520	1098	797	156	137	74	112	46	51	24	18	56	39	31	36	24	5	12	3	7	3	5	3	1	3	5	1	2	2	1	0	0	0	3	0	0	4	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	2922	1136	1900	1286	346	287	178	211	88	92	66	37	90	68	44	66	25	5	16	5	5	8	7	5	5	2	8	3	2	1	0	1	2	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1561	531	1274	869	161	164	80	113	50	54	39	16	55	43	29	33	13	4	10	2	5	4	5	2	3	1	6	3	2	0	0	0	1	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2961	1171	1913	1271	337	265	176	208	99	87	66	35	83	53	44	62	31	7	14	7	5	6	6	3	6	2	4	3	2	1	2	0	4	0	1	0	1	4	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1568	560	1269	843	156	148	81	116	54	48	39	16	52	37	27	33	25	4	8	2	5	3	4	2	5	1	3	3	2	0	1	0	1	0	1	0	1	4	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	2934	1169	1915	1394	317	270	175	203	86	78	75	36	47	53	43	52	36	6	14	6	5	5	2	2	6	6	3	4	1	1	2	0	4	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0
0.03	north6_active	80	1537	551	1288	924	146	156	90	119	45	47	44	18	29	33	21	38	29	4	6	2	5	3	0	1	5	4	2	4	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0
0.03	north7_all	80	2965	1195	1833	1323	296	245	149	202	90	77	76	40	52	48	43	52	49	9	14	7	6	5	1	2	5	6	3	6	1	3	3	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
0.03	north7_active	80	1542	568	1211	844	140	136	82	130	42	43	43	21	32	28	19	41	41	5	6	2	5	2	0	1	4	4	1	5	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
0.03	north8_all	80	2962	1173	1788	1215	292	269	160	190	85	92	75	46	73	52	46	50	59	10	12	5	5	5	3	4	2	8	2	10	2	4	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north8_active	80	1551	538	1186	770	143	146	88	122	43	53	40	18	41	26	22	41	42	7	4	1	4	1	2	2	2	6	0	9	0	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north9_all	80	3045	1165	1658	1154	268	300	174	185	95	79	72	46	96	54	38	54	56	9	12	7	4	9	3	7	3	5	3	8	2	4	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
0.03	north9_active	80	1592	550	1095	694	143	167	88	117	47	47	36	20	59	33	22	42	39	4	4	4	2	2	3	5	3	4	2	7	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
0.03	north10_all	80	3059	1161	1654	1100	265	300	173	186	98	79	59	43	101	55	42	57	48	9	14	7	4	11	5	9	2	3	3	7	2	5	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	1569	535	1074	677	135	167	86	115	51	44	31	23	57	34	28	42	30	4	6	5	3	3	3	7	1	3	3	7	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	3026	1090	1831	1265	315	261	171	203	106	80	68	49	63	56	38	48	46	10	10	12	12	8	1	5	6	7	5	2	0	2	0	3	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north11_active	80	1577	532	1175	840	152	139	85	118	56	35	39	23	36	31	20	35	36	5	3	4	6	4	0	4	5	5	5	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north12_all	80	3001	1124	1914	1248	295	272	177	182	94	80	64	46	75	57	27	42	55	13	11	8	9	13	2	4	5	4	3	3	0	2	0	2	2	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north12_active	80	1517	525	1223	835	140	142	91	118	47	37	42	24	44	32	12	29	44	6	2	2	6	7	0	3	3	4	3	3	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north13_all	80	2995	1118	1980	1276	295	282	169	192	95	78	65	42	84	64	36	48	45	16	18	7	9	12	2	3	2	9	2	2	0	5	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north13_active	80	1489	508	1269	867	137	159	94	116	50	39	38	26	56	36	20	34	33	8	6	2	5	7	0	2	0	5	2	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north14_all	80	2989	1166	1948	1263	289	292	169	210	88	76	67	40	83	62	37	47	51	14	20	2	8	13	3	1	4	10	3	2	0	5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	1496	529	1237	872	137	162	95	124	42	42	44	23	55	42	20	36	39	9	5	1	4	10	0	1	1	5	2	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	3081	1161	1950	1218	286	292	165	199	89	70	62	43	91	66	49	53	50	11	23	2	12	7	3	3	6	13	1	3	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	1587	541	1271	849	138	160	91	112	43	35	36	22	59	45	30	39	31	9	9	0	5	7	0	2	4	7	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	3105	1188	1958	1280	278	282	155	189	86	74	64	41	79	61	39	48	44	11	27	3	13	8	6	4	12	9	5	2	0	3	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	1621	564	1247	875	130	155	90	117	42	38	40	15	50	42	22	34	28	5	15	0	7	8	0	2	9	4	4	1	0	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	3034	1205	1974	1272	294	269	168	174	87	80	61	40	77	58	42	55	52	7	21	5	12	8	6	4	10	5	9	2	1	4	0	1	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	1532	576	1272	827	137	141	91	106	42	44	37	18	48	36	25	35	35	3	14	0	6	8	0	1	9	4	6	1	1	2	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	2999	1193	1959	1279	292	268	169	173	89	83	67	35	75	57	43	56	43	8	23	7	7	8	4	7	11	7	12	1	2	3	1	1	3	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	1497	565	1228	819	140	143	82	104	48	46	40	15	51	33	26	40	29	4	16	2	3	5	0	4	10	6	9	0	2	1	0	1	3	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	2923	1168	1925	1202	301	269	173	182	102	78	76	35	87	54	47	62	50	8	20	8	7	6	4	4	4	8	12	2	2	3	1	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	1468	537	1204	764	142	141	76	98	53	36	40	16	59	30	30	46	33	4	14	4	3	2	0	3	4	7	5	0	2	1	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	2979	1123	1907	1162	283	277	168	196	102	90	91	37	102	52	44	54	47	6	17	9	5	7	2	8	4	6	9	3	2	5	1	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	1503	527	1225	745	149	144	81	111	53	39	41	12	69	31	28	35	25	3	13	6	1	3	0	6	4	5	4	1	2	3	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	3002	1147	1803	1223	288	242	186	218	98	77	73	52	101	50	45	49	43	11	11	6	4	8	3	2	6	5	4	5	2	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	1522	572	1165	779	129	141	89	110	50	44	35	22	64	31	32	25	23	5	6	2	2	2	2	2	2	1	4	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	3018	1157	1833	1262	295	270	199	211	108	87	86	42	83	45	44	58	39	11	14	8	7	7	5	2	8	3	6	6	2	4	6	1	3	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	south22_active	80	1544	571	1165	802	135	145	97	115	57	45	42	19	52	30	30	33	23	6	8	2	3	2	3	2	2	2	6	6	0	2	5	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	south23_all	80	3014	1151	1872	1275	281	318	192	199	116	101	84	39	68	49	48	42	39	9	18	7	8	4	3	2	7	2	7	5	1	5	6	1	3	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0
0.03	south23_active	80	1548	576	1206	843	125	162	97	115	60	56	43	14	41	28	26	28	23	5	13	4	3	2	2	0	2	1	4	5	0	2	5	1	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
0.03	south24_all	80	3005	1157	1849	1311	285	299	186	192	113	83	79	38	65	43	64	43	35	12	16	8	8	4	4	4	7	2	5	5	0	6	7	1	3	0	1	2	0	1	1	1	1	0	1	0	0	0	0	0	0
