,S,S_se
EC_1A_D,3882.91,2.44135642873408
EC_1A_R,4454.42,3.37974298227878
EC_1B_D,4179.33,2.85971867656434
EC_1B_R,4459.2,2.76094699022424
EC_1C_D,4198.57,2.41850003602283
EC_1C_R,4506.41,2.0935733794041
EC_1D_D,3755.29,2.3613596066502
EC_1D_R,4007.7,2.07551867680775
EC_1E_D,3271.2,2.38475799759026
EC_1F_D,4151.99,2.72001541142396
EC_1F_R,4348.1,2.92172289008808
EC_1G_D,3966.25,2.51959492495492
EC_1G_R,3938.07,2.77867983333122
EC_1H_D,4037.03,2.59846322104261
EC_1H_R,4216.09,2.73481463926006
EC_1I_D,3874.44,2.37339291719554
EC_1I_R,4546.82,2.83899185406981
EC_1J_D,4268.91,2.49201127646329
EC_1J_R,4334.55,2.66656723299466
EC_2B_D,3750.01,1.81121617715944
EC_2C_D,4042.47,2.91147000255156
EC_2D_D,4793.67,2.84512892253736
EC_2E_D,4128.89,3.10229289592734
EC_2E_R,3839.68,2.51680734104126
EC_2F_D,3784.25,2.46668202288422
EC_2F_R,3683.15,2.16157326729838
EC_2G_D,3707.81,2.40826418061565
EC_2H_D,3928.21,2.66686722730638
EC_2H_R,3456.71,1.9707095066488
EC_2I_R,3538.44,2.01606276958558
EC_2J_D,4130.66,2.67495756598081
EC_5A_D,4654.04,3.04750005178943
EC_5A_R,4841.98,2.3469722597165
EC_5B_D,4504.2,2.55864547498606
EC_5B_R,3991.78,2.29991567697864
EC_5C_D,3791.34,2.43452523735391
EC_5C_R,3952.71,2.24914327123584
EC_5D_D,4500.9,2.81405204089919
EC_5D_R,4675.97,2.30425408075734
EC_5E_D,4421.61,2.86701530649503
EC_5E_R,4931.05,2.63903774168165
EC_5F_D,4375.62,3.11946576622771
EC_5F_R,5132.93,2.68238756153972
EC_5G_D,4810.13,3.54314404123932
EC_5G_R,5245.59,3.03495111704098
EC_5H_D,4311.75,2.77184163699986
EC_5H_R,4941.96,1.24599722748852
EC_5I_D,4636.6,2.79750971509673
EC_5I_R,5121.05,3.14017225931665
EC_5J_D,3825.31,2.78896436374189
EC_5J_R,5080.45,3.47197655696596
EC_6A_D,4769.95,2.5460754112948
EC_6A_R,4565.1,2.77268421890733
EC_6B_D,4780.74,2.95472981553784
EC_6B_R,4251.72,2.6493025573543
EC_6C_D,4350.32,2.81722264550451
EC_6C_R,4261.47,2.59020903177385
EC_6D_D,4903.72,2.59786547967847
EC_6D_R,4420.2,2.8634231121495
EC_6E_D,4687.02,2.27840011207581
EC_6E_R,4313.32,2.86257212868413
EC_6F_D,4047.33,2.95659013942164
EC_6F_R,3794.38,2.34752308752537
EC_6G_D,4733.41,2.46417134226506
EC_6G_R,4446.03,2.52516446109071
EC_6H_D,4654.15,2.6521336940873
EC_6H_R,4041.84,2.41697364821415
EC_6I_R,4540.98,2.28176699206133
EC_6J_D,5044.51,3.1836861616305
EC_6J_R,4334.89,2.69405987050373
