,E,E_se
EC_1A_D,0.0478528263379265,4.70968856630127e-05
EC_1A_R,0.0398672320049335,4.55638398533535e-05
EC_1B_D,0.0544701148095804,6.27268587168827e-05
EC_1B_R,0.050106125899974,5.34578565643644e-05
EC_1C_D,0.0511071976066282,3.88705505597394e-05
EC_1C_R,0.0361233244287857,2.52063796860206e-05
EC_1D_D,0.0286468984082562,3.33303579852679e-05
EC_1D_R,0.0317665101999485,2.56662497906389e-05
EC_1E_D,0.0513689214810646,5.67235635994741e-05
EC_1F_D,0.042323017485378,4.8537584564318e-05
EC_1F_R,0.0375651894756441,4.5933647285355e-05
EC_1G_D,0.043452063639002,4.99756336849832e-05
EC_1G_R,0.0327385418430855,3.3712594223277e-05
EC_1H_D,0.0380094493011945,4.54614251092207e-05
EC_1H_R,0.0350461380067278,3.61282275977524e-05
EC_1I_D,0.0401363334267692,4.54186981424128e-05
EC_1I_R,0.0432678361762147,5.67112377405242e-05
EC_1J_D,0.0467576590262441,4.3487013597053e-05
EC_1J_R,0.0371891858500766,3.77079102627013e-05
EC_2B_D,0.0505558874445573,3.39677493695829e-05
EC_2C_D,0.0533497783084111,5.37582121842272e-05
EC_2D_D,0.0462470808193481,4.04123038636046e-05
EC_2E_D,0.0432962985329215,4.21778981792819e-05
EC_2E_R,0.0356205757752386,3.86763926631564e-05
EC_2F_D,0.0331188369805543,4.20787012943393e-05
EC_2F_R,0.028420586134783,2.77457608181915e-05
EC_2G_D,0.0327132026270247,3.21510678034781e-05
EC_2H_D,0.0463393916588757,4.24542197908118e-05
EC_2H_R,0.0312038412465582,2.7052038439009e-05
EC_2I_R,0.0361126963103915,3.36309678556014e-05
EC_2J_D,0.0421333255767457,3.98122621625967e-05
EC_5A_D,0.0541870432299423,6.61600225097301e-05
EC_5A_R,0.0485104241169641,5.07523564345343e-05
EC_5B_D,0.0569880461376803,6.112228483139e-05
EC_5B_R,0.0628813663102386,6.56141181758088e-05
EC_5C_D,0.0464196317110164,5.02059469966765e-05
EC_5C_R,0.0379023854109814,4.15033545925327e-05
EC_5D_D,0.0615380763869675,6.69230134966633e-05
EC_5D_R,0.0552817045387313,6.30796472129479e-05
EC_5E_D,0.0418228468488957,4.77165647382472e-05
EC_5E_R,0.0458916186863615,4.827274934902e-05
EC_5F_D,0.0436693209121944,6.13168632919113e-05
EC_5F_R,0.044835906233306,4.86302643204018e-05
EC_5G_D,0.0557126956964781,7.02795546865176e-05
EC_5G_R,0.0466921911828999,5.11563886475828e-05
EC_5H_D,0.0578367756041278,6.00976666563764e-05
EC_5H_R,0.0482899883529434,2.16139040523346e-05
EC_5I_D,0.0542476171790657,6.23548858636569e-05
EC_5I_R,0.0511571046731247,5.34461052930259e-05
EC_5J_D,0.0646606995401676,5.53470369664632e-05
EC_5J_R,0.0479861706971972,5.74508766005325e-05
EC_6A_D,0.0776452656788243,8.84459417101743e-05
EC_6A_R,0.0430335809990273,6.15714956229723e-05
EC_6B_D,0.0608310935468318,6.91673605715304e-05
EC_6B_R,0.0571257115041331,8.63490132399603e-05
EC_6C_D,0.0639132984763595,6.88707116185534e-05
EC_6C_R,0.0452909329871996,4.70548820103087e-05
EC_6D_D,0.0625923931804764,7.5132022630263e-05
EC_6D_R,0.0422194883554848,4.95286217322356e-05
EC_6E_D,0.0577261759087229,4.36224962132703e-05
EC_6E_R,0.0364772200852387,3.59279377714926e-05
EC_6F_D,0.052070974182969,5.70393285648961e-05
EC_6F_R,0.0311569064128944,3.58708849473971e-05
EC_6G_D,0.0649830259707666,6.23898405073342e-05
EC_6G_R,0.0450469098455443,4.19218301879856e-05
EC_6H_D,0.067592808191251,6.24484641193125e-05
EC_6H_R,0.0447019566867895,5.42130122762485e-05
EC_6I_R,0.0361892888098041,3.79952830923343e-05
EC_6J_D,0.0639773686243031,6.29382972042462e-05
EC_6J_R,0.0499487229545965,4.7722015414022e-05
