label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72
0.03	north1_all	80	5131	5472	1204	4291	1068	881	380	296	261	291	164	355	101	81	82	70	302	38	54	23	23	44	19	16	19	13	11	30	11	12	3	6	6	4	2	8	3	1	0	1	2	6	2	6	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
0.03	north1_active	80	2723	4752	266	4018	812	702	193	132	134	208	86	313	33	21	31	34	283	29	39	6	3	32	9	7	11	5	3	28	1	2	1	3	2	0	1	7	1	0	0	1	0	6	1	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_all	80	5205	5504	1210	4260	1081	914	383	306	270	268	183	347	103	80	83	75	267	53	60	25	26	45	16	18	18	10	15	36	12	10	5	4	5	4	3	8	2	3	1	1	2	6	4	6	2	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0
0.03	north2_active	80	2787	4783	270	3988	834	726	200	142	148	182	85	302	36	25	32	36	250	38	44	7	5	30	10	9	12	3	4	30	2	1	2	1	3	0	1	7	2	1	0	1	0	6	1	6	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0
0.03	north3_all	80	5176	5562	1298	3898	1132	891	386	313	259	266	184	317	97	80	77	76	227	57	66	30	25	45	14	20	23	14	15	29	12	6	6	4	3	3	3	29	2	4	1	1	1	4	3	8	2	2	0	0	0	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1
0.03	north3_active	80	2777	4841	275	3648	885	704	198	137	147	187	82	272	31	27	26	37	208	39	44	6	6	26	8	8	15	9	3	23	2	0	2	2	2	0	2	28	2	2	0	0	0	4	1	8	0	1	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north4_all	80	5375	5597	1265	4018	1197	916	357	303	266	260	192	324	101	75	80	73	212	64	73	33	29	52	21	13	17	15	8	59	12	6	10	4	3	2	2	29	1	4	1	2	0	1	5	2	2	1	0	1	0	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
0.03	north4_active	80	2877	4855	258	3782	941	733	183	126	160	190	90	277	32	21	27	31	193	40	50	10	6	35	9	5	9	10	2	51	2	0	1	2	1	0	1	29	1	2	0	0	0	0	3	2	0	0	0	0	0	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north5_all	80	5328	5643	1192	4095	1187	931	370	316	259	275	178	300	103	75	79	63	181	66	65	33	22	55	23	16	24	18	9	75	9	8	10	2	4	3	4	27	1	3	0	2	0	1	3	2	0	1	2	1	0	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_active	80	2809	4878	240	3856	924	767	206	127	149	211	90	255	33	15	24	27	167	43	43	10	4	36	5	5	13	11	5	70	1	3	0	1	1	0	3	26	1	1	0	0	0	0	2	2	0	0	2	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
