label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44
0.03	north1_all	80	11919	7688	2098	1354	1338	732	425	298	273	215	153	180	75	69	50	31	51	27	23	15	10	10	2	3	3	0	3	1	2	5	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0
0.03	north1_active	80	6507	4919	1010	647	765	417	212	155	153	105	83	99	42	39	26	14	27	12	14	7	6	5	2	1	2	0	2	0	1	3	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north2_all	80	13109	9042	2073	1270	1440	806	434	315	291	223	172	215	89	84	57	31	55	25	24	17	9	9	1	7	4	3	5	2	2	6	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north2_active	80	7490	5861	992	571	831	483	217	165	159	117	99	132	46	49	35	15	36	11	12	9	4	4	1	4	2	1	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	13305	9221	2133	1246	1552	798	406	283	273	222	183	199	90	86	51	38	55	23	17	17	12	9	3	7	4	4	3	1	2	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north3_active	80	7604	5975	1032	559	939	474	213	142	147	120	103	130	53	54	35	23	35	12	10	11	5	6	2	5	1	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	13193	9299	2088	1259	1520	856	402	275	270	209	191	219	100	88	62	48	47	20	27	15	10	11	3	9	3	10	3	1	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	7533	6018	1018	578	916	508	216	137	147	121	123	152	59	62	48	33	32	11	20	9	3	7	1	6	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	13077	9123	2086	1290	1571	827	394	275	246	218	185	241	94	96	65	40	52	14	31	16	8	13	5	7	1	13	1	2	5	0	3	3	0	1	1	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	7451	5910	1013	574	970	488	201	134	141	132	123	154	63	55	49	26	37	9	22	11	4	9	2	4	0	12	1	2	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	12659	8680	2011	1277	1491	830	408	286	228	200	174	243	83	81	67	31	51	12	39	10	5	14	6	6	1	13	2	2	4	0	3	3	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	7186	5592	963	569	923	501	196	134	125	125	115	159	52	46	49	18	36	6	29	6	1	8	1	4	0	10	2	2	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	12400	8211	2001	1261	1461	801	420	316	235	187	190	218	78	80	58	32	55	18	34	13	12	12	8	4	1	14	1	4	5	0	3	4	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	6997	5253	943	581	897	475	199	142	124	112	125	136	44	36	39	18	38	10	22	7	5	7	2	3	0	10	1	4	5	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	12533	8189	2030	1252	1463	797	408	329	245	174	183	207	69	78	57	26	56	21	27	14	13	9	7	4	1	4	2	3	3	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
