label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36
0.03	north1_all	80	4776	1051	761	354	421	144	547	73	47	49	49	16	65	11	12	7	30	5	1	5	2	16	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	3657	424	491	130	321	65	515	27	23	28	39	4	58	7	2	1	30	4	0	2	2	16	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4797	1074	777	354	414	155	494	75	50	54	50	21	87	13	9	7	15	6	0	4	0	18	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	3665	420	500	131	301	68	461	26	23	34	34	6	81	9	1	1	14	6	0	1	0	18	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4796	1073	775	331	415	157	464	72	53	51	42	22	89	12	7	8	9	6	1	2	3	13	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	3686	411	501	128	307	72	429	26	24	32	26	7	84	7	2	1	7	6	0	1	3	13	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4810	1093	783	355	399	172	433	87	55	47	48	31	73	13	3	7	15	4	3	2	6	13	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	3673	418	533	136	295	76	396	31	27	29	31	9	71	9	1	2	12	4	2	1	6	11	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4784	1067	786	345	418	184	471	88	51	48	51	24	56	14	4	7	20	4	6	0	8	7	5	2	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_active	80	3699	422	553	139	307	82	435	35	22	27	37	4	52	7	3	2	18	4	2	0	8	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	4637	1080	767	341	396	160	494	83	51	44	50	28	58	13	5	8	19	13	6	0	8	15	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north6_active	80	3594	426	529	132	283	74	463	37	21	25	33	4	54	8	2	2	17	10	2	0	8	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	4728	1051	781	343	374	162	545	74	52	49	39	23	49	18	9	8	18	14	4	1	7	16	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	3704	422	532	126	257	81	516	29	22	29	24	5	46	9	2	2	18	11	1	0	7	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	4740	1066	807	358	404	154	543	71	53	54	41	20	66	19	12	5	18	13	1	2	3	15	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north8_active	80	3686	414	552	132	289	80	507	31	20	34	26	5	61	10	3	1	18	9	1	0	3	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	4783	1040	875	362	426	159	527	68	48	57	27	25	59	22	11	6	15	9	5	2	1	40	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0
0.03	north9_active	80	3698	418	588	142	317	79	492	31	18	39	18	5	50	10	1	1	14	5	4	0	1	40	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	4815	1053	873	336	453	162	450	69	48	52	33	22	60	25	10	9	16	7	6	1	1	29	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0
0.03	north10_active	80	3686	413	595	138	346	87	418	36	13	34	24	5	49	12	1	3	14	6	4	0	1	29	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	4867	1107	929	339	468	188	494	71	44	43	43	16	74	14	3	3	19	7	3	1	2	15	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	3733	420	647	117	354	97	474	32	16	27	32	3	68	6	2	1	17	6	1	0	1	15	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
