label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29
0.03	north1_all	80	740	692	221	144	210	57	29	38	94	19	8	5	4	6	2	4	2	3	2	2	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	382	443	120	86	148	33	12	26	77	10	6	3	3	3	0	3	2	1	1	2	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	730	705	207	150	200	65	22	33	86	17	9	5	5	1	2	3	3	1	2	1	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	360	452	115	91	133	36	9	20	68	12	7	3	2	0	0	3	2	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	743	728	217	128	219	62	22	26	84	23	8	6	2	3	2	2	2	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	360	471	126	81	151	35	8	15	62	17	6	3	0	1	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	743	736	222	114	211	56	32	28	50	31	9	6	7	3	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	357	461	131	73	131	36	16	16	31	23	6	4	5	1	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	745	719	237	86	197	54	32	34	66	32	7	5	6	3	1	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	356	481	140	55	122	33	17	21	50	23	4	3	5	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	719	696	213	101	187	57	34	35	57	32	12	4	6	3	2	3	2	0	1	0	0	0	1	0	0	0	1	0	0	0
0.03	north6_active	80	355	446	123	60	101	37	18	20	43	24	6	3	5	3	2	1	2	0	1	0	0	0	1	0	0	0	1	0	0	0
0.03	north7_all	80	671	718	217	107	174	59	24	23	70	33	9	2	6	3	5	3	1	0	1	0	0	0	2	0	0	0	1	0	0	0
0.03	north7_active	80	328	493	123	54	89	34	13	9	61	24	5	1	5	3	5	1	1	0	1	0	0	0	2	0	0	0	1	0	0	0
0.03	north8_all	80	659	718	214	128	190	66	21	21	77	36	9	0	3	3	5	4	1	0	1	1	0	0	2	0	0	0	1	0	0	0
