label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58
0.03	north1_all	80	27985	7053	2759	2093	1307	1964	1339	422	356	261	215	142	129	99	164	173	123	121	76	43	24	21	14	12	7	6	6	10	9	2	6	6	1	1	1	1	0	3	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
0.03	north1_active	80	24529	5159	1327	1365	761	1666	1150	97	146	83	86	45	44	35	128	152	102	109	65	37	18	14	9	7	4	3	1	5	4	1	3	6	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_all	80	28100	7054	2783	2138	1304	1883	1415	426	344	261	206	147	121	93	163	171	125	99	60	33	25	24	23	13	11	8	7	10	7	3	5	6	1	1	1	0	0	2	1	1	2	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	24669	5146	1350	1395	739	1612	1234	109	143	81	83	43	39	34	128	148	102	88	52	26	17	16	16	10	4	4	2	2	3	2	3	6	1	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	27895	7152	2810	2076	1323	1797	1432	443	372	262	207	152	114	104	162	160	124	108	58	34	26	22	25	14	16	9	6	9	3	3	5	3	2	0	1	0	0	1	1	1	2	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	24380	5243	1378	1320	738	1511	1240	113	150	82	79	44	44	41	132	136	97	98	49	23	17	15	20	9	5	4	3	1	1	2	2	3	0	0	0	0	0	1	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	28018	7034	2850	2107	1325	1733	1333	446	368	252	207	152	117	106	172	160	126	106	55	44	28	17	27	15	18	11	9	5	3	4	5	4	2	0	1	0	1	1	1	0	2	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	24450	5158	1396	1341	733	1469	1144	122	151	88	81	49	49	49	143	136	102	97	44	32	20	10	21	10	5	4	4	0	1	3	3	4	0	0	0	0	1	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	28283	6891	2863	2052	1338	1717	1342	439	354	265	210	155	115	101	176	190	120	117	70	51	23	16	29	13	9	6	6	1	2	7	9	7	2	0	2	2	2	2	1	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	24741	5055	1412	1307	740	1438	1158	110	152	91	90	53	53	55	145	170	98	107	59	35	14	8	23	7	3	2	2	0	1	7	7	6	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	28173	6780	2838	2092	1309	1822	1427	452	326	269	219	155	126	103	178	190	127	97	59	56	29	14	33	15	8	9	8	3	3	6	11	4	1	0	3	3	2	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north6_active	80	24705	5003	1377	1351	765	1550	1242	108	136	85	90	51	55	60	147	170	107	86	50	38	18	8	30	5	4	3	2	2	1	6	11	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	28135	6822	2783	2095	1336	1851	1428	454	327	262	223	160	112	101	167	161	141	124	59	44	33	16	33	15	6	5	5	3	3	6	14	5	1	0	3	3	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_active	80	24774	5011	1352	1335	762	1576	1231	93	148	80	98	49	42	56	138	142	122	108	52	30	23	8	29	4	4	2	2	2	1	5	14	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
