label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38
0.03	north1_all	80	2553	948	1737	1113	193	150	151	88	84	55	39	28	24	17	10	33	6	16	3	3	3	6	0	3	4	3	1	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north1_active	80	1276	412	1171	721	85	71	81	44	44	25	17	17	15	8	5	25	4	6	3	3	0	4	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	2475	955	1769	1121	183	150	156	91	80	58	41	34	20	19	11	32	7	13	4	3	3	6	1	3	3	3	1	0	0	0	0	0	1	0	1	0	0	0	0
0.03	north2_active	80	1244	443	1215	730	81	72	83	46	35	21	21	22	12	9	5	20	4	6	2	1	0	4	1	3	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0
0.03	north3_all	80	2485	943	1904	1161	186	149	153	117	80	41	33	43	17	20	14	45	6	8	3	4	4	6	1	4	2	3	1	0	0	0	0	0	1	0	1	0	0	0	0
0.03	north3_active	80	1241	433	1320	781	87	71	80	66	40	18	15	31	7	11	6	28	2	4	1	1	0	6	1	4	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0
0.03	north4_all	80	2471	933	1958	1128	189	138	150	120	70	43	38	41	18	20	16	48	9	6	3	4	5	3	1	4	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0
0.03	north4_active	80	1232	431	1356	757	92	70	80	69	36	19	21	30	7	11	8	27	2	4	1	1	1	2	1	4	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0
0.03	north5_all	80	2553	930	1961	1013	200	136	157	131	61	51	40	38	19	17	23	41	5	6	7	2	5	6	1	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1270	428	1344	665	93	71	86	71	34	22	23	23	10	9	13	23	0	5	2	1	1	5	1	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	2519	954	1914	1035	219	145	154	125	66	60	46	38	23	13	27	55	8	11	4	2	4	8	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1224	403	1284	668	102	72	81	69	32	29	27	23	13	7	18	33	1	5	1	1	3	7	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	2532	955	1857	1007	228	154	160	110	71	60	46	46	23	17	31	44	11	16	5	4	3	7	0	3	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	1232	403	1242	657	98	70	90	59	32	28	27	26	15	9	22	29	6	9	2	3	3	5	0	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	2491	890	1882	1041	245	163	148	102	71	50	40	49	30	19	24	47	12	24	4	7	4	5	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	1226	393	1270	689	106	72	80	58	32	22	21	31	14	11	17	34	6	10	1	5	4	3	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	2506	886	1857	1076	233	169	133	96	74	45	32	48	25	21	19	36	14	20	2	7	3	9	1	2	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	1250	387	1277	728	105	68	81	54	35	21	15	31	11	12	16	27	7	9	1	5	3	2	0	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	2530	868	1713	1056	220	169	133	95	63	43	29	33	35	20	15	29	9	18	2	7	2	5	1	0	5	1	5	0	1	1	0	1	0	0	0	0	0	0	0
0.03	north10_active	80	1224	388	1155	715	103	79	82	51	31	26	9	24	17	12	9	21	6	6	1	5	2	0	0	0	4	0	5	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	2603	935	1898	1228	240	174	155	97	76	34	39	28	20	14	9	19	6	13	3	3	1	5	1	6	0	3	1	0	0	1	0	0	0	0	0	0	1	0	0
0.03	north11_active	80	1269	429	1177	879	97	89	87	51	43	24	19	16	11	6	5	7	1	9	1	2	1	2	0	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	2610	939	1894	1204	232	173	168	98	78	39	34	33	24	11	9	25	7	12	2	1	1	7	3	6	0	3	1	0	0	1	0	0	0	0	0	0	1	0	0
0.03	north12_active	80	1285	441	1244	826	92	92	100	51	40	24	19	21	14	8	4	9	2	10	1	1	0	4	3	3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
