label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62
0.03	north1_all	80	34119	21476	8306	5336	3807	2657	4869	1650	1228	855	721	1402	532	659	483	623	184	213	219	158	82	111	45	62	42	35	37	35	17	11	24	11	9	13	6	5	3	2	3	1	1	2	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	8410	14651	1630	1329	1163	820	4232	801	448	153	268	1220	295	525	356	573	45	138	160	108	16	73	21	31	31	9	22	30	3	2	20	10	2	8	3	0	1	2	3	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_all	80	34151	21318	8489	5402	3789	2639	5105	1669	1294	851	723	1331	512	670	514	590	183	220	201	146	67	100	54	54	48	31	36	28	17	13	28	19	7	19	6	6	4	2	5	2	2	2	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	8458	14509	1706	1331	1186	802	4486	820	477	169	269	1157	263	532	387	531	36	140	140	97	11	69	23	30	41	11	23	23	3	2	21	17	0	14	3	1	2	2	5	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_all	80	34088	21406	8586	5364	3778	2707	4789	1658	1244	892	711	1283	511	683	575	566	185	231	218	129	67	95	59	51	72	41	39	27	10	13	19	20	11	12	6	3	5	6	4	2	2	2	3	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_active	80	8340	14591	1715	1350	1122	809	4194	791	467	173	264	1080	279	544	450	509	40	157	163	78	10	65	29	32	64	16	22	20	2	3	14	18	3	12	2	1	3	4	4	0	1	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_all	80	34250	21432	8574	5419	3718	2748	4870	1720	1194	919	707	1233	508	681	542	531	191	213	225	129	68	83	63	55	89	34	49	29	5	15	22	20	12	13	3	4	5	10	3	2	2	0	3	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	8356	14584	1725	1317	1076	824	4254	808	484	172	245	1022	267	528	404	469	39	142	165	83	11	53	24	36	81	13	34	23	1	3	16	18	5	11	2	2	4	6	3	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	34240	21345	8468	5378	3744	2801	4855	1706	1170	895	706	1167	503	700	501	536	172	200	199	130	73	85	60	52	93	27	48	39	3	13	26	13	10	4	5	4	3	9	2	0	2	0	1	0	0	0	1	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	8336	14518	1726	1301	1060	844	4226	777	470	170	254	961	280	527	364	468	41	135	149	84	11	61	26	36	85	9	29	28	1	2	18	8	6	2	4	4	3	5	2	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	34318	21513	8481	5402	3767	2790	4793	1752	1129	916	693	1156	496	680	463	539	168	198	205	116	78	98	58	47	93	20	39	34	5	11	24	14	8	4	7	6	3	9	4	0	2	0	2	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_active	80	8405	14634	1698	1314	1081	860	4123	795	467	172	236	962	267	516	323	476	43	133	156	82	14	73	27	29	83	4	25	22	2	1	16	7	3	1	7	4	3	5	4	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
