label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62
0.03	north19_active	80	11676	19312	3489	4535	3477	1938	446	1482	498	379	1099	913	1045	92	249	257	215	216	61	41	110	42	52	30	21	15	8	16	29	4	2	25	7	7	4	2	4	1	2	3	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	35741	25324	9014	7312	5424	3374	2008	2109	1198	944	1374	1078	1280	359	376	348	302	292	135	110	141	80	79	52	42	36	23	22	33	17	19	36	7	6	4	2	5	2	4	4	8	3	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	11721	19176	3467	4477	3518	1897	459	1512	509	366	1121	887	1117	99	268	243	202	235	69	40	108	42	47	31	15	23	10	16	28	10	5	33	4	5	3	1	5	1	2	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	46200	25316	9710	13565	4866	2654	2065	1845	2511	942	1050	575	638	453	283	420	467	153	197	122	104	90	49	36	43	41	24	50	18	23	18	24	9	4	9	4	7	2	5	4	3	1	1	0	1	3	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	south21_active	80	28926	19196	4506	11792	2799	606	738	958	2108	326	736	136	444	261	61	331	395	38	133	76	70	58	12	20	6	26	12	43	5	12	10	20	1	2	9	3	7	2	3	2	3	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	south22_all	80	47398	26258	9850	13972	4970	2636	2114	1804	2501	946	1063	536	637	469	296	420	490	154	190	123	118	97	47	41	39	50	29	51	21	23	20	19	7	1	29	6	6	3	5	4	3	1	2	2	0	3	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	south22_active	80	30531	20311	4727	12205	3023	571	791	938	2134	342	756	135	437	280	70	332	415	43	126	80	80	65	6	20	7	27	18	42	9	12	11	16	0	1	27	4	5	3	2	2	3	0	1	2	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	south23_all	80	48382	27164	9904	14899	5063	2676	2183	1788	2704	924	1105	542	674	490	290	474	463	139	190	121	118	97	42	40	43	59	30	49	25	21	25	13	5	3	31	4	5	7	3	6	4	0	1	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	31797	21398	4976	13131	3084	581	833	940	2361	346	783	140	462	302	68	388	408	40	139	75	84	65	4	18	11	33	21	40	12	16	14	10	0	1	29	2	3	4	1	6	4	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	48355	27403	9870	14922	5125	2714	2182	1743	2625	947	1172	521	638	488	286	501	441	151	158	119	115	95	47	52	37	55	22	53	23	14	19	14	6	6	36	4	4	7	2	5	3	1	3	2	2	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
