label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44
0.03	north1_all	80	35561	14508	16215	4731	4829	2411	1465	1582	704	1032	1000	445	456	411	354	84	64	53	36	32	31	26	19	11	8	10	3	1	3	5	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0
0.03	north1_active	80	8725	2979	13329	983	3440	1316	623	1120	220	823	870	354	394	359	323	29	23	30	9	6	18	10	11	1	4	5	1	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	35536	14595	16193	4697	4740	2466	1477	1615	705	1029	1028	493	439	383	329	90	65	53	33	30	27	20	20	14	6	8	2	4	4	8	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	8690	3036	13262	993	3382	1356	632	1138	217	821	904	397	376	341	293	40	27	35	6	4	17	13	12	7	3	6	0	4	1	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	35831	14612	15998	4606	4689	2525	1463	1587	715	1019	951	545	406	433	284	84	67	61	30	24	27	18	17	13	7	5	1	4	3	9	2	0	1	0	0	0	0	2	0	1	0	0	0	0	0
0.03	north3_active	80	8863	3065	13110	974	3333	1420	625	1123	227	813	831	446	336	393	255	35	25	34	10	4	18	11	11	7	0	3	1	3	1	7	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north4_all	80	35999	14435	15978	4653	4735	2545	1475	1498	728	994	968	564	375	426	312	104	66	79	34	22	27	20	12	14	8	5	1	4	4	10	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north4_active	80	8837	3080	13060	1002	3321	1455	615	1051	209	809	842	455	302	381	277	45	28	47	10	5	20	17	7	7	1	3	1	3	2	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north5_all	80	36043	14289	15844	4725	4792	2509	1452	1482	711	924	951	588	345	392	324	96	72	79	41	24	30	19	13	10	10	7	3	3	4	7	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north5_active	80	8695	2997	13011	1022	3344	1446	595	1055	227	731	831	477	278	349	293	36	32	41	11	6	17	13	6	3	1	5	1	1	2	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
0.03	north6_all	80	36100	14293	15742	4757	4762	2443	1495	1481	712	899	903	568	350	417	334	96	70	77	41	30	35	22	15	11	10	4	5	3	5	7	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north6_active	80	8611	3029	12929	1040	3293	1397	616	1073	236	711	765	452	281	355	291	37	29	38	8	5	19	18	3	2	3	4	1	0	2	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north7_all	80	35876	14462	16162	4746	4729	2418	1571	1533	716	987	923	577	393	375	306	91	74	67	39	33	33	26	18	12	9	11	7	3	6	7	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north7_active	80	8543	3066	13314	1052	3319	1367	632	1102	232	799	791	459	318	319	268	37	29	29	5	5	17	22	4	3	3	11	2	0	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_all	80	35868	14467	16312	4718	4683	2394	1534	1546	710	1004	932	563	461	365	366	100	69	63	30	33	36	22	24	15	5	13	8	2	4	3	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north8_active	80	8708	3001	13417	1030	3305	1336	600	1091	221	824	808	455	388	304	328	48	23	33	2	4	19	20	6	3	2	13	4	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_all	80	35818	14529	16333	4735	4816	2480	1520	1546	720	1076	972	556	501	359	350	104	67	71	32	30	34	24	21	11	4	16	8	1	2	3	2	1	1	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north9_active	80	8823	3038	13462	1029	3450	1415	581	1091	221	890	852	446	424	299	313	49	28	39	4	5	21	21	8	3	1	16	4	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_all	80	35903	14452	15763	4656	4819	2484	1470	1532	692	988	1006	545	522	398	377	100	73	58	33	30	28	26	16	11	5	24	5	3	0	2	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	8845	2951	13053	979	3542	1405	570	1060	230	804	903	446	448	350	352	42	29	36	6	7	17	17	6	4	1	20	3	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north11_all	80	35890	14375	15864	4701	4821	2474	1528	1515	697	941	1085	543	373	314	350	103	76	65	34	33	33	19	16	6	9	11	8	1	2	5	1	1	1	0	2	0	1	1	1	0	0	0	0	0	0
0.03	north11_active	80	8670	2972	13114	964	3513	1416	617	1049	220	738	975	449	300	274	316	51	47	39	9	13	22	14	7	2	5	7	2	1	0	3	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0
0.03	north12_all	80	35791	14362	16086	4724	4703	2452	1504	1481	711	953	1033	535	357	335	390	95	70	68	32	40	27	21	15	3	5	15	8	1	2	3	1	1	2	0	1	3	1	1	1	0	0	0	0	0	0
0.03	north12_active	80	8815	3003	13349	977	3378	1377	570	1041	226	769	926	438	279	290	356	43	42	41	8	14	17	14	6	0	2	11	2	1	0	0	1	1	0	0	1	3	1	0	1	0	0	0	0	0	0
0.03	north13_all	80	35732	14407	16041	4719	4793	2526	1435	1418	675	981	914	531	356	369	372	83	62	69	34	47	24	21	12	3	6	5	8	0	2	5	0	1	2	0	2	3	1	1	0	0	0	0	0	0	1
0.03	north13_active	80	8719	3061	13272	964	3478	1443	517	977	209	799	792	420	276	328	335	35	31	42	9	11	15	14	4	0	2	5	1	0	2	1	0	1	0	0	2	3	1	0	0	0	0	0	0	0	0
0.03	north14_all	80	35947	14445	16296	4649	4710	2588	1485	1418	704	948	901	566	407	329	427	90	61	77	34	44	26	24	13	4	4	5	6	3	3	4	0	1	1	1	2	3	0	0	1	0	0	0	0	0	1
0.03	north14_active	80	8763	3017	13513	961	3357	1448	564	972	233	776	789	447	305	282	386	35	28	45	7	9	19	17	5	2	1	5	1	3	2	2	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	36040	14492	16493	4543	4831	2616	1492	1466	671	898	945	585	438	385	383	100	60	66	33	41	24	30	11	6	6	8	4	3	3	5	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1
0.03	north15_active	80	8837	3045	13630	949	3451	1480	590	987	233	719	839	451	342	340	342	46	27	40	8	7	20	23	3	2	4	5	1	3	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	35834	14412	16174	4630	4676	2586	1491	1533	697	898	954	591	475	359	326	104	70	62	36	37	27	31	17	9	11	5	3	3	3	4	0	2	0	1	1	2	0	0	1	0	0	0	0	0	0
0.03	north16_active	80	8791	3001	13330	993	3365	1492	597	1052	248	717	839	465	379	307	290	49	32	31	8	8	21	22	6	2	7	2	0	3	1	2	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	35792	14389	16078	4651	4727	2490	1479	1553	650	889	1006	588	435	403	301	101	59	38	42	41	25	30	22	8	9	7	4	3	2	4	2	2	1	1	0	2	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	8833	2979	13230	989	3392	1411	590	1087	223	683	874	464	358	348	265	47	27	17	9	5	16	20	11	1	6	3	1	3	0	1	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	36076	14397	15600	4731	4645	2484	1491	1598	676	939	985	560	394	373	244	93	66	41	44	38	24	24	22	7	10	10	3	2	3	5	2	2	1	0	0	1	0	0	3	0	0	0	0	0	0
0.03	north18_active	80	8814	3005	12729	967	3340	1406	581	1173	225	701	849	443	328	310	217	42	30	14	9	3	15	16	11	1	8	6	1	2	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	36264	14588	15792	4720	4666	2423	1474	1520	712	990	990	552	342	370	260	99	76	57	47	39	21	22	15	6	7	17	3	2	4	7	4	1	1	2	0	0	0	0	3	2	0	0	0	0	0
0.03	north19_active	80	8832	3069	12970	945	3379	1392	567	1115	233	770	855	427	275	302	241	44	36	28	7	9	10	15	8	3	5	15	1	2	0	1	1	1	1	2	0	0	0	0	0	2	0	0	0	0	0
0.03	north20_all	80	36517	14547	15698	4712	4610	2356	1471	1527	746	1011	948	505	356	335	380	102	76	65	41	29	23	21	14	7	6	16	2	3	2	7	4	1	3	12	0	0	0	0	3	2	1	0	0	0	0
0.03	north20_active	80	8876	3068	12855	968	3288	1356	568	1107	252	788	812	387	295	274	361	44	32	36	5	8	14	14	4	3	3	14	1	3	0	2	0	1	3	2	0	0	0	0	0	2	1	0	0	0	0
0.03	south21_all	80	35987	14305	16426	4566	4624	2432	1422	1422	678	968	953	516	471	350	383	87	83	53	40	31	28	28	14	7	6	8	2	5	2	1	2	0	1	0	1	0	1	0	0	0	2	0	0	0	0
0.03	south21_active	80	8717	2983	13553	907	3339	1360	557	1015	196	751	819	423	392	311	354	41	44	26	9	6	24	23	4	2	3	6	0	0	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	south22_all	80	35905	14293	16540	4606	4689	2496	1424	1450	658	1010	993	536	483	346	376	82	79	59	33	29	26	24	15	14	9	7	4	4	2	2	1	0	1	0	1	0	1	0	0	0	2	0	0	0	0
0.03	south22_active	80	8737	2967	13659	916	3350	1394	553	989	206	794	848	442	406	299	341	28	48	31	6	7	22	21	4	3	4	5	0	3	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	south23_all	80	35690	14320	16402	4686	4733	2604	1435	1487	653	973	1008	511	468	341	367	103	70	68	32	25	34	31	12	16	9	7	3	6	1	2	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0
0.03	south23_active	80	8681	2988	13598	947	3375	1435	580	1007	215	776	873	420	390	295	336	40	45	32	6	7	28	27	3	2	3	4	0	4	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
0.03	south24_all	80	35609	14345	16513	4691	4835	2633	1482	1574	676	1012	994	513	453	345	359	106	63	64	37	24	36	26	12	16	11	6	3	7	1	1	0	1	0	2	0	2	0	0	1	0	0	0	1	0	0
0.03	south24_active	80	8736	2999	13725	980	3455	1440	573	1079	219	814	871	427	377	290	328	46	35	34	4	9	30	22	5	1	5	2	0	5	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
0.03	south25_all	80	35911	14459	16327	4634	4799	2574	1481	1561	691	1022	1005	493	449	332	316	116	65	72	37	25	31	30	18	15	14	9	3	7	3	3	1	1	4	2	0	2	0	0	1	0	0	0	1	0	0
0.03	south25_active	80	8649	2993	13513	933	3435	1407	597	1117	233	818	894	413	369	277	288	55	32	33	6	8	21	25	8	1	6	6	1	3	2	3	0	0	4	0	0	2	0	0	0	0	0	0	1	0	0
0.03	south26_all	80	35882	14259	15981	4540	4719	2556	1470	1540	738	1043	897	492	477	316	298	113	61	64	32	24	26	21	22	14	11	6	2	9	6	3	2	1	4	11	1	2	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	8683	2884	13135	950	3379	1385	598	1110	237	841	782	415	398	267	274	57	29	35	5	5	16	16	10	2	7	4	1	6	2	3	1	0	4	9	1	2	0	0	0	0	0	0	0	0	0
