label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43
0.03	north1_all	80	48261	17209	15456	5682	2930	2041	3023	1079	701	541	797	243	428	150	136	74	73	51	45	33	61	16	9	9	5	9	8	8	2	3	1	0	3	4	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	27573	9483	9705	3092	1417	1020	1886	599	332	281	489	116	254	69	81	30	46	24	20	17	41	7	4	4	3	7	5	7	1	1	0	0	1	4	0	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	48307	17111	15356	5695	2882	2037	3144	1099	720	556	804	245	409	161	124	74	76	57	61	29	51	11	13	9	6	9	3	12	3	3	2	1	3	4	0	1	1	0	0	0	0	0	0	0
0.03	north2_active	80	27461	9294	9696	3139	1422	968	1972	614	335	296	465	118	230	75	71	30	44	30	35	15	35	4	5	3	2	6	1	10	1	1	0	0	1	4	0	1	1	0	0	0	0	0	0	0
0.03	north3_all	80	48381	17000	15306	5634	2889	2049	3048	1140	740	570	794	282	386	151	116	74	76	57	79	26	45	15	11	9	8	7	2	4	3	2	3	1	2	4	0	1	1	0	0	0	0	0	0	0
0.03	north3_active	80	27425	9218	9757	3091	1437	995	1823	617	350	309	490	135	216	79	69	31	41	30	58	12	27	6	4	3	2	3	1	3	0	1	0	0	1	4	0	1	1	0	0	0	0	0	0	0
0.03	north4_all	80	48407	16765	15333	5624	2827	2051	3044	1146	764	529	838	279	356	143	125	88	70	65	100	27	35	14	15	11	11	4	4	5	3	2	2	1	0	0	2	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	27507	8967	9823	3086	1392	1012	1854	610	369	290	545	133	208	79	68	37	34	26	68	9	15	6	5	4	3	1	2	4	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	47329	16371	14879	5550	2853	2010	2910	1160	707	484	804	297	372	132	126	90	67	69	93	24	32	17	9	10	8	4	6	4	2	3	1	1	0	0	5	0	0	0	0	0	3	0	0	0
0.03	north5_active	80	26572	8703	9482	3020	1342	1012	1797	600	348	254	553	138	248	74	69	37	28	35	66	5	10	7	4	5	3	2	3	3	0	1	0	1	0	0	4	0	0	0	0	0	3	0	0	0
0.03	north6_all	80	47210	16314	14918	5482	2794	2020	2980	1129	690	488	836	275	391	141	136	93	68	63	75	24	58	15	11	8	6	8	8	4	3	6	1	1	1	1	5	1	0	0	0	0	3	0	0	1
0.03	north6_active	80	26688	8626	9435	2957	1288	978	1891	611	352	242	575	125	260	69	65	42	31	34	48	8	28	9	6	5	2	4	4	3	1	4	1	1	1	0	4	1	0	0	0	0	3	0	0	1
0.03	north7_all	80	47480	16416	14969	5549	2835	1978	2993	1137	667	475	793	275	385	159	129	81	71	66	69	20	50	16	10	9	7	6	6	4	1	5	1	1	1	1	5	1	1	0	1	0	3	0	0	1
0.03	north7_active	80	26664	8718	9496	3029	1342	969	1945	627	338	233	501	133	254	73	68	34	36	39	39	13	27	9	5	5	3	3	3	2	1	3	1	1	1	0	4	1	1	0	1	0	3	0	0	1
0.03	north8_all	80	48583	16772	15166	5607	2867	2031	3084	1189	703	498	804	252	405	155	130	81	79	59	64	19	62	16	7	7	6	11	6	8	6	5	1	2	1	1	0	1	1	0	1	0	0	0	0	1
0.03	north8_active	80	27668	9030	9557	3033	1336	1017	2043	659	368	239	502	130	256	66	68	36	41	37	35	15	37	10	4	4	2	5	2	6	1	3	1	1	1	0	0	1	1	0	1	0	0	0	0	1
0.03	north9_all	80	48745	17115	15384	5558	2916	2013	3044	1215	709	507	802	255	374	153	125	84	79	64	72	25	55	31	5	6	11	8	5	6	6	0	3	1	1	2	0	1	2	0	1	0	0	0	0	0
0.03	north9_active	80	27689	9235	9627	2939	1382	1014	2020	681	382	233	523	130	223	64	74	38	41	36	41	16	38	21	2	2	4	3	1	5	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0
0.03	north10_all	80	48480	17129	15264	5556	2953	2006	2993	1188	716	519	783	265	372	148	147	87	74	65	73	27	53	46	9	4	11	10	5	19	6	1	2	2	1	2	0	0	1	0	0	0	0	0	0	0
0.03	north10_active	80	27623	9330	9473	2914	1418	996	2006	664	381	242	509	135	221	59	90	35	44	38	51	15	36	23	7	1	4	3	1	6	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	48364	17085	15180	5606	2878	2005	3319	1173	693	505	832	237	402	159	146	91	74	46	63	31	33	27	5	10	8	4	4	15	6	1	2	1	0	3	0	1	1	0	0	1	0	0	0	0
0.03	north11_active	80	27748	9111	9313	3044	1391	943	2151	593	350	252	524	90	264	87	82	51	44	23	29	17	19	17	1	4	1	1	1	12	5	1	0	0	0	3	0	1	0	0	0	1	0	0	0	0
0.03	north12_all	80	48311	17010	15348	5645	2884	1999	3254	1164	694	480	871	236	418	154	156	89	68	53	55	28	46	22	8	10	9	3	3	13	6	1	2	0	0	3	0	0	1	0	0	1	0	0	0	0
0.03	north12_active	80	27633	9053	9404	3097	1382	951	2143	589	347	236	534	102	262	74	92	42	39	26	25	18	31	13	5	3	3	0	1	11	5	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0
0.03	north13_all	80	48184	16895	15472	5711	2894	2009	3016	1135	679	503	841	257	359	143	167	90	70	50	79	27	70	23	8	5	11	6	1	15	3	3	1	1	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north13_active	80	27403	9066	9517	3176	1422	931	1951	607	341	247	507	115	234	74	100	41	42	24	40	16	52	15	5	2	4	1	1	13	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north14_all	80	48496	16861	15539	5693	2883	2003	2945	1120	714	504	859	288	337	154	179	83	73	51	75	24	74	18	10	6	10	7	3	13	1	2	2	2	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north14_active	80	27557	9034	9648	3125	1425	957	1914	597	348	238	512	152	226	79	106	33	40	23	47	12	53	8	6	2	5	2	3	10	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	48726	16859	15337	5601	2813	1976	2908	1157	731	504	848	284	328	144	186	82	67	43	81	22	74	23	8	4	10	10	3	10	1	3	1	3	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north15_active	80	27624	9069	9533	3046	1349	972	1824	636	358	242	517	151	219	75	112	34	36	18	49	10	44	12	4	1	7	4	2	9	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	48774	16836	15300	5623	2851	1969	3011	1171	732	510	830	288	414	160	183	81	65	53	68	30	45	31	7	5	9	9	5	2	0	2	2	3	0	1	0	0	0	0	0	1	0	0	0	0
0.03	north16_active	80	27730	9022	9582	3038	1358	991	1883	622	348	235	512	143	285	85	107	38	33	24	46	16	26	19	4	0	6	5	4	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
