label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46
0.03	north1_all	80	55051	15011	8134	6063	3147	2343	1937	2259	627	700	331	303	282	181	136	97	110	44	39	42	52	28	14	20	7	9	5	9	6	5	3	3	3	2	0	2	1	0	1	0	0	0	1	0	0	0	0
0.03	north1_active	80	32771	7606	4062	3480	1677	1282	1073	1434	266	393	152	160	169	105	70	47	46	21	17	18	37	17	5	10	4	6	3	4	5	2	2	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	52893	14504	7822	5853	3109	2288	1901	2102	608	650	326	299	283	201	122	96	94	45	42	38	40	33	15	17	8	10	7	6	3	5	3	2	3	2	0	1	1	0	0	0	0	0	1	0	0	0	0
0.03	north2_active	80	31105	7199	3871	3313	1573	1218	1057	1346	268	360	149	153	154	116	58	44	42	20	23	17	23	21	7	11	4	7	3	4	3	2	3	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	51226	14195	7735	5742	3074	2249	1863	2061	634	629	325	291	261	208	117	101	85	44	39	40	22	30	19	21	7	14	8	0	4	5	1	3	6	1	0	2	3	1	0	0	0	0	1	0	0	0	0
0.03	north3_active	80	29861	7046	3831	3234	1506	1160	1041	1290	281	350	142	139	137	116	60	45	49	16	25	18	9	18	10	13	4	7	3	0	4	2	1	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	51069	14234	7750	5788	3130	2221	1750	2053	617	666	314	296	248	203	130	94	78	43	42	43	33	25	14	15	4	13	5	2	6	2	1	3	5	0	0	2	2	2	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	29842	7121	3859	3230	1547	1160	960	1302	282	377	148	149	119	113	63	44	45	15	24	26	22	16	10	11	2	6	2	1	3	2	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	51379	14266	7786	5763	3156	2232	1779	1959	614	706	317	293	261	198	128	85	97	43	37	36	38	15	15	17	4	8	4	5	6	3	0	2	5	1	0	1	2	2	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	30040	7184	3838	3150	1615	1146	983	1210	272	422	166	147	131	112	65	40	57	16	18	22	29	10	7	11	3	0	2	1	3	3	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	51215	14346	7809	5680	3168	2243	1720	1937	612	693	326	283	245	191	124	86	93	45	34	44	42	14	17	17	5	5	4	6	6	4	0	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	29933	7240	3857	3129	1597	1161	950	1228	290	428	171	135	145	103	64	38	55	23	16	29	30	12	7	11	3	0	4	1	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	51350	14255	7781	5775	3133	2195	1709	1860	628	678	320	289	259	192	111	91	94	52	34	37	38	19	17	16	5	5	5	4	3	4	0	1	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0
