label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98
0.03	north1_all	80	13723	4331	1913	1921	839	704	1289	718	732	271	240	220	262	445	123	115	74	94	88	87	74	105	59	56	50	60	40	18	20	23	36	12	72	32	14	17	19	15	19	9	12	5	10	4	11	0	9	3	19	3	3	4	5	12	3	0	0	2	0	8	1	1	0	0	1	1	0	1	0	0	1	1	0	0	0	2	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	11724	3341	1087	1481	320	394	1133	563	612	68	102	97	180	394	65	29	15	34	21	48	28	88	20	6	35	46	17	7	8	13	26	0	67	28	7	11	11	4	17	3	10	2	3	0	11	0	7	1	18	1	2	4	3	12	2	0	0	2	0	8	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	13708	4235	1941	1904	830	766	1283	748	740	274	257	213	241	471	136	109	77	88	86	91	71	108	56	51	50	69	28	26	19	33	38	9	72	26	19	16	23	10	20	6	11	9	11	5	15	1	8	3	24	1	1	5	4	5	2	0	0	1	0	6	2	0	2	0	2	2	0	1	0	0	2	0	0	1	0	3	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	11782	3250	1121	1481	304	434	1130	577	607	63	104	101	163	416	70	32	14	32	23	57	31	94	20	12	29	52	10	9	10	17	29	1	68	22	11	11	15	1	16	2	10	5	4	2	12	1	6	0	23	0	0	4	3	5	2	0	0	1	0	6	1	0	2	0	1	0	0	1	0	0	1	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	13709	4275	1916	1835	865	759	1262	779	768	274	253	208	231	463	140	103	86	96	72	95	74	86	49	47	55	64	32	33	27	31	44	8	75	24	27	18	21	14	22	6	8	6	10	7	16	2	5	3	24	0	2	6	5	5	2	0	1	3	0	7	5	4	3	2	1	3	0	0	1	0	1	0	0	4	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1
0.03	north3_active	80	11762	3257	1118	1417	348	436	1104	597	627	72	95	95	162	416	73	27	14	34	23	56	45	74	18	14	27	49	10	11	15	15	33	2	70	17	18	12	15	5	17	1	6	4	3	3	13	2	4	0	24	0	1	5	4	5	2	0	0	2	0	7	3	4	2	1	1	0	0	0	1	0	1	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
0.03	north4_all	80	13812	4387	1961	1808	858	778	1325	757	712	294	249	202	229	473	147	117	86	89	72	97	74	90	41	43	66	67	25	36	35	32	34	12	61	23	25	24	27	15	21	6	12	6	6	6	16	3	9	6	10	0	5	7	2	6	1	0	2	3	1	1	6	4	4	6	1	3	0	0	2	0	1	0	0	4	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1
0.03	north4_active	80	11913	3328	1151	1375	350	436	1150	579	580	76	81	94	158	424	74	34	16	35	27	56	50	76	13	16	43	54	10	11	19	16	24	2	57	14	18	14	21	6	18	2	8	5	2	4	13	2	6	1	8	0	2	6	1	6	1	0	0	2	1	1	4	4	3	3	1	0	0	0	2	0	1	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
0.03	north5_all	80	13720	4381	1974	1840	836	789	1413	728	692	285	257	193	247	451	148	117	95	88	60	86	76	76	41	41	68	65	29	36	34	28	26	13	79	22	26	20	24	15	25	6	17	8	5	3	15	3	6	7	8	1	5	6	1	3	2	0	3	5	1	1	6	4	3	6	1	2	0	0	2	0	0	0	2	3	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north5_active	80	11840	3328	1174	1371	341	449	1240	560	574	84	88	80	175	409	71	30	22	41	20	52	48	59	15	12	50	53	11	13	20	17	18	1	74	13	17	10	21	5	23	4	13	4	1	2	15	2	4	2	6	0	2	4	1	3	1	0	0	3	1	1	4	4	2	3	0	0	0	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north6_all	80	13698	4413	1975	1898	820	773	1344	710	655	265	251	206	225	429	130	119	95	79	62	85	67	79	34	37	60	78	32	30	28	25	32	15	84	18	17	20	21	14	20	7	15	10	7	3	12	2	9	5	6	1	3	3	0	3	2	1	3	4	1	2	2	0	2	5	1	1	0	0	2	0	1	0	2	1	3	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	11800	3338	1175	1418	322	441	1174	554	523	77	99	91	155	379	66	35	29	37	16	53	39	58	14	10	46	66	14	12	15	15	24	0	79	13	8	9	19	2	18	3	11	4	2	2	11	0	5	2	4	0	1	2	0	3	0	1	0	2	1	2	1	0	1	3	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
