label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74
0.03	north1_all	80	20206	6848	2224	2038	3212	952	965	560	417	318	281	240	255	200	217	237	137	172	112	54	106	40	72	31	58	23	53	18	47	21	17	18	7	8	5	4	1	6	4	5	6	3	0	4	5	2	1	5	0	0	0	1	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	17294	5359	765	1393	2841	517	662	203	150	102	131	123	176	111	161	189	86	145	86	20	85	23	52	12	38	13	46	9	37	13	10	17	3	3	2	0	0	3	1	1	3	2	0	0	3	1	0	5	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_all	80	20155	6945	2205	2114	3226	922	999	515	434	336	300	250	259	197	216	234	138	166	130	60	110	40	75	31	53	25	43	18	49	16	12	12	10	6	5	4	0	6	1	7	4	4	1	4	2	3	0	2	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	17254	5449	742	1407	2846	509	698	173	164	97	131	127	170	115	156	184	79	144	95	17	93	22	58	10	33	12	38	8	40	10	4	11	4	3	3	0	0	4	1	2	2	2	1	0	2	2	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	20463	7035	2228	2016	3068	904	1039	497	419	331	280	254	277	183	246	211	129	136	143	66	120	41	72	24	45	24	61	16	32	16	10	19	8	6	3	3	2	7	2	4	7	6	2	5	1	3	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	17535	5562	734	1321	2694	514	764	163	161	95	111	124	186	115	181	157	75	114	107	19	99	19	57	8	32	11	58	8	24	7	3	18	3	4	2	0	1	5	0	1	4	3	1	0	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	20525	7114	2309	2015	2989	926	1042	479	394	335	292	257	280	170	235	227	122	120	151	69	128	50	63	27	39	17	64	21	19	20	10	20	10	7	4	3	4	7	2	3	6	4	2	3	2	2	1	0	1	0	2	2	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north4_active	80	17526	5596	757	1304	2632	506	769	155	164	86	116	122	189	113	169	175	69	95	116	23	108	28	50	8	30	6	59	11	15	9	4	18	6	3	1	1	2	7	0	1	3	2	1	0	1	1	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north5_all	80	20612	7129	2324	1963	2893	963	1013	467	409	325	314	266	291	180	224	220	106	122	148	66	131	53	68	27	33	13	66	18	41	19	10	31	10	8	6	7	5	7	3	3	17	3	1	2	2	4	1	0	1	0	1	1	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0
0.03	north5_active	80	17549	5552	761	1282	2545	512	743	145	172	82	128	136	207	118	159	173	64	98	117	21	106	28	53	7	27	5	55	12	38	12	5	29	7	2	2	4	3	7	0	2	15	1	0	0	1	4	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
