label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138
0.03	north1_all	80	18845	2845	1794	1432	2365	1547	630	1051	489	468	347	348	332	277	281	198	458	149	144	178	79	171	81	91	86	66	132	53	58	35	54	35	85	116	33	62	30	24	27	34	16	15	19	18	15	9	13	3	16	6	10	32	8	9	21	12	7	6	7	3	4	7	5	4	5	4	2	5	5	9	5	4	1	3	2	2	1	3	1	1	0	1	4	1	1	1	2	1	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	16795	673	468	644	2011	1212	141	792	188	263	143	196	210	163	154	49	402	46	54	134	20	116	40	53	44	31	97	12	26	16	26	11	70	106	15	48	20	13	6	24	4	6	4	17	9	3	7	1	11	4	4	32	5	2	18	9	4	2	6	3	3	6	2	1	1	3	2	2	5	1	5	3	0	0	2	2	0	3	0	0	0	0	1	0	0	1	1	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	18877	2884	1810	1373	2292	1538	624	1000	497	477	346	347	354	259	269	193	482	143	157	213	86	163	79	94	87	62	105	58	51	34	50	37	81	103	30	55	32	19	24	30	16	14	15	21	17	15	20	4	14	9	10	31	8	10	26	13	5	10	5	6	16	6	7	4	4	5	2	4	3	8	5	4	4	3	0	3	1	3	0	0	0	1	5	1	1	0	1	1	0	1	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	16800	696	454	636	1928	1214	141	758	187	281	142	196	218	147	147	44	424	39	68	164	18	104	40	50	44	25	71	16	22	17	26	12	63	92	14	41	19	10	6	21	6	4	4	17	12	4	10	1	8	7	3	31	4	1	23	9	1	3	5	5	15	5	4	1	1	5	2	2	2	1	5	2	2	0	0	3	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	18871	2890	1855	1395	2381	1580	610	951	485	494	335	368	381	262	259	184	513	146	154	227	87	167	79	102	88	67	96	59	47	31	55	37	74	108	27	57	34	24	18	33	15	16	15	30	14	22	16	9	14	9	12	37	7	8	21	9	6	8	6	7	18	3	6	3	5	5	2	4	5	7	6	3	4	4	1	3	1	3	0	2	2	0	6	1	0	1	0	0	0	1	0	2	2	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	16777	732	460	645	2017	1231	141	731	189	283	143	211	221	149	145	44	455	45	70	159	19	105	38	43	43	31	65	17	20	16	26	8	59	99	10	46	19	12	4	24	5	6	4	24	12	5	9	3	10	8	7	36	2	1	19	6	2	1	5	5	18	3	5	1	1	5	2	0	4	1	6	2	2	0	1	2	0	2	0	1	2	0	0	0	0	1	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	18938	2845	1870	1352	2405	1554	612	982	507	505	366	358	382	281	255	187	458	133	166	234	105	158	94	92	96	65	79	61	45	39	60	36	76	134	26	51	31	31	19	26	19	15	18	26	13	23	20	12	20	8	10	22	6	8	15	8	6	7	11	7	19	1	6	2	4	6	5	3	5	4	5	3	3	3	1	2	3	3	0	2	6	0	3	2	2	1	1	0	0	2	0	2	0	0	0	1	0	0	0	0	1	0	1	0	3	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
0.03	north4_active	80	16838	728	466	613	2049	1208	144	779	199	307	165	218	233	149	142	45	408	39	73	162	23	101	47	30	43	30	52	20	18	21	31	9	62	123	12	37	15	17	3	19	6	5	3	17	9	4	9	5	13	7	6	21	0	1	14	6	2	1	9	3	19	1	4	2	1	6	4	0	3	1	5	2	2	0	1	1	2	2	0	1	6	0	0	0	1	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	18857	2870	1911	1403	2391	1567	643	986	507	479	397	352	368	287	255	187	432	124	157	233	113	153	100	86	89	64	89	57	47	40	51	39	64	140	33	61	32	29	22	30	23	16	18	30	17	22	16	17	18	5	10	26	7	8	14	12	6	7	17	6	5	1	4	4	4	5	3	2	4	2	6	0	1	2	2	2	3	11	2	4	6	1	1	1	2	1	2	0	2	2	0	0	0	1	0	0	0	0	0	0	1	0	2	0	3	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
0.03	north5_active	80	16810	719	494	638	2043	1212	163	781	206	287	182	213	222	148	154	45	387	32	61	147	34	98	48	25	45	33	62	16	23	19	26	11	53	130	14	46	16	16	6	23	8	7	6	21	11	2	6	8	11	4	7	24	2	1	13	9	2	2	15	2	5	0	3	3	1	5	2	0	3	1	6	0	1	0	1	1	2	10	0	3	6	1	0	0	1	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
